timestamp,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,Other
1563792449000,,,
1563858874000,,14186.43,
1563925785000,1248.39,1584.84,
1563992752000,705.76,,
1564060720000,506.37,,
1564128623000,1200.97,,
1564194770000,1263.97,,
1564261351000,1265.51,,
1564329190000,,,
1564395991000,1179.19,,
1564463477000,38542.96,,
1564530020000,9632.43,,
1564597821000,4081.72,,
1564665039000,776.49,,
1564732022000,603.95,,
1564799107000,280.74,,
1564865751000,716.78,,
1564932781000,125.19,,
1564999286000,1085.46,,
1565066439000,679.78,,
1565133760000,125.61,,
1565200774000,7.24,,
1565267861000,455.96,,
1565334762000,563.54,,
1565401917000,36.27,,
1565468754000,848.82,,
1565536629000,267.84,,
1565603145000,376.83,,
1565669720000,248.96,,
1565737101000,173.44,,
1565803734000,16942.86,,
1565871010000,288.41,,
1565938594000,491.14,,
1566005643000,2560.26,,
1566071734000,306.60,,
1566139968000,,,
1566206924000,71.99,,
1566273958000,,,
1566340899000,121.18,,
1566408719000,2999.98,,
1566474986000,112298.28,,
1566542876000,1371.37,,
1566609532000,700.93,,
1566677699000,903.82,,
1566744845000,2849.76,,
1566811311000,17784.16,,
1566879172000,21993.78,,
1566946162000,837.75,,
1567013670000,18317.68,,
1567080503000,15270.86,,
1567147214000,103.99,,
1567214663000,201.75,,
1567281961000,4609.39,,
1567349460000,75095.89,,
1567416716000,72.43,,
1567484031000,779.70,,
1567551463000,112.60,,
1567619231000,128.08,,
1567685589000,26.09,,
1567753902000,2599.66,,
1567820847000,0.66,,
1567887785000,449.82,,
1567955110000,241.42,,
1568023141000,965.25,,
1568089878000,3.38,,
1568157833000,9.24,,
1568225074000,,,
1568292523000,,,
1568360055000,625.26,,
1568427970000,998.28,,
1568495114000,490.54,,
1568562808000,395.80,,
1568630407000,372.79,,
1568696458000,549.22,,
1568764187000,817.74,,
1568830698000,,,
1568898597000,,,
1568967137000,31.84,,
1569034094000,28.45,,
