timestamp,sETH,MKR,HEX,REP,DAI,WETH,USDC,SNX,WBTC,LINK,BAT,CBIX7,SAI,PNK,ANT,KNC,DZAR,sUSD,TKN,SPANK,ZRX,DGD,LRC,XCHF,RPL,RLC,MET,FOAM,GNO,RCN,FUN,cDAI,Other
1541138179000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1541208929000,0.00,30.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.50,0.00,0.00,29.82,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13
1541278948000,0.00,30.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.62,0.00,0.00,29.82,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.32
1541349786000,0.00,30.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.51,0.00,0.00,29.82,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.14
1541420957000,0.00,30.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.54,0.00,0.00,29.82,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.16
1541492111000,0.00,30.65,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.92,0.00,0.00,29.82,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,12.19
1541563675000,0.00,31.57,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.92,0.00,0.00,29.82,0.00,0.00,0.00,238.55,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,13.91
1541633523000,0.00,31.16,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,59.22,0.00,0.00,27.81,0.00,0.00,0.00,280.51,2.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,13.80
1541704729000,0.00,31.86,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,59.83,0.00,0.00,27.81,0.00,0.00,0.00,278.99,2.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,14.64
1541775648000,0.00,31.67,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,60.40,0.00,0.00,27.81,0.00,0.00,0.00,277.15,2.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,14.73
