timestamp,​0x97deC872013f6B5fB443861090ad931542878126,​0x4a6f6B9fF1fc974096f9063a45Fd12bD5B928AD1,​0x0c3F70c14B8bb96D6B74af35c6AB7f85f77a23bA,​0x34E89740adF97C3A9D3f63Cc2cE4a914382c230b,​0x45A2FDfED7F7a2c791fb1bdF6075b83faD821ddE,​0xb80C9b1b4F894F9669796A0605A9DAA0E80E6912,​0x505C02B4aa1286375FBDF0c390AC0fe9209DCB05,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0xF996D7d9BaCb9217ca64BBce1b1cD72E0E886Be6,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x4F30E682D0541eAC91748bd38A648d759261b8f3,​0x000000F54395c554346bfD24e6a1ccd90B881a4e,​0xB791c10824296881f91BDbC16367BbD9743fd99b,​0x5048b9d01097498Fd72F3F14bC9Bc74A5aAc8fA7,Other
1568939678000,,,,,,,,,,,,,,0.00,
1569412741000,,0.25,,,,,,,,,,,,,
1569817983000,,,,,,,,,,,,,,,0.00
1570358020000,,1.91,,,,,,,,,,,,,
1570424401000,,0.18,,,,,,,,,,,,,
1570492273000,,,,,,,,,,,,0.46,,,
1570560314000,,0.05,,,,,,,,,,0.02,,,0.00
1570696365000,,,,,,,,,,,,0.68,,,
1570832121000,,,,,,,,,,,,0.08,,0.55,
1570900657000,,,,,,,,,,,,,,0.07,
1570967603000,,,,,,,,,,,,,,,0.00
1571103316000,,,,,,,,,,,,0.15,,,
1571171084000,,,,,,,,0.13,,,,,,0.11,
1571239896000,,,,,,,,,,,0.16,0.17,,0.08,
1571307873000,,,,,,,,,,,0.05,,,,
1571376291000,,,,,,,,,,,0.18,0.50,,0.09,
1571444011000,,,,,,,,,,,0.32,,,0.26,
1571648150000,,0.08,,,,,,,,,,,,,
1571716619000,,0.03,,,,,,0.13,,,,0.12,,,
1571851268000,,,,,,,,,0.10,,0.18,,,,
1571920923000,,,,,,,,0.19,,,,,,0.18,
1571990353000,,,,,,,,0.18,,,,,,,
1572060724000,,,0.20,,,,,0.49,,,,2.43,,,
1572129485000,,,,,,,,0.37,,,0.10,,,,
1572198558000,,,,,,,,,,,,0.22,,,
1572267917000,,,,,,,,0.13,,,,0.10,,,
1572337649000,,,,,,,,0.13,,,,0.11,,,
1572406531000,,,,,,,,,,,,0.42,,,
1572476793000,,,,,,,,0.42,,,,,,,
1572546064000,,,,,,,,0.34,,,,0.16,,,
1572684939000,,,,,,,,0.13,,,,0.12,,,
1572754262000,,,,,,,,,,,,0.12,,,
1572822749000,,,,,,,,0.21,,,,,,,
1572893104000,,,,,,,,,,,,0.36,,,
1573031855000,,,,,,,,,,,,0.19,,,
1573101222000,,,,,,,,,,,,0.10,,,
1573171451000,0.11,,,,0.11,,,,,,,,,,
1573240765000,0.24,,,,,,,,,,,,,,
1573382543000,,,,,,,,,,,,0.23,,,
1573455245000,,,,,,,,,,,,0.16,,,
1573527153000,0.14,,,,,,,,,,,,,,
1573598526000,0.14,,,,,,,,,,0.05,0.46,0.10,,
1573742983000,,0.03,,,,,,,,,,0.19,,0.14,0.00
1573814675000,,,,,,,,,,,,,0.08,0.11,
1573886613000,,,,,,,,,,,,0.15,,0.32,
1574030120000,,,,,,,,,,,,0.23,,,
1574102523000,,,,,,,,,,,,,,0.19,
1574175364000,,,,,,,,,,,,,,0.29,
1574248216000,,,,,,,,,,,,0.09,,0.18,
1574319702000,,,,,,,,,,,,,,0.15,
1574390894000,0.11,,,,,,,,,,0.09,0.20,,0.81,
1574463158000,,,,,,,,,,,,,,0.34,
1574534614000,,,,,,,,,,,,,,,0.00
1574753753000,,,,,,,0.08,,,,,0.27,,,
1574906610000,,,,,,,,,,,,,,0.33,
1574982967000,,,,,,,,0.11,,,,0.32,,0.29,
1575059347000,,,,,,,,,,,,0.12,,,
1575136068000,,,,,,,,0.09,,,,,,,
1575212493000,,,,,,,,,,,,,,0.26,
1575288653000,,,,,,,,0.10,,,,,,,
1575442393000,,,,,,,,,,,,,,0.10,
1575519604000,,,,,,,,,,0.22,,0.20,,,
1575596839000,,,,,,,,,,,,0.13,,,
1575826602000,,,,,,,,,,,,0.15,,,
1575979374000,,,,,,,,,,0.25,,,,,
1576056123000,,,,,,,,,,0.11,,,,,
1576132843000,,,,,,,,0.31,,,,,,,
1576208669000,,,,,,,,,,,,0.14,,,
1576372313000,0.10,,,,,,,0.11,,,,,,,
1576456679000,,,,,,,,,,,,0.10,,,
1576541361000,,,,,0.81,,,,,,,,,,
1576627001000,,,,0.10,0.36,,,,,,,,,0.44,
1576713534000,,,0.25,0.13,,,,,,,,1.10,,0.40,
1576799699000,,,,,,,,0.56,,,,0.10,,,
1576886273000,,,,,,,,,,,,0.14,,,
1576971438000,,,,,,,,,,,,,,0.09,
1577057861000,,,,,,,,,,,,0.41,,,
1577143907000,,,,,,,,,,0.50,,0.11,,,
1577315631000,,,,0.15,0.12,,,,,,,,,,
1577402327000,,,,,,,,0.12,,0.30,,0.56,,,
1577488582000,,,,,,,,,,0.21,,0.10,,,
1577573599000,,,,,,,,,,,,0.21,,,
1577659927000,,,,,,,,,,,,0.64,,,
1577746179000,,,,,,,,,,0.24,,,,,
1577832303000,,,0.22,,,,,,,0.35,,,,0.21,
1577918935000,,,,,,,,,,,,0.24,,,
1577997589000,,,,,,,,,,0.27,,,,,
1578063677000,,,,,,,,,,0.19,,0.49,,,0.01
1578129566000,,,,,,,,,,,,0.10,,,
1578195701000,,,,,,,,,,,,0.16,,,0.01
1578261907000,,,,,,,,,,,,0.20,,,
1578327837000,,,,,,,,,,0.10,,0.50,,,
1578459841000,,,,,,,,,,0.21,,0.36,,,
1578526345000,,,,,,,,,,0.58,,0.13,,,
1578592894000,0.10,,,0.28,,,0.15,,,,0.15,0.62,,0.11,
1578658814000,,,,,,,,,,,,,,0.10,
1578724741000,,,,,,,,,,,,0.56,,,
1578790822000,0.10,,,,,,,,,0.12,,0.22,,,
1578923015000,,,,,,,,,,,,0.33,,0.25,
1578989540000,,,,,,,,,,,,0.44,,0.11,
1579055596000,0.14,,,,,,,,,0.21,,1.66,,,
1579122050000,0.11,,,,,,,,,0.62,,0.44,,,
1579188604000,,,,,,,,,,0.36,,0.23,,,
1579254375000,,,,,,,,,,0.10,,0.73,,,
1579320115000,,,,,,,,,,0.30,,0.42,,0.12,0.00
1579386588000,,,,,,,,,,0.21,,0.50,,0.11,
1579453251000,,,,,,0.45,,,,0.78,,0.10,,,
1579518909000,,,,,,,,,,,,0.10,,,
1579584998000,,,,,,,,,,0.19,,0.30,,,0.00
1579650516000,,,,,,,,,,,,0.11,,,
1579717286000,,,,,,,,,,0.14,,,,,
1579783170000,,,,,,,,,,0.20,,,,,
