timestamp,​0x49372ed1EadAb7420CA5A8A7aaB12c77200Db2C2,​0x3dF364ED7e8A887f7f9c240f7e281A4ea05CE03f,​0xa078dCFc267d812F7E92a33a002034b4f156c30D,​0xccC734e6081C69f6047d692C275Af6dAB862863B,​0xD4cE7446CEBb4703E2ADEeec7A61Ab0D41217aE3,​0x4E5c92E07cd184d61e75910187251d6e4Dd3564a,​0xf4158e282F2317597E31c028978C7fb7275d6Fb4,​0xf599DD992feA3C597d859d17D98c41a54D5a2e4c,​0x81Dde1BE69F32e25A3727351A4D12569310a2fE7,​0xB66F8a0Da457B91D5cA3d9f0d679783a28e70cb7,​0x93AeF073b3139c26312de0BB1b302609eb3BF5ce,​0xB1F933A61dc4D1B30621E593F2fB4eE83063aB30,​0x7CE6eE3207074a565bF4e89F26392405c2f21418,​0xd04b5f64cC6f01B89BCf05C8D2286E9bA744Ef85,​0x3a3D1Fc99679343535D56374A42b3E96669913fe,​0xc6F8B0af56Fe21f2446459046292a84eE5444807,​0xbEB3502E6Ea7603C57550D23AD93E786261a6272,​0x82aa7f697B9Bc19F286D286D130405c0850A2E7B,​0xF9107317B0fF77eD5b7ADea15e50514A3564002B,​0x0F9043943a4d8f25d3b09EaDe2e2bc6A6cD40351,Other
1578526345000,,,,,,,,,,,,,,,,,,,,,0.00
1578658814000,,,,,,,,,,,,,,,,,,,,,0.00
1578724741000,,,,,,,,,,,,,,,,,,,,,0.00
1578790822000,,,0.27,0.15,,0.19,,0.04,,,,,,,,,,,,0.22,
1578857025000,,,,,,,,,,,,,,,,,,0.04,,,
1578989540000,,,,,,,,,,,,0.02,,,,,0.10,,,,
1579055596000,,0.02,,,,,,,,0.15,,,,,,,,,0.05,,
1579188604000,,,,,,,0.03,,,,,,,,0.56,,,,,,0.00
1579254375000,,,,,,,,,,,0.09,,,,0.04,,,,,,
1579320115000,,,,,0.31,,,,,,,,0.30,,,,,,,,
1579386588000,,,,,0.40,,0.01,,,,,,0.36,,,,,,,,
1579584998000,0.86,,,,,,0.01,0.01,,,,,,,,,,,,,
1579783170000,,,,,0.42,,,,,,,,,0.31,,,,,,,
1579848954000,0.42,,,,0.17,,,0.01,,,,,,,,,,,,,
1579915579000,,,,,0.91,,,,,,,,,,,0.07,,,,,
1580049245000,0.12,,,,,,,,,,,,,,,,,,,,
1580180893000,,,,,,,,,,,,0.00,,,,,,,,,
1580313366000,0.12,,,,,,,,,,,,,,,,,,,,
1580446477000,,,,,,,,,0.29,,,,,,,,,,,,
1580512997000,0.05,,,,,,,,,,,,,,,,,,,,
