timestamp,​0xb00356E557EB8483c2517B1DE097e712a90076Eb,​0x66b1De0f14a0ce971F7f248415063D44CAF19398,​0x57C2570F1a4228a3aEff4fE533826C2A04a2D52f,​0xffaDc07f1BFb127F4312e8652fE94aB0c771b54D,​0x4FAFA767C9CB71394875c139D43AeE7799748908,​0x0127319B7A837Dad7cb13A75E523BBb7dEa980c3,​0xd26a3F686D43f2A62BA9eaE2ff77e9f516d945B9,​0x778aAD5F0539f67cD452cC530026afF40f573b6f,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x01e7f16E17c50D070eb66787f25Ce3BE405d6038,​0xB98eC0012FBA5de02ab506782862A63A7945ee9c,​0x625236038836CecC532664915BD0399647E7826b,​0x9563C6F3948d9287c3b3D1313d4996aaB5EdEfc9,​0x4F50d47D20380172746527bbeAa274940C38EFAC,​0x6b817156A65615F01949EaE47CC66f2a1f2F2e7D,​0xE68967c95f5A9BCcfDd711A2Cbc23Ec958F147Ef,​0x5790dB5E4D9e868BB86F5280926b9838758234DD,​0x5bb3e1774923b75Ecb804E2559149BbD2a39A414,​0xA45898Cbb4F01decc7e04654B8Ee40975546b391,​0xE04885c3f1419C6E8495C33bDCf5F8387cd88846,Other
1584434720000,,0.25,0.05,,,,,,,,,,,1.00,,0.01,0.10,,,,
1584500082000,,0.45,,,,,,,0.01,,,,,,0.20,,,,,1.50,
1584566455000,,,,0.31,,,1.00,,,,,,0.20,,,,,,,,
1584833664000,,,,,,,,,,0.01,,,,,,,,,,,
1585105600000,,,,,,,,,,,,0.04,,,,,,,,,
1585239172000,,,,,,,,,,,,,,,,,,0.04,,,
1585372283000,,,,,0.09,,,,,,,,,,,,,,,,
1585504149000,,,,,,,,,,,,,,,,,,,0.03,,
1585637238000,,,,,,,,,,,0.09,,,,,,,,,,
1586036191000,0.02,,,,,0.11,,0.06,,,,,,,,,,0.00,,,
