timestamp,​0xEe37f338220479C8F652e3557f02513BdB11C160,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0x3744Fd83098A298A0406cABf1eE0ea622327661D,​0x59a1EaA24a7ee3c7ec51Fecc5639d203D804602B,​0x0763A0C1512F0e10564e70a9A2039aB0CDb465aE,​0x4C22b172886860B759172f7c5D027b518211D14B,​0x1AF86eec2D46160B784Ab7f4Ff9C62eC7294d762,​0x97deC872013f6B5fB443861090ad931542878126,​0xA901368aec255B1e6DF31edf8Aa735fF16Bb12a8,​0x01Da73c4Ec1355f953aD0AAcA3eF20e342Aea92a,​0xA9f4E25F89E960eA33Be7f7aD5699D0077d249CC,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0xe9a5bbe41dc63D555E06746b047d624E3343EA52,​0xe5e1e9c58DB4ECaB40fD46D7aC3578b74c1D0921,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x4d2f5cFbA55AE412221182D8475bC85799A5644b,​0x3F70E1C7369347b74E988463eA1Ae2f831b47411,​0x7FfDD8FeFB6085886EFe2651943bcb772432dEEf,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x626A7976D5256D12b4E503C053b043ECcc674Ddf,​0x1814222fa8c8c1C1bf380e3BBFBd9De8657Da476,​0x2f53FC0F66E6703f0070d0cb466b2518Af4da909,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,Other
1575903384000,,,,,,,,,,,,,,,,,,,,,,,,0.00
1578393679000,,,,,,,,,,,,,,,,0.42,,,,,,,,
1578459841000,,,,,,,,,,,,,0.87,,,0.35,,,,,,,,0.38
1578526345000,,,,0.83,,,,,,,,,,,0.40,,,,,,,,,0.31
1578790822000,,,,0.00,,,,,,,,,,,,,,,,,,,,
1579055596000,,,,,,,,,,,,,,,0.29,,,,,,,,,
1579122050000,,,,,,,,,,,,,,,,,,,,,,,0.18,
1579188604000,,,,,0.31,,,,,,,,,,,,,,,,,,,
1579254375000,,,,,0.35,,,,,,,,,,,,,,,,,,,
1579320115000,,,,,,,,,,,,,,,,,,,,,,,,0.00
1579386588000,,,,,0.50,,,,,,,,,,,,,,,,,,,
1579584998000,,,,,,,,,,,,,,,,0.05,,,,,,,,0.00
1579650516000,,,,,,,,,,,,,,,,,,,,,,,,0.54
1580049245000,,,,,,,,,,,,,,,,,,,0.04,,,,,
1580180893000,,,,,,,,,,,,,,0.19,,,,,,,,,,
1580247630000,,,,,,,,,,,,,,,,,,,,,,,,0.10
1580512997000,,,,,,,,,,,,,,0.16,,,,,,,,,,0.01
1580645575000,,,,,,,,,,,,,,0.19,,,,,,,,,,0.01
1580711822000,,,,,,,,,,,,,,0.19,,,,,,,,,,0.01
1580778615000,,,,,,,,,,,,,,0.19,,,,,,,,,,
1580910496000,,,,,,,,,,,,,,0.19,,,,,,,,,,
1581043789000,,,,,,,,,,,,,,0.19,,,,,,,,0.63,,0.50
1581110121000,,,,,0.51,,,,,,,,,,,,,,,,,,,
1581177428000,,,,,,,,,,,,,,0.19,,,,,,,,,,
1581243665000,,,,,,,,,,,,,,,,,,,,,,,,0.01
1581310184000,,,,,,,,,,,,,,,,,,,,,,,,0.00
1581508790000,,,,,,,,,,,,,,0.35,0.42,,,,,,,,,0.00
1581574720000,,,,,,,,,,,,,,0.16,,,,,,,,0.40,,
1581641265000,,,,,,,,,,,,,,0.15,,,,,,,,,,0.01
1581707956000,,,,,,,,,,,,,,0.30,,,,,,,,,,0.07
1581774043000,,,,,,,,,,,,,,1.09,,,,,,,,,,0.02
1581841298000,,,,,,,,,2.93,,,,,1.76,,,,,,,,0.37,,0.00
1581907086000,,,,,,,,,,,,,,9.01,,,,,,,,,,
1581973926000,,,,,,,,,,,,,,11.81,,,,,,1.50,,,,
1582040665000,,,,,,0.06,,,,,,,,16.96,,,,,,2.54,,,,
1582106715000,,,,,,,,,,,,,,9.15,,,,,,,,,,0.01
1582173039000,,,,,,,,,,,,,,2.17,,,2.25,,,,,0.92,,0.00
1582240159000,,,,,,,,,,,,,,6.53,,,4.50,,,,,,,
1582306851000,,,,,,1.01,,,,,,,,5.19,,,1.51,,,,,,,
1582372667000,,,,,,,,,,,,,,0.35,,,,,,,,,,
1582439543000,,,,,,,,,,7.87,,,,0.35,,,2.40,,,,,,,0.00
1582638796000,,,,,,,,,,,,,,0.70,,,4.00,,,,,,,
1582705647000,,,,,,,,,,,,,,2.79,,,10.30,,,,,,,
1582771019000,,,,,,,,,,,,,,3.89,,,18.00,,2.75,,,,,
1582837876000,,,,,,,,,,,,,,7.89,,,9.09,,,,,,,
1582904573000,,,,,,,,,,,,,,7.06,,,,,,,,,,
1582970808000,,,,,,,,,,,,,,0.48,,,5.07,,,,,,,
1583036689000,,,,,,,,,,,,,,1.84,,,2.00,,,,,,,
1583103301000,,,,,,,,,,,,,,6.91,,,,,,,,,,
1583168974000,,,,,,,,,,,,,,4.92,,,2.02,,,,,,,
1583235956000,,,,,,,,,,,,,,1.51,,,,,,,,,,
1583302077000,,,,,,,,,,,,,,4.00,,,,,,,,,,
1583368317000,,,,,,,,,,,,,,1.50,,,,,,,,,,
1583435384000,,,,,,,,,,,,,,0.99,,,,,,,,,,0.04
1583502285000,,,,,,,,,,,,,,3.80,,,7.05,,,,,,,0.02
1583567810000,,,,,,,,,,,,,,2.43,,,6.07,,,,,1.01,,
1583633541000,,,,,,,,,,,,,,3.94,,,4.05,,,,,,,
1583699841000,,,,,,,,,,,,,,11.20,,,7.00,,,,,,,
1583767163000,,,,,,,,,,,,,,5.74,,,13.05,,,,,,,
1583833348000,,,,,,,,,,,,,,2.75,,,3.01,,,,,,,
1583900197000,,,,,,,,,,,,,,0.55,,,,,,,,,,
1583966404000,,,,,,,,,,,,,,12.86,,,,,,,,1.01,,
1584033400000,59.98,33.00,,,,,,,,15.24,,,,27.83,44.00,,16.00,,21.26,,,0.50,,
1584100621000,,24.00,,,,,,,,,2.17,,,,,,,,,,28.46,,,
1584168330000,,10.41,,,,,,,,,,,,,,,5.06,,,,,,,
1584234522000,,,,,,,,,,,,,,2.73,,0.01,,,,,,,0.76,
1584300469000,,,,,,,,2.18,,,,,,1.89,,,3.50,,,,,,2.63,
1584367227000,,,,,,,,,,,,,,2.91,1.00,,6.00,,,,,,,0.05
1584434720000,,2.46,,,,,,,,,,,,1.91,,,2.00,,,,,,0.95,0.05
1584500082000,,2.27,,,,,,,,,,,,0.97,,,,,,,,,,
1584566455000,,,,,,,,1.16,,,,,,,,,,1.15,,,,,,
1584632903000,,,,,,,,,,,,,,0.96,,,1.00,,,,,,,0.29
1584699859000,,,,,,,,,,,,,,0.96,,,,,,,,,,
1584766483000,,4.69,0.93,,,,,,,,,4.04,,2.80,,,4.50,,,,,,,0.05
1584902413000,,,,,,,,,,,,,,,,,3.00,,,,,,,
1584970249000,,,,,,,,,,,,,,0.95,,,,,,,,,,
1585036977000,,,,,,,,,,,,,,3.83,,,,,,,,,,
