timestamp,​0x04fb0de3Af3Fc10B14054C13046e9BB119E96238,​0xe9a5bbe41dc63D555E06746b047d624E3343EA52,​0x59a1EaA24a7ee3c7ec51Fecc5639d203D804602B,​0xD01799a9BB229481212551A6195f58CF3208F3Ac,​0x2f53FC0F66E6703f0070d0cb466b2518Af4da909,​0x626A7976D5256D12b4E503C053b043ECcc674Ddf,​0x736f1536CFd66AE3E27F6d62c67a9D9d9A431326,​0xA901368aec255B1e6DF31edf8Aa735fF16Bb12a8,​0x4C22b172886860B759172f7c5D027b518211D14B,​0x3F70E1C7369347b74E988463eA1Ae2f831b47411,​0xdb359e4D3104FD2661d05b3bCBD7562C9DA76A71,​0x01Da73c4Ec1355f953aD0AAcA3eF20e342Aea92a,​0x4d2f5cFbA55AE412221182D8475bC85799A5644b,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0xe5e1e9c58DB4ECaB40fD46D7aC3578b74c1D0921,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x0763A0C1512F0e10564e70a9A2039aB0CDb465aE,Other
1575903384000,,,,,,,,,,,,,,,,,,0.00
1578393679000,,,,,,,,,,,,,0.42,,,,,
1578459841000,0.38,0.87,,,,,,,,,,,0.35,,,,,
1578526345000,,,0.83,,,,0.31,,,,,,,0.40,,,,
1578790822000,,,0.00,,,,,,,,,,,,,,,
1579055596000,,,,,,,,,,,,,,0.29,,,,
1579122050000,,,,,,,,,,,,,,,,,,0.18
1579188604000,,,,,,,,,,,,,,,,,0.31,
1579254375000,,,,,,,,,,,,,,,,,0.35,
1579320115000,,,,,,,,,,,,,,,,,,0.00
1579386588000,,,,,,,,,,,,,,,,,0.50,
1579584998000,,,,,,,,,,,,,0.05,,,,,0.00
1579650516000,,,,0.52,,,,,,,,,,,,,,0.02
1580049245000,,,,,,,,,,,,,,,,0.04,,
1580180893000,,,,,,,,,,,,,,,0.19,,,
1580247630000,,,,,,,,,,,,,,,,,,0.10
1580512997000,,,,,,,,,,,,,,,0.16,,,0.01
1580645575000,,,,,,,,,,,,,,,0.19,,,0.01
1580711822000,,,,,,,,,,,,,,,0.19,,,0.01
1580778615000,,,,,,,,,,,,,,,0.19,,,
1580910496000,,,,,,,,,,,,,,,0.19,,,
1581043789000,,,,,0.63,,,,,,0.50,,,,0.19,,,
1581110121000,,,,,,,,,,,,,,,,,0.51,
1581177428000,,,,,,,,,,,,,,,0.19,,,
1581243665000,,,,,,,,,,,,,,,,,,0.01
1581310184000,,,,,,,,,,,,,,,,,,0.00
1581508790000,,,,,,,,,,,,,,0.42,0.35,,,0.00
1581574720000,,,,,0.40,,,,,,,,,,0.16,,,
1581641265000,,,,,,,,,,,,,,,0.15,,,0.01
1581707956000,,,,,,,,,,,,,,,0.30,,,0.07
1581774043000,,,,,,,,,,,,,,,1.09,,,0.02
1581841298000,,,,,0.37,,,2.93,,,,,,,1.76,,,0.00
1581907086000,,,,,,,,,,,,,,,9.01,,,
1581973926000,,,,,,1.50,,,,,,,,,11.81,,,
1582040665000,,,,,,2.54,,,0.06,,,,,,16.96,,,
1582106715000,,,,,,,,,,,,,,,9.15,,,0.01
1582173039000,,,,,0.92,,,,,2.25,,,,,2.17,,,0.00
1582240159000,,,,,,,,,,4.50,,,,,6.53,,,
1582306851000,,,,,,,,,1.01,1.51,,,,,5.19,,,
1582372667000,,,,,,,,,,,,,,,0.35,,,
1582439543000,,,,,,,,,,2.40,,7.87,,,0.35,,,0.00
1582638796000,,,,,,,,,,4.00,,,,,0.70,,,
1582705647000,,,,,,,,,,10.30,,,,,2.79,,,
1582771019000,,,,,,,,,,18.00,,,,,3.89,2.75,,
1582837876000,,,,,,,,,,9.09,,,,,7.89,,,
1582904573000,,,,,,,,,,,,,,,7.06,,,
1582970808000,,,,,,,,,,5.07,,,,,0.48,,,
1583036689000,,,,,,,,,,2.00,,,,,1.84,,,
1583103301000,,,,,,,,,,,,,,,6.91,,,
1583168974000,,,,,,,,,,2.02,,,,,4.92,,,
1583235956000,,,,,,,,,,,,,,,1.51,,,
1583302077000,,,,,,,,,,,,,,,4.00,,,
1583368317000,,,,,,,,,,,,,,,1.50,,,
1583435384000,,,,,,,,,,,,,,,0.99,,,0.04
1583502285000,,,,,,,,,,7.05,,,,,3.80,,,0.02
1583567810000,,,,,1.01,,,,,6.07,,,,,2.43,,,
1583633541000,,,,,,,,,,4.05,,,,,3.94,,,
1583699841000,,,,,,,,,,7.00,,,,,11.20,,,
1583767163000,,,,,,,,,,13.05,,,,,5.74,,,
1583833348000,,,,,,,,,,3.01,,,,,2.75,,,
1583900197000,,,,,,,,,,,,,,,0.55,,,
