timestamp,​0x48143eC3AcA8A255496e8ee7997591D3335Abf5f,​0xe76AC62eD966B8584505aF47fee125cda1Fd03c6,​0x5EA16ED0b29DB52A6325744E02719A9f9cA595B9,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0xB42C464652683B3e8C725e9AEAE096c3179a4A5c,​0x93d2F2785f279843c1ff8F3A1ef9C5F20B9eD9bc,​0x709dD6C3ACBD0341b744Ab98EEC3Fe01ee880586,​0x263FC4d9Eb6da1ED296ea6d189b41e546a188D8A,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,Other
1572337649000,,,,0.10,,,,0.02,,
1572406531000,,,,0.16,,,,,,
1575212493000,,,,,,,,,,0.00
1578195701000,,,,0.19,0.01,,,,,
1579584998000,,,,0.00,,,,,,
1580711822000,0.02,,,,,,,,,
1581574720000,,,,,,,,,,0.00
1582240159000,,,,,,,,,,0.00
1582306851000,,,0.01,,,,,,,
1582505376000,,,,,,,0.35,,,
1583235956000,,,,,,,,,,0.00
1585637238000,,0.00,,,,,,,,0.00
1585836257000,,0.01,,,,,,,,
1585969610000,,0.00,,,,,,,,
1586102872000,,0.01,,,,,,,,
1586169028000,,,,,,0.16,,,,
1586236183000,,0.00,,,,,,,,
1586301955000,,,,,,,,,,0.00
1586368858000,,,,,,,,,,0.00
1586434964000,,,,,,,,,,0.00
1586501245000,,,,,,,,,,0.00
1586568529000,,,,,,,,,,0.00
1586635021000,,,,,,,,,,0.00
1586701369000,,,,,,,,,,0.00
1586833705000,,,,,,,,,,0.00
1586900049000,,0.21,,,,,,,0.05,0.00
1586966921000,,,,,,,,,,0.00
1587033174000,,,,,,,,,,0.00
