timestamp,​0x975d498E6Be6F5e35208A1f64D96C1Ac215c8a42,​0x45B4A8b485829B2A109fa80106630C87F938D41e,​0x076C95c6cd2eb823aCC6347FdF5B3dd9b83511E4,​0x41B96e9c6758D12A7a1f67952466b2E104532604,​0x72d50aC6627eAc2E6B69D38eaDd8EEe80d21653c,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x1297Ad486549A430d59D9d5f99eD7C216b6e77DD,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x0c31b6605686aa26df47eb45AF0e4aa6639A5fd6,​0xE2b9D9715ce871F6C3EFB550b2f00A9116fB7D2c,​0x4BE0557d4aeB1675A1D5316e8a437dC934cfacE1,​0x505846a0a89dd26fA5cD0677FD5406039c218620,​0x2988983d105436843757CE8E45be5B3aF3736445,​0x5048b9d01097498Fd72F3F14bC9Bc74A5aAc8fA7,​0x2C99d50Eb4DAA1D26b5bA0b1dAaB58cBFc0AC3E6,​0x97deC872013f6B5fB443861090ad931542878126,​0x280BF69d522BbCFb3aEb138C59D85A16e449057c,​0x06eb1027f15a5c57275498A97538d35f483862D8,​0x27003bA96fBF876018ca6117aCF338F0212C811F,​0xC9c01bc57186A5f0981c4e6F4884BeaEB562E532,Other
1587634602000,,,,,,1.33,,,,,,,,,,0.55,,,,,
1587701744000,,,,,,0.32,,,,,,,,,,0.54,,,,,
1587768625000,,,,,,12.32,,,,,,,,,1.32,0.64,3.97,,0.74,,
1587836062000,,,,,,2.35,,,1.57,,2.68,,,,,,0.92,,,,
1587902337000,,,,,,1.43,,,0.13,,0.78,,,,,0.47,,,,,
1587969951000,,,,,,1.05,,2.33,0.75,,0.50,,,,,,0.69,,,,0.02
1588036978000,,,,,,0.62,,,,,,,,,,,0.43,,,,
1588104246000,,0.10,0.50,,,0.78,,,0.76,,0.69,,,,,,1.26,,,,
1588170340000,,,,,,3.69,,,1.42,,0.21,0.88,,,,,,,,,
1588237076000,,,1.00,,,0.94,,,,,0.14,,,,,,1.48,,,,
1588305064000,,,,,,0.53,,0.01,,,,,,,,0.11,0.71,,,,
1588371539000,,,,,,6.26,,,1.34,0.29,,,,,,,,,,,
1588438821000,,,,,,0.05,,,1.91,,,,,,,,0.37,,,,
1588506516000,,,,,,0.01,,,0.29,,,,,,,,,,,,
1588572377000,1.69,,,,,,,,0.20,,,,,,,,1.07,,,,
1588638430000,2.63,,,,,2.55,,,,,,,,,,,0.69,,,,
1588705743000,,,,,,1.09,,,,,,,,,,,,,,,0.07
1588771981000,,,,,,1.27,,,,,0.11,,,,,,,,,,
1588839881000,,,,,,0.11,,,,,,,,,,,,,,,
1588906152000,,,,,,1.79,,,,,0.30,,,,,,,,,,
1588972800000,,0.08,,,,2.81,,,,,,,,0.14,,0.04,,,,,
1589040204000,,,,,,1.79,,,,,,,,,,,,0.17,,,
1589107927000,,,,,0.32,4.86,0.55,,,,,,0.20,,,0.95,0.41,4.24,,0.24,
1589174391000,1.99,,,,,0.24,0.54,0.11,,,,,,,,,,,,,
1589241093000,4.72,,,,,4.62,,,,,,,,,,0.31,,1.68,,,
1589308656000,,,,,,3.06,0.63,,,,,,,,,,,2.60,,,
1589375621000,,,,,,0.18,,,,,,,,,,,,0.26,,,
1589442351000,0.63,,,,,0.96,,,,,,,,,,0.15,,,,,
1589509055000,0.95,,,,0.15,0.00,,,,,,,,,,,,,,,
1589576701000,,,,,,3.35,,0.00,,,0.09,,,,,,,,,,
1589644333000,,,,,,0.50,,,,,0.07,,,,,,,,,,
1589711000000,,,,,,0.05,,,,,,,,,,,,,,,
1589778055000,0.63,,,0.55,,0.33,,,,,0.49,,,,,,,,,,
1589845567000,,,,,,0.47,,,,,,,,,,,,,,,
1589913105000,0.59,,,,,0.02,,,,,,,,,,,,,,,
1589980117000,0.02,,,,,0.65,,,,,,,,,,,,,,,
1590047677000,,,,,,,,,,,,,,,,,,,,,0.03
1590113970000,,,,,,0.77,,,,,,0.10,,,,,,,,,
1590181994000,0.27,,,,,0.48,,,,,,,,,,,,,,,
1590248502000,,,,,,0.52,,,,,,,,,,,,,,,
1590316431000,,,,,,0.27,,,,,,,,,,,,,,,
1590383553000,,,,,,0.00,,,,,,,,,,,,,,,
1590517845000,,,,,,0.10,,,,,,,,,,,,0.36,,,
1590584981000,,,,,,0.11,,,,,,,,,,,,0.12,,,
1590652494000,,,,,,0.17,,,0.35,,,,,,,,,,,,
1590719602000,,,,,,0.67,,,0.19,,,,,,,,,,,,
1590786531000,,,,,,0.80,,,,,,,,,,,,0.01,,,
1591859571000,,,,,,0.00,,,,,,,,,,,,,,,
1592794125000,,,,,,,,,,,,,,,,,,,,,0.02
1595939151000,,,,,,0.00,,,,,,,,,,,,,,,
