timestamp,​0x2dfE688e8583d58da8f695048B86643F1118093B,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0xb7520a5F8c832c573d6BD0Df955fC5c9b72400F7,​0x0AC545310921E4885Dc4cf5F758D7C49e8974482,​0x79742757071F2d8a742a5cEf140b2f0452e17845,​0x9E493984A0e94B859637284A53a0EAd6D9979d34,​0x834f8Cdaa7e43FAe3D44Bd45973d688B32809A7c,​0x97deC872013f6B5fB443861090ad931542878126,​0x61efDc88bb6Dc02A18DFB9a240800398599BAC64,​0x9709a9f77d4349e1DA4220f1458fBe9339d612E3,​0xA0BB038A8981fC526FecF3fCEA8701312D932e86,​0xaC6dDaA1B4B85f9e4Db3323a95eAf2834EfA29b8,​0x67b4e1b1078B7321d9403D636be6627d39d769b5,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x41B96e9c6758D12A7a1f67952466b2E104532604,Other
1602865569000,,2.48,,,,,,,,,,,,,,
1602931980000,,0.23,,,,,,,,,,,,,,
1603065231000,,0.13,,,,,,0.55,,,,,,,,
1603130753000,,0.37,,,,,,,,,,,,,,
1603263141000,,0.06,,,,,,,,,,,,,,
1603329593000,,2.88,,,,,,,3.88,,,,,,,
1603395740000,,0.67,,,,,,,,,,,,,,
1603462512000,,2.90,,,,,,1.02,,,,,,,,
1603528247000,,1.30,,,,,,,,,,,,,,
1603594450000,,3.44,,,,,,,,,,,,,,
1603661160000,,1.99,,,,,,,,,0.19,,,,,
1603728251000,,2.88,,,,,,,,,,,,,,
1603793902000,,2.25,,,,,,,,,,,,,,
1603860005000,,3.07,,,,,,,0.85,,,,,,,
1603925650000,,2.50,,,,,,,0.36,,,,,,,
1603992067000,,0.67,,,,,,,,,,,,,,
1604059142000,0.24,5.41,,,,,,,0.38,,,,,,,
1604125251000,,6.10,,,,,,,,,,,,,,
1604191395000,,1.16,,,,,,,0.52,,,,,,,
1604257692000,,1.47,,,,,,,,,,,,,,
1604324653000,,1.74,,,,,,,0.64,,,,,,,
1604390633000,,4.85,,,,,,,0.41,,,,,,,
1604457123000,,2.35,,,,,,0.58,,,,,,,,
1604523521000,,3.93,,,,,,,,,0.44,,,,,
1604589935000,,3.08,,,,,,0.41,,,,,,0.44,,
1604655075000,,12.58,0.16,,0.52,,0.19,2.54,0.41,0.72,0.32,0.30,,,,0.40
1604721624000,,17.61,,,,,,0.39,0.59,,,,,,,0.08
1604788406000,,8.39,,,,,,3.31,,,4.34,,,0.61,,
1604855096000,,0.68,,,0.25,,0.08,,,,0.24,,,,,0.06
1604921012000,,2.64,,,0.10,,,,,,,,0.29,,,0.20
1604986692000,,4.07,,,,,,0.57,,,0.38,0.12,,,,0.09
1605054181000,,3.10,,,,,,,,,0.32,,,,,
1605120052000,,3.49,,,,,,2.30,,,,,,,,
1605187095000,,2.25,,,,,,,,,,,,,,
1605252569000,,0.38,,,,,,0.14,,,0.66,,,,,
1605319158000,,0.15,,,,,,0.14,,,,,,,,
1605385703000,,1.98,,,,0.12,,0.27,,,0.21,,,,,
1605451285000,,1.19,0.12,,,0.10,,0.43,,,,,,,,
1605517681000,,1.74,,,,,,0.79,,,1.82,,,,,
1605583771000,,1.04,,,,,,0.25,,,,,,,,
1605650122000,,2.17,,,,,,,,,,,,,,
1605717149000,,4.84,,,,,,0.41,,,,,,,,
1605783309000,,6.14,,,,,,2.83,,,,,,,,
1605849265000,,4.55,,,,,,1.66,,,,,,,,
1605915938000,,4.78,,,,,,1.32,,,,,,,,
1605982271000,,2.82,,,,,,,,,,,,,,
1606048118000,,1.33,,,,,,,,,,,,,,
1606114478000,,2.08,,,,,,,,,,,,,,
1606181350000,,4.00,,,,,,,,,0.69,,,,,0.16
1606247275000,,0.51,,,,,,,,,,,,,,
1606314098000,,0.33,,,,,,,,,,,,,,
1606380252000,,4.33,,,,,,,,,,,,,,0.14
1606446290000,,2.06,,,,,,,,,,,,,,
1606513752000,,4.53,,0.84,,,,,,,1.54,,,,0.45,
