timestamp,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x152676C60B6e1c4e70E197444217ab9dC0737A1b,​0x2cc96F1a3e55882DE61B965b668AE3A5326f4CE0,​0xD5Dfe862Ded2EcFa1E7831476F9DD7d4080bdfB5,​0x6076DC93F53E429aadcE69A4373C6EFC1f843f71,​0xc645303a36d7313f1414250DdfDdD58A972e1a35,​0x7091de9A5435dbA7F051045d64c5ef56bD96064e,​0x248EE163064CEC75103EFB80EA0014fBCd96693f,​0xF173214C720f58E03e194085B1DB28B50aCDeeaD,​0x08b98d2b2B5b4DAcAC2D867614bA57dDCE5148Ce,​0x17e5BF07D696eaf0d14caA4B44ff8A1E17B34de3,​0x5827696E05e587Ba62d2C0773AcE3426895E3155,​0x5D928BB961f49583Dd69a19cE72DEd2be7AE1DC1,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x7D2E10A52eB243e87e98648b89E09FC37B473779,​0xc6f4Ed55921E0B73c5b3A916F005d80216cF17da,​0x7F295F242Fd4dBcE27D755f5830a9f88FF1329d8,​0x2406A9333378E30B9581B8356bb81B4f9BDFF005,​0x9096410692868EA33F77Ff1Ca3Ae3d9948FAf82C,​0x577D96754E7dBDDc5aa9787C139DB2e8026cf4aa,​0xA9123b5FD4B0975f8FF11F1dE121e3Bcf59D9a0c,Other
1565375748000,,,,,,,,,,,,,,,,,,,,,,,0.00
1565509207000,,,,,,,,,,,,,,,,,,,,,,,0.01
1566649948000,,,,,,,,,,,,,,,,,,,,,,,0.01
1567591445000,,,,,,,,,,0.33,,,,,,,,,,,,,
1568198340000,,,,,,,,,,,,,,,1.04,,,,,,,,
1568266003000,,,,,,,,,,,,,,,0.30,,,,,,,,
1568400865000,,,,,,,,,,,,,,,,,,,,,,0.52,
1568535532000,,,,,,,,,,,,,,,,0.11,,,,,,,
1568939678000,0.07,1.01,,,,,,,,,,,,,,,,,,,,,
1569006694000,,,,,,,,1.17,,,,,,,,,,,,,,,
1569817983000,,,,,,,,,,,,,,,0.24,,,,,,,,
1571171084000,,,,,,,,,,,,,0.17,,,,,,,,,,
1573171451000,,,,,,,,,,,,,0.08,,,,,,,,,,
1573814675000,,,,,,,,,,,,,,,0.24,,,,,,,,
1576886273000,,,,,,,,0.50,,,,,,,,,,,,,,,
1577315631000,,,,,,,,1.00,,,,,,,0.36,,,,,,,,
1578989540000,,,,,,,,,,,,,,,0.20,,,,,,,,
1579320115000,,,,,,,,,,,,,,,,,,,,,,,0.00
1579783170000,,,,0.01,,,,,,,0.03,,,,,,,,,,,,
1579848954000,,,,0.10,,,,,,,0.07,,,,,,,,,,,,
1579915579000,,,,0.01,,,,,,,,,,,,,,,,,,,
1579982233000,,,,0.01,,,,,,,,,,,,,,,,,,,0.01
1580049245000,,,,0.00,,,,,,,,,,,,,,,,,,,
1580645575000,,,,0.06,,,,,,,,,,,,,,,,,,,
1580711822000,,,,,,,,,,,,,,,0.74,,,,,,,,
1580844182000,,,,,,,,,,,,,,,,,0.45,,,,,,
1580910496000,,,,,,,,,,,,,,,,,0.26,1.04,0.50,,,,
1580977343000,,,,,,,,,,,,,,,,,,,,,,,0.02
1581243665000,,,,0.05,,,,,,,,,,,,,,,,,,,
1581310184000,,,,0.04,,,,,,,,,,,,,,,,,,,
1581375300000,,,,0.01,,,,,,,,,,,,,,,,,,,
1581508790000,,,,,,,,,,,0.00,,,,,,,,,,,,0.00
1581641265000,,,,0.01,,,,,,,,,,,,,,,,,,,
1581707956000,,,,0.01,,,,,,,,,,,,,,,,,,,0.01
1582439543000,,,,,,,,,,,,,,,,,,,,0.30,,,
1582837876000,,,,0.01,,,,,,,,,,,,,,,,,,,
1583168974000,,,,0.04,,,,,,,,,,,,,,,,,,,
1583235956000,,,,0.08,,,,,,,,,,,,,,,,,,,
1583368317000,,,,0.00,,,,,,,,,,,,,,,,,,,
1583567810000,,,,,,,,,,,0.01,,,,,,,,,,,,
1584168330000,,,,,,,,,,,,,,1.07,,,,,,,,,
1584367227000,,,,,0.23,,,,,,,,,,,,,,,,,,
1584500082000,,,,0.01,,,,,,,,,,,,,,,,,,,
1584566455000,,,,,,,,,,,,,,,,,,,,,,,0.01
1585306138000,,,,0.01,,,,,,,,,,,,,,,,,,,
1585372283000,,,,,,,,,,,,,,,,,,,,,0.57,,
1585770840000,,,,,,,,,,,,,,,0.38,,,,,,,,
1585969610000,,,,,,,,,,,,,,,0.28,,,,,,0.50,,
1586036191000,,,,,,,,,,,,,,0.62,,,,,,,0.60,,
1586102872000,,,,,,,1.00,,,,,,,,0.17,,,,,0.17,0.54,,0.00
1586169028000,,,,,,0.43,,,,,,,,,,,,,,,,,
1586236183000,,,,,,,0.40,,,,,,,,0.28,,,,,,,,
1586301955000,,,,,,,,,,,,0.40,,,,,,,,,0.46,,
1586368858000,0.05,,,,,,1.30,,,,,,,,,,,,,,,,
1586434964000,,,,,,,,,,,,,,,,,,,,,0.83,,
1586501245000,,,,0.01,,,,,0.04,,,,,,,,,,,,0.40,,
1586701369000,,,0.36,,,,,,,,,,,,,,,,,,,,
1586767741000,,,0.24,,,,,,,,,,,,,,,,,,,,
1586833705000,,,0.52,,,,,,,,,,,,0.55,,,,,,,,0.00
1586900049000,,,0.25,,,,,,,,,,,,0.25,,,,,,,,
1587033174000,,,,,,,,,,,,,,,,,,,,,0.57,,
