timestamp,​0x0c0202cBEcaa59c55093eCFF89Cb80871922d605,​0x783bBC93574A593C48F2360498922BEbF6432533,​0x9096410692868EA33F77Ff1Ca3Ae3d9948FAf82C,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0xb6a34Bd460f02241e80e031023ec20ce6FC310AE,​0xAfd9034Aba776D09C52b573c0b8bEcfd2b22FB5a,​0x5aB9d116a53EF41063E3EaE26A7eBe736720E9bA,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x229779eFD1896e1A4bDC0Acf5CE1DE11C940d102,​0x81EbA9C6dE7FCc54a10dfFFa25B8b5eCb698F5aB,​0x6794471ebC084A4ca462C506AfEaBb93d9657c25,​0xD58B99680A687131EA7Dc6BB53660BFe5567FbfD,​0x8Ebd10FE696288c6ED1E024064FDF54541Aa63e0,​0x97deC872013f6B5fB443861090ad931542878126,​0x97B3E9be65D523B688d515F85EC148966f7E3117,​0x67d3cCbd1D81E7B1427b70D94454E0039271d237,​0x0aE11fA925BFc9Ea7eB114b5FC7B4258586b9b2c,​0x5Be5b30A720093C9d1B1E6CF8441280a48a495F8,​0x5100276Ff4561D05A502527De00e9515129e3cfE,​0xB3d8aB962cbA81b923d9F4dCb56864e1D0E20a4E,​0x8b0C18d9225900aB042A4d8667cD114AC714346C,​0x8611D7b429F12c8917cc17339f17bdE7b4BfEb7A,​0x6076DC93F53E429aadcE69A4373C6EFC1f843f71,Other
1582771019000,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,
1583699841000,,,,,,,,,,,,,,,,1.02,,,,,,,,,,,
1583767163000,,1.91,,,,,,,,,0.44,,,0.61,,,,,17.07,,,,,,,,
1584168330000,,,,,,,,,,,,,,,,,,,5.55,,,,,,,,
1584367227000,,,,,,,3.62,,,,,,,,,,,,,,,,,,,,
1584434720000,,,,,2.23,,,,0.89,,,,,,,,,,,,,,,,,,
1584500082000,3.00,2.00,,,,,,,,0.47,1.75,,,,,,,,9.30,,,,,,,,
1584566455000,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,
1584699859000,,,,,,,,,2.89,,,,,,,,,,,,,,,,,,
1585105600000,,,,,,5.02,,,,,,,,,,,,,2.22,,,,,,,,
1585173391000,,,,,,,,,1.50,,,,,,,,,,,,,,,,,,
1585306138000,,,,,,,,,,,,,,,,,,,2.26,,,,,,,1.62,
1585372283000,,,,,,,,1.00,,,,,,,,,,,1.76,,,,,,,,
1585704243000,,,,,6.86,,,,,,,,,,,,,,8.50,,,,,,,,
1585770840000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08
1586036191000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08
1586236183000,,,,,,,,,,,,,,,,,,,4.00,,,2.16,,,,,
1586434964000,,2.00,,,,,,,,,1.10,,,,,,,,,,,,,,,,
1586501245000,,,,,,,,,,,,,,,,,,,,,,,,,,2.66,
1586966921000,,,,,,,,,,,,,,,,,,,3.53,,,,,,,,
1587033174000,,,,,0.60,,,,,,,,,,,,,,,,,,,,,,
1587368133000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1587501138000,,,,,,,,,,,,,,,,,,,1.82,,,,,,,,
1587568237000,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,
1587768625000,,,,,0.70,,,,,,,,,,,,,,,,,,,,,,
1587969951000,,,,,,,,,,,,,,,,,,,14.86,,,,,,,,
1588036978000,,,6.02,,3.19,,,1.04,,,,,,,,,,,,,,,,,,,
1588104246000,,,,,0.78,,,0.92,,,,,,,,,,,,,,,,,,,
1588170340000,,,,,,,,1.00,0.51,,,,,,,,0.73,,,,,3.71,,,,,
1588237076000,,,0.96,,,,,,,,,,,,,,,,,,,,,,,,
1588305064000,,3.04,0.74,,,,,,,,1.93,1.87,,,,,,,5.88,,,,,,,,
1588371539000,,,,,,,,,,,,,,,,,,,,,,,,0.61,,,
1588638430000,,,,,3.84,,,1.00,,,,,,,,,,,1.41,,,,,0.03,,,
1588705743000,,,,,,,,,,,,,,,,,,,6.78,,,,,,,0.23,
1588771981000,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,
1588972800000,,,0.05,,,,,,,,,,,,,,,,5.00,,,,,,,,
1589174391000,,,,,,,,2.00,0.20,,,,,,,,,,5.02,,,,,,,,
1589711000000,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,
1589778055000,,,,,,,,,,,,,,,,,,,1.32,,,,,,,,
1590047677000,,,,0.98,,,,7.14,,,0.90,,0.94,,,,,0.34,,38.22,4.58,,,,0.50,,
1590113970000,,,,,,,,,,,,,,,,,,0.29,1.08,,,,,,,,
1590181994000,,,0.64,,,,1.48,,,,,,,,,,,,1.82,,,,,,,,
1590517845000,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,
1590719602000,,,,,,,,,,,,,,,1.22,,,,1.20,,,,,,,,
1590853669000,,,,,,,,,,,,,,,,,,,,,,,,,0.40,,
1591054955000,,2.00,,,,,,,,,,,,,,,,,2.37,,,,,,,,
1591122115000,,,,,,,,,,,,,,,,,,,2.31,,,,,,,,
1591189759000,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,
1591256276000,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,
1591389945000,,,,,,,,,,,,,,,,,,,,,,,,,,4.48,
1591590964000,,,,,,,,0.97,,,,,,,,,,,,,,,,,,,
1591658478000,,,,,,,,3.99,,,,,,,,,,,7.63,,,,,,,,
1591793059000,,,,,,,,0.82,,,,,,,,,,,,,,,,,,,
1591859571000,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,
1591926628000,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,
1591993124000,,,,,,,,,,,,,,,,,,,5.00,,,,,,,,
1592060020000,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,
1592326391000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1592594022000,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,
