timestamp,​0xB3d8aB962cbA81b923d9F4dCb56864e1D0E20a4E,​0x513E26c08AEbcfFDe0AE4742CBeD49e323112Fb2,​0x475B837869Ad2F7cF9E23E120de78b791b2FE2cd,​0xb86ED89626d58BcABB43043820Cf5E5a1AABE8e0,​0x0419F7fb03488a5d70698bed92471308C1565B14,​0xE445437C8044a2d582cEcc3A64C5849Df667700e,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0xDC062A061B4fFBE1901094B936799BCA82D17505,​0x28EfC5cd51332AC26d4e970C216dC448cEd9e6ac,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0x048F6dfB9e674C1962d447924baFFA9C8F68761C,​0x35Bd8F6c9aF2350Cca1D18565B89491536a859f3,​0xC73277dFeBc7f2aecB0885Ac3c6616296b719CF1,Other
1578724741000,,,,,,,,,,,,,0.00,
1580247630000,,,,,,,,,,,,0.04,,
1580313366000,,,,0.01,,,,,,,,4.96,9.24,
1580380051000,,,,5.00,,,,,,,,,3.34,
1580446477000,,,,,,,,,3.50,,2.00,,4.48,
1581574720000,,,,,,,,,,,,,,0.00
1581973926000,,5.00,,,,,0.16,,,,,,6.64,
1582106715000,,,,,,5.10,,,,0.07,,,6.20,
1582306851000,0.10,,,,,,,,,,,,,
1586701369000,,,,,,,,0.50,,,,,,
1586833705000,,,,,,,,0.12,,,,,,
1586966921000,,,,,,,,0.10,,,,,,
1587234387000,,,,,,,,0.02,,,,,,
1589980117000,,,,,0.08,,,,,,,,,
1590316431000,,,,,0.08,,,,,,,,,
1590584981000,,,,,0.16,,,,,,,,,
1591457899000,,,,,,,,,,,,,,0.00
1594467342000,,,0.20,,,,,,,,,,,
