timestamp,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0x6E0b0C5faf7a95B7db4765d40c2c79e4224d0d65,​0x45A2FDfED7F7a2c791fb1bdF6075b83faD821ddE,​0xe15553F2B19301849f68d0Ea7B145BB19646c727,​0xeF5e089fB126AA0207Dbc6ae619C9E51Eb3bAAfc,​0xB3d8aB962cbA81b923d9F4dCb56864e1D0E20a4E,​0xB791c10824296881f91BDbC16367BbD9743fd99b,​0xF981A18E8eA76d6629F094731CD9fCA73aBeCdA7,​0x88dF13889E20EFa93Ff9a0C08f101F431bD9DDD7,​0x505C02B4aa1286375FBDF0c390AC0fe9209DCB05,​0x97deC872013f6B5fB443861090ad931542878126,​0x34E89740adF97C3A9D3f63Cc2cE4a914382c230b,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x5048b9d01097498Fd72F3F14bC9Bc74A5aAc8fA7,​0x000000F54395c554346bfD24e6a1ccd90B881a4e,​0x4F30E682D0541eAC91748bd38A648d759261b8f3,​0x95D3a3C78020Bbae4658DF09f71511D4f402e4ED,​0xb146907392eD12031F7715B0376833E3f7C5b98c,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0x4a6f6B9fF1fc974096f9063a45Fd12bD5B928AD1,​0xb80C9b1b4F894F9669796A0605A9DAA0E80E6912,​0x6f0189e3dd542E5d16BdCc5642BADc884BBD16Ec,​0xF996D7d9BaCb9217ca64BBce1b1cD72E0E886Be6,Other
1569344903000,,,,,,,,,,,,,,,,,,,,,,,,0.00
1569412741000,,,,,,,,,,,,,,,,,,,,0.20,,,,0.05
1569817983000,,,,,,,,,,,,,,,,,,,,,,,,0.00
1570358020000,,,,,,,,,,,,,,0.60,,,,,,1.70,,,,
1570492273000,,,,,,,,,,,,,,0.10,0.42,,,,,,,,,
1570560314000,,,,,,,,,,,,,,0.85,0.07,0.07,,,,1.09,,,,0.00
1570628456000,,,,,,,,,,,,,,0.09,,,,,,,,,,
1570696365000,,,,,,,,,,,,,,,0.77,,,,,,,,,
1570832121000,,,,,,,,,,,,,,0.56,,0.23,,,,0.01,,,,
1570967603000,,,,,,,,,,,,,,0.07,,,,,,,,,,
1571103316000,,,,,,,,,,,,,,,0.20,,,,,,,,,
1571171084000,,,,,,,,,,,,,,0.24,,0.27,,,,,,,,
1571239896000,0.10,,,,,,,,,,,,,0.15,0.34,0.43,,,,,,,,
1571376291000,,,,,,,,,,,,,,0.09,0.56,0.16,,,,,,,,
1571444011000,,,,,,,,,,,,,,0.37,,0.44,,,,,,,,
1571648150000,,,,,,,,,,,,,,,,,,,,0.04,,,,
1571716619000,0.16,,,,,,,,,,,,,,0.13,,,,,0.06,,,,
1571851268000,,,,,,,,,,,,,,,,0.19,,,,,,,0.09,
1571920923000,,,,,,,,,,,,,,,,0.47,,,,,,,,
1572060724000,0.71,,,,,,,,,,,,,,2.72,,,,,,,,,
1572129485000,0.46,,,,,,,,,,,,,0.09,,,,,,,,,,
1572198558000,,,,,,,,,,,,,,,0.27,,,,,,,,,
1572267917000,0.27,,,,,,,,,,,,,,0.11,,,,,,,,,
1572337649000,,,,,,,,,,,,,,,0.11,,,,,,,,,
1572406531000,,,,,,,,,,,,,,,0.56,,,,,,,,,
1572476793000,0.57,,,,,,,,,,,,,,,,,,,,,,,
1572546064000,0.37,,,,,,,,,,,,,,0.24,,,,,,,,,
1572615810000,0.12,,,,,,,,,,,,,,,,,,,,,,,
1572684939000,,,,,,,,,,,,,,,0.15,,,,,,,,,
1572822749000,0.13,,,,,,,,,,,,,,,,,,,,,,,
1572893104000,,,,,,,,,,,,,,,0.27,,,,,,,,,
1572962724000,,,,,,,,,,,,,,,0.15,,,,,,,,,
1573031855000,,,,,,,,,,,,,,,0.32,,,,,,,,,
1573171451000,,,,,,,,,,,0.23,,,,,,,,,,,,,
1573240765000,,,,,,,,,,,0.34,,,,,,,,,,,,,
1573311556000,,,,,,,,,,,,,,,0.27,,,,,,,,,
1573382543000,,,,,,,,,,,,,,,0.12,,,,,,,,,
1573455245000,,,,,,,,,,,,,,,0.22,,,,,,,,,
1573527153000,,,0.07,,,,,,,,0.15,,,,,,,,,,,,,
1573598526000,,,,,,,,,,,0.13,,,,0.32,,,,,,,,,
1573742983000,,,,,,,0.11,,,0.13,,,,0.33,0.44,,,,,,,,,0.00
1573814675000,,,,,,,,,,,,,,0.57,,,,,,0.30,,,,
1573886613000,,,,,,,,,,,,,,0.37,0.20,,,,,,,,,0.00
1574030120000,,,,,,,,,,,,,,,0.58,,,,,,,,,
1574102523000,,,,,,,,,,,,,,0.34,,,,,,,,,,
1574175364000,,,,,,,,,,,,,,0.60,,,,,,,,,,
1574319702000,,,,,,,,,,,,,,0.13,,,,,,,,,,
1574390894000,,,,,,,,,,,0.12,,,1.18,0.16,0.10,,,,,,,,
1574463158000,,,,,,,,,,,,,,0.27,,,,,,,,,,
1574534614000,,,,,,,,,,,,,,,,,,,,,,,,0.00
1574753753000,,,,,,,,,0.26,,,,,,,,,,,,,0.62,0.14,
1574906610000,,,,,,,,,,,0.12,,,1.02,0.52,,,0.46,0.43,,,,,
1574982967000,0.16,,,,,,0.09,,,,,,,0.52,0.76,0.05,,,,,,,,
1575059347000,,,,,,,,,,,,,,,0.30,,,,,,,,,
1575136068000,0.12,,,,,,,,,,,,,,,,,,,,,,,
1575212493000,,,,,,,,,,,,,,0.36,,,,,,,,,,
1575288653000,0.15,,,,,,,,,,,,,,,,,,,,,,,
1575442393000,,,0.20,,,,,,,,0.16,,,,,,,,,,,,,
