timestamp,​0xB532165ca44D9F829c31De28EE34C976c742fc56,​0x416535372f3037606f0c001A3a3289EE5EF32A3E,​0xE050064a54D38837E8C7e8A2196ca217846A5099,​0x00486213e92a62c4f8d893E583D1CC75eEC111aB,​0x01Da73c4Ec1355f953aD0AAcA3eF20e342Aea92a,​0x9fF95EA175eD51E0D062fc014CB3841300F29F86,​0x7B6E5278a14d5318571d65aceD036d09c998C707,​0x33954E320383C8e48b36a5A97197a1999b0a55dA,​0xd6f64c02c14Ac390bf5f772de6CD590f9412bD1C,​0xb7ABE0f0A1c31a88FdCdEF71033cf7ae7d12f2d3,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0xB26BdbCA9E4Cf4e34424ae59279c4608cc2240C3,​0x151D8A20FA76E45E839F6838F39925490198490a,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x577D96754E7dBDDc5aa9787C139DB2e8026cf4aa,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x00abA9FA0630e1bCfaBbe9487d3897db9d3fbBfE,​0x069ABDBF65e56B7B6bCA1C907de5cc7A3bE9D895,​0xD19aCe1B8a996Da17e878C0dfc80Cd710d4960F3,​0x468C281AE2D956E6e2F8611dde298190F435D085,Other
1580380051000,,,,,,,,,,,,,,,,,0.03,,,,0.00
1580446477000,,0.17,,,,,,,,0.01,,,,,,,,,,,
1580579921000,,0.17,,,,,,,,0.05,,,,,,,,,,,0.02
1580645575000,,,,,,,,,,,,,,,,,0.01,,,,
1581375300000,,0.50,,,,,,,,,,,,,,,,,,,
1581574720000,,,,,,,,,,,,,,,,,,,,,0.00
1581641265000,,,,0.02,,,,,,,,,,,,,,,,,
1581774043000,,,,0.01,,,,,,,,,,,,,,,,,
1581907086000,,,0.01,,,,,,,,,,,,,,,,,,
1582040665000,,0.18,,,,,,,,,,,,,,,,,,,
1582106715000,,0.13,,,,,,,,,,,,,,,,,,,
1582173039000,,0.44,,,,,,,,,,,,,,,,,0.29,,0.01
1582240159000,,,,,,,,0.00,,,,,,,,,,,,,
1582306851000,,,,,,,,0.02,,,,,0.37,,,,,,,,0.01
1582439543000,,,,,,,,,,,,,,,,,,,,,0.01
1582571821000,,,,,,,,,,,,,,,,,0.02,0.09,,,0.00
1582837876000,,,,,,,,,,,,,,,,,,,,0.03,
1583036689000,,,,0.01,,,,,,,,,,,,,,,,,
1583168974000,,0.19,,,,,,,,,,0.03,,,,,,,,,
1583368317000,,,0.01,,,,0.09,,,,,,,,,,,,,,
1583502285000,,,,,,,,,,,,,,,,,,,,,0.00
1583633541000,,,,,,,,,0.01,,,,,,,,,,,,
1583833348000,,4.15,,,,,,,,,,,,,0.55,0.03,,,,,0.02
1583900197000,0.02,0.10,,,,0.06,,,,0.57,,,,,,,,,,,
1583966404000,,,,,,,,,,,,,,,,,,,,,0.01
1584168330000,,,,,,,,,,,,,,1.20,,,,,,,0.00
1584300469000,,2.70,,,0.18,,,,0.01,,0.93,,,,,0.06,,,,,
1584367227000,,,,,,,,,,0.10,,0.74,,,,,,,,,
1584500082000,,0.01,,,,,,,,,,,,,,,,,,,0.00
1584632903000,,,,,,,,,,,,,,,,,,,,,0.00
1584833664000,,,,,,,,,,,,,,,,,,,,,0.00
1584902413000,,,,,,,,,0.01,,,,,1.00,,,,,,,
