timestamp,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x00000000000080C886232E9b7EBBFb942B5987AA,​0xE88Ab9Ef45B26fCBC4286b635DAB6aFd16E744c7,​0xe683E7eAE41a2357870b6416C9d6c9BE2Ba6208C,​0x859c750B0954fd4b087772dA9dBD25cCb581C478,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x0886A3B935DE1A05dd5067821d5a753656a607A2,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0xcecB01659ef27a5b29eF1C0e4E268269bE133189,​0x649E6aff628460411524717d671048d6f36BB0B9,​0x6C3942B383bc3d0efd3F36eFa1CBE7C8E12C8A2B,​0xB791c10824296881f91BDbC16367BbD9743fd99b,​0x1695Ab284F6dd66c4C365917e18470D23e4Ed24A,​0x45A2FDfED7F7a2c791fb1bdF6075b83faD821ddE,​0x514fd3B8109CFB7CDe4b17e4912fd56690c23145,​0xc095976BD18181f28626c5D48372DebD7a8Ce8d4,​0x25C610eeE8f59768c26567c388986Aab3467a3E3,​0xA825CAE02B310E9901b4776806CE25db520c8642,​0x5048b9d01097498Fd72F3F14bC9Bc74A5aAc8fA7,​0x7F20cd27dC06d0520064583B1e84455AdC98CBe9,​0x71bD4dBd3ABEdA9E794460fB27f18A5F243125da,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x55e9877C8e66801313607396e7e563391753f800,​0xd0Ac3CaBf268371bfCfF1Fb38a7736B962d7b03B,​0xC040d51b07Aea5d94a89Bc21E8078B77366Fc6C7,​0x6d5fe1342745230063BE26117Abb4612d9876Ba5,​0x498aA5830da490C85Dc4d92B410aAB86edB26c17,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x97deC872013f6B5fB443861090ad931542878126,Other
1573742983000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1574390894000,,,,,,,,,0.12,,,,,,,,,,,,,,0.10,,,,,,,
1575366165000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,
1575596839000,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,
1576541361000,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,
1576627001000,0.06,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,
1576713534000,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,
1577488582000,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,
1577659927000,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,
1577832303000,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,
1578063677000,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.05,,,,
1578195701000,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,
1578327837000,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,
1578526345000,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,
1578724741000,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,
1578989540000,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,
1579055596000,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,
1579122050000,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,
1579254375000,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,
1579320115000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1579386588000,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,
1579453251000,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,
1579584998000,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,
1579783170000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,
1579915579000,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,
1580180893000,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1580313366000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,
1580446477000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,
1580579921000,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,
1580645575000,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1580711822000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1580977343000,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581110121000,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581243665000,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1581508790000,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581574720000,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581707956000,,,,,,,,,,0.01,,,,,,,,,,,0.04,,,,,,,,,
1581841298000,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581907086000,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582040665000,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582106715000,0.06,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,
1582173039000,0.05,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,
1582240159000,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582306851000,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582505376000,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582638796000,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582705647000,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582771019000,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583235956000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1583368317000,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,
1583502285000,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583699841000,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,
1583767163000,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,0.02,
1583833348000,,0.03,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.05,
1583966404000,,0.02,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,
1584033400000,,,,,,,,,,,0.02,,,,,,,,0.07,,,,,,,,,,,
1584100621000,,0.08,,,,,,,,,,,,,,,,,,,,,,0.31,,,0.09,,0.21,
1584168330000,0.14,0.06,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,
1584234522000,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.09,
1584300469000,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584367227000,,0.04,,,,,,,,,,0.04,,,,,,,,,,0.11,,,,,,,0.04,
1584434720000,,0.10,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,
1584500082000,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584566455000,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,
1584632903000,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584699859000,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584766483000,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,
1584902413000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.00
1585036977000,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585105600000,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585372283000,,,,,,,,,,,,,,,,,,,0.04,,,0.02,,,,,,,,
1585438491000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,0.06,
1585504149000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,
1585571105000,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.30,,,
1585637238000,0.16,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,
1585770840000,,,0.01,0.49,,,,,,,,,,,0.55,,,,,,,,,,,,,,0.06,
1585836257000,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,
1585903293000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,0.07,
1585969610000,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,
1586036191000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,0.07,
1586169028000,,0.01,,,,,,,,,,,,,,,0.02,,,,,,,,,,0.10,,,
1586236183000,,0.07,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.10,,,
1586301955000,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586368858000,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,
1586434964000,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586501245000,,,,,,,0.02,,,,,,,,,,,,,,,0.08,,,,,,,,
1586767741000,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,
1586900049000,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
