timestamp,​0x9d99e35623e7a405824f800EaC2489F9aA896390,​0xb8113eE1C4Dc7b63D04b5543D984b5dbdA25518e,​0xF6962b0BC87869fec44020f7061252dC83857dd4,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x24050801ceD28cFdA49473BCBfcc8733D0ad087F,Other
1582372667000,,,,,0.28,
1582571821000,,,,,0.20,
1583168974000,,,,,0.03,
1583368317000,0.20,,,,,
1583502285000,,,,,0.14,
1583699841000,,,,,0.05,
1583966404000,,0.06,0.79,,,
1584033400000,,,0.73,0.52,,
1584100621000,,,0.04,,,
1584168330000,,,0.07,,,
1584367227000,,,,0.11,,
