timestamp,​0xB3d8aB962cbA81b923d9F4dCb56864e1D0E20a4E,​0x0f75EC23c26f6D00D8c12D8D6dFE6633Adb224Ef,​0xfc1b61Aebe657d33DF261DB89AADd767515600C6,​0x4d2f5cFbA55AE412221182D8475bC85799A5644b,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x66ace6CAa9Ec944735F73ed592a5E1ed22293F3a,​0x97deC872013f6B5fB443861090ad931542878126,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0x5A1CbD3227277fAe4f3ABd4d091E058de50e6Ac4,​0x3B3C74C5aE9415CEa88C81014B80979a61b7B464,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xA824233b7956DB5bAFA5a2CB813C1414A6Fa3E67,​0x2130FD01026867A6c8DdE24ad5E64F2e2DFce196,​0x7D77e6Fe8cd921e4A89ad735A3A722b1f84dc32b,​0x4e6F2b5e8d84AF5c5ff21Dd7e376BAf6B17e3dea,​0xaed8810b3f7367d63a6d6fD86dfb1878552D9D07,​0xf08f1bdFBA4358Ba7738f2F2b09738a13cCDf04C,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x440ba0D649D2FC64b34BeCf8B211595780c9feFe,​0xfA5073140A1C8A1728716E78CCfA2dA514045D3C,Other
1578195701000,,,0.06,1.69,,,,0.10,0.57,0.08,,1.20,0.60,0.70,,0.78,,0.20,0.89,,
1578261907000,,,,0.42,,0.52,,,,,,3.13,2.66,,,,,,0.22,,
1578327837000,,,,,,,,,,,,,,,,,,0.21,,,
1578393679000,,,,,,,,,,,,,0.60,,,,,,,,
1578459841000,,,,,,,,,,,,,,0.03,,,,,,,
1578658814000,,,,,,,,,,,,,,,,,0.10,,,,
1578989540000,,,,,,,,,,,,,,0.03,,,,,,,
1579055596000,,,,,,0.48,0.58,,,,,,,,,,,,0.19,,
1579122050000,,0.61,,,,,,,,,,,,,,,,,,,
1579254375000,,,,,,,,,,,,,,,,,0.11,,,,
1579453251000,,0.61,,,,,,,0.24,,,0.75,,,,,,,,,
1579518909000,,,,,,,,,0.41,,,,,,,,,,,,
1579584998000,,,,,,0.64,0.65,,,,,,,,,,,,,,
1579650516000,,,,,,,,,,,,,,0.03,,,,,,,
1579848954000,,,,,0.11,,0.42,,,,,1.76,1.12,,,,0.14,,,,
1579915579000,,,,,,,,,,,,,,,,,,,0.30,,
1580180893000,,,,,,,,,,,,0.75,,0.03,,,,,,,
1580247630000,,,,,,,,,0.32,,,,,,,,,,,,
1580446477000,,,,,,,,,,,,,,,,,0.17,,,,
1580579921000,,0.51,,,,,,,,,,,,0.17,,0.17,,,,,
1580645575000,,0.52,,,,,,,,,,,,,,,,,,,
1580711822000,0.06,,,0.32,0.11,,0.96,,5.88,,,2.42,,,,,,,,8.31,0.05
1580778615000,,,,,,,,,0.20,,0.16,0.97,,0.03,,,,,1.14,,
1580844182000,,,0.12,,,,,,0.20,,,,,,,0.40,,,,,
1581043789000,,,,,,,,,,,,,1.56,,,,,,,,
1581110121000,,,,,,,,,,0.17,,,,,,,,,,,
1581177428000,,,,,,0.51,,,0.17,,,,0.17,,0.17,0.40,,,,,
1581243665000,,,,,,,,,0.17,,,,,,,,,,,,
1581310184000,,,,,,,,,0.18,,,,,,,,,,0.09,,
1581375300000,,,,,,,,,0.18,,,,,0.03,,,,,,,
1581441429000,,,,,,,,,0.18,,,,,,,,,,,,
1581574720000,,,,,,0.36,,,0.18,,,,,,,,,,,,0.00
1581641265000,,,0.12,,,,,,,,,,0.85,,,,0.16,,0.16,,
