timestamp,​0x4E60bE84870FE6AE350B563A121042396Abe1eaF,​0x6fC34A8B9B4973b5E6b0B6a984Bb0bEcC9Ca2b29,​0x4BE0557d4aeB1675A1D5316e8a437dC934cfacE1,​0xB7Bd892B95fc2FaF5659404D9Aca1bfA164f0686,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x3Ee505bA316879d246a8fD2b3d7eE63b51B44FAB,​0x97deC872013f6B5fB443861090ad931542878126,​0x01Da73c4Ec1355f953aD0AAcA3eF20e342Aea92a,​0x5632Cf9a1b4ac936A3c6d3D66EB75c0344c61c2d,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x0c31b6605686aa26df47eb45AF0e4aa6639A5fd6,​0xfe32A37F15ee4a4b59715530E5817D1322B9df80,​0x4EC7CdF61405758f5cED5E454c0B4b0F4F043DF0,​0x64aBC5b10C77d93BE5038E7b4965D2F0D8279127,​0xE84Eb5f8AC725a2EFd9018Fe9BFb50B34a27e3Ed,​0x422C2df1dDCb6C98C0044d3248F8a5dA5ba2a3C4,​0xB28397E0e9a9CD849A30AF694f46765310274aF5,​0x8e3f5e7578B9e0f4B9Ab65C85568C8F80aEC95AE,​0x9Cbb36d516e5A782EC7cB9Fdaa73c58Ae8F6773D,​0x280BF69d522BbCFb3aEb138C59D85A16e449057c,​0xAC360aFE163a9bA039BA9aa04a99d49c80f6A9C8,​0x9f1C5712F5bbef2833eA694DB5e326bc3645fAce,​0xF7B10D603907658F690Da534E9b7dbC4dAB3E2D6,​0x076C95c6cd2eb823aCC6347FdF5B3dd9b83511E4,Other
1586434964000,0.76,,,,0.95,10.20,,0.89,,,,,,,,,,,,,,,,,3.93,0.10
1586501245000,,,,,1.06,60.66,,,,,,1.21,0.08,,,,,,,,,,,,,0.16
1586568529000,1.34,,5.81,2.03,2.40,60.36,,2.08,,,4.68,6.72,1.88,6.72,,,3.69,,,,,,0.61,,5.00,0.66
1586635021000,,,2.62,,0.30,5.44,,4.71,,,,2.47,,,,,,,,,,,,,,0.26
1586701369000,,,5.30,1.12,0.16,5.89,,,,,0.78,1.23,,,,,,,,,,,,,,0.05
1586767741000,,,0.57,,0.35,11.83,,1.55,,,2.77,4.81,1.30,,0.35,,,4.19,,,10.67,,0.35,1.14,9.20,0.07
1586833705000,,,0.46,,1.33,11.58,,3.92,,,5.58,,,,,,,3.61,,,5.91,,,1.64,,0.08
1586900049000,,,,,0.38,1.31,,0.07,,,2.21,,,,,0.07,,4.04,,,2.12,,,,,
1586966921000,,,0.79,,0.07,6.74,,3.21,,,,2.89,,,,0.38,,1.44,,,3.76,,,,,0.07
1587033174000,,0.69,1.84,,,16.84,,,3.80,,4.24,2.55,2.40,,,3.78,,12.06,,,10.49,,,3.30,3.00,1.22
1587099968000,,,,0.12,0.18,2.37,3.97,,,0.52,1.25,,,,,0.68,,,,,4.92,,,,2.48,0.35
1587167698000,,,0.56,,0.61,4.78,0.42,,,,0.76,,,,,,,,0.84,,1.25,,,,,
1587234387000,,,,,,5.61,,,,,,,0.48,,,,,,,0.71,,,,,,
1587300847000,,,0.31,,0.38,1.09,,,,,,,,,,,,,,,,,,,,0.16
1587368133000,,,,,,3.06,,,,,,,0.35,,,,,,,,,,,,,0.17
1587434258000,,,,,,1.17,,3.05,,,,,,,3.02,,,,,,1.62,,,,,0.10
1587501138000,,,,,,0.04,,2.62,,,,,,,,,,,0.32,,0.62,2.38,,,,
1587568237000,,0.11,,,,0.82,,,,,,,,,,,,,,,,,,,,0.04
1587634602000,,,,,,1.83,,,,,,,,,,,,,,,,,,,1.47,0.06
1587701744000,,,,,,2.26,,,,,,,,,,,,,,,,,,,0.16,0.03
1587768625000,,,,,,0.28,,,,,,,,,,,,,,,,,,,,0.40
1592794125000,,,,,,,,,,,,,,,,,,,,,,,,,,0.05
