timestamp,​0xbeC73ba0817403cd11C11bE891D671EA30443562,​0xa7d68854ad6177DcD2195fFe5530F390BBC08Bfa,​0x7A97484F57D98a62B0195D79b9600624744dE59C,​0x6b3B17988aF204DC717867d7cd89d43e25B3610E,​0x5cE9aD759E41BF1b3dFC1a41Db940A90d7a43460,​0x1E3e2324213B495d5eA6eF06Eb62D70ba03c3b66,​0xE0bC000877Aa4ECb841a55d75812Fc6fFA2b632b,​0x0e3fE76b26F4f2559457c03aab4f242dcaEAE38f,​0x3b132136D7006602aA661B9ae1858Ac6A14862F0,​0xdF0692E287A763e5c011cc96Ee402994c6Dd246E,​0xC454E2B4EbB3C74B2Caf83e74067A8055B375e4E,​0x1D11ceda40fC5A552cd53e1249f395D29FEFe7d2,​0xbc615B4289c5DB7aefe8110B22f38EE84898F432,​0xC3a2e2f40a397D3C69429358dC6F141E854c1E9e,​0xcA6d94eE0D366fFB5BbC472f98f995a04D929e92,​0x01b23f8cc7FBF107b0F39AA0Ba7C17eBAFb5D618,​0xFFF2dcc0a9C7F917A97D5d2D04d7390BC9fd84aC,​0xE6e99f3171ba4F4b94823456FeDFb195C2aD18d0,​0x8eeC2C10ADC20749D226493677FE253E1C13fF1E,​0x9b2062E0F62c0a1c8b77A5197011E62Db28A9227,​0x3BCc84b7d10AFbaBB358b7f55b7eD1C9D75e7C16,​0x76ee0B711Fd67E655D0B1c799903dE49A0c219E2,​0xee402489D83e2B22D496910F8C810D35a3Ad7B25,​0x9AE8912ea6562957043c8d048641Aa9B450c397f,​0x61395870B11d665d35851305f5767dA9a7D7a709,​0xA479FF23cbc4E9D1Fa2aE4fbb36645De2Ba36764,​0xC857B228311B5e14f0A97CBcA8e5FB274EaD502e,​0x0B2A092CFaC76Dd3a6fAbc89f1c31278e8B41D1F,​0xBB403D793DDa52f8512950953771B7c341086120,​0x079092b9C6Ea2E24404764497Db916eFe864869c,​0x0a690B298f84D12414F5c8dB7de1EcE5a4605877,​0x06C71dC79d7E7c47792Dad78c525D9B270520b29,​0xC5e38233Cc0D7CFf9340e6139367aBA498EC9b18,​0x0F8Fd2ADB6C07830b591a4cFC4725F6991B784b1,​0xC3746825f13c07Dcd7e6fDb9C0c80A9aFFb18952,​0x08e47122F5bc6Cf8F661481FC001F2bfC082443F,​0x3aa4d509aD8581995203419905aF7a95A8128119,​0x0A55D0Bb3E275488D2d6aFF9204aBd2C3b27DdaA,​0x0C2928630395EA989e3077Aefe50E08dc5426584,​0x9023Ef16968FFea318838A223ef2A79bd9f99F88,​0x339fF09680b65FcD81D38A11Be4E75F34c8966Fc,​0x18cF8DA8a1b2df67e85f2FB9aE7311C677Bc16D7,​0x793A68e64214A1c4a0406A214874B60781320596,​0x6D84f9bfD766Ae920582ca8eD2537678965d4917,​0x6648EFfA532F0Fe6972286273193fD049C1b1738,​0xE80a3C96878Db5BE9fD609404CaBC4B3f402ffc5,​0x3Ef5F421E155Ed29e6Fa815FD875bFCD5f22eCd1,​0xe25b8Fa6E21f67F8dcccf1222D23Faf6f2e84A2f,​0xB581BA86bEe1EFa3D9DEc30DAFc8E87253458476,​0x25a984EF6eE2074ACD028331D130129Fdf83a26E,​0x4C72C39f7bAbED4118e628A51CC97380816320eC,​0x793f6c86Da7109F83fBB9Cd6592cfA9E89a95616,​0xb762620284cECFE51F4E0ed5aD8509b9F586E4Ae,​0xC231a91aaEe31ec4A6570D41c4513bDe116ccb10,​0x7279532c307C140d5594142eeE1eFc6523c529ED,​0xBED21A15E4F896d16E20e87fE22F1a4b2974362B,​0xbaCE1e5F9cb38F56fA8B096E3fe940D9c34d189D,​0x4006de5Fc3407115F71d90617EA9386aadAd5f0A,​0xb89c2F6Bb674BD6aACe2a1E274D40E6dC4775b15,​0xB823dc506011EEdab6F8feECc88806dBFc55Ea93,​0x5aC1Ae8764c1fc9FB26cb0F034675389304917F5,​0xfc760BbC3910af98DfAE00463f8e31513D53E197,​0x8564b8f4Ce5EC63254a9A13295680ceb1B57Fa52,​0x89E823fe2732E1aae9Ed5164ED63aF061D3E8964,​0x196A3Dc8446920Cef0f0d1f6Bf7Ba5b40702C79f,​0x193997d4459380B09a060Ba087b2f59B1D928119,​0xC51954Ad1602af86D459abB05aa95d57c38926D9,​0xe41739c0156b0Ca57a402CBe3BeeF47bd273070D,​0xF97A5C27cfC2151a1710aA4b914794b974727EC2,​0x14E0C25B35A0fE5C62bb8eb0C8064e6fae290F8E,​0x5905554D1aFdEC2Fd460aA24Bc66fC5917fcDee1,​0xceD6F3C4e59e99DE99cE69a9259e5D329f5A1a47,​0x9200c9822835611cEf2683C8C610135fc6b110fD,​0x9a568bFeB8CB19e4bAfcB57ee69498D57D9591cA,​0xE14Dad6ECB799AaC22d938AfDec38623bEe2D25C,​0xCf0E9b4746cfB97bAE329FE5F696969F6564566a,​0x1A91f5CD9E8E27009222C7D9838646Dd82c95175,​0xCD2B1273E4e50002b72419D7a0280b3E691b3D74,​0x5bB10BcBdc20a928eB07DDCF481dEA7c667698bb,​0x1da5b8BD36809BfC148A3cc73e0683ae9fF41337,​0xdf687Fd521eF89067Dd430f735d1157B577089Fd,​0xC971Ed9766233f5d127c6e1164c4982346BF93e9,​0xe382828b599Aff647891Bb139fF8154b0a9d95C2,​0x4e8A001C4d8F03a20D401B4Ad4ec3862521461CA,​0x624394c3E8699980162fA15E23FDB707D9a53517,​0x2Ae82657EC1ec17B25F564CC500DAc2a55c5C623,​0x0019B9367B5A88882E82bDC3325551E3B8d50caA,​0x7a7892b3EF64ABeDe8348684BA57a37fd7EDC0d9,​0x3A49309413793b32F6A308769220147feDbFfa5f,​0x007880443b595eb375ab6b6566ad9A52630659Ff,​0xdA54e914F0709ec787157329Bb0c528ab873CBBC,​0x65D472172E4933aa4Ddb995CF4Ca8bef72a46576,​0x7405Fe24003A50e4f4117D35E9b5a9f5E512fEdE,​0xAE1A1CDB13Ec86506831531D9e52456b2c0eb625,​0xF22F00D0B95B1b728078066E5f4410F6B2Be8faE,​0x1E36A5979c613F52F8CB956638B07602C7e7e1F7,​0xFE69FB531698B534a2Bc895940C5d37876b04Db3,​0xaf8B6df989C4f108B454cb4837fE08318a36363D,​0x2a1b9e47799F0Ab964BC8D85b38031498ce06e70,​0xF3b5b99bd07D0c9F1892E9c070a285B14bd17Ad7,​0x5415c548Cd408c7ec695280259Eaad48c7637725,​0xc93678EC2b974a7aE280341cEFeb85984a29FFF7,​0xbA178AE12DAa78dE6592847cF8bb26508aE5D5Db,​0xfc15d88Af8920cAfEFec39a19Ea27eB0f39F8209,Other
1601053079000,,0.28,,2.01,,,2.58,0.21,,0.24,,,0.30,,1.56,1.00,0.20,3.44,1.13,,2.80,,,0.30,,,0.97,,,1.46,1.41,0.87,0.78,,,0.13,,0.69,,,0.68,,0.21,0.12,,0.65,,,,3.01,0.70,5.30,1.98,,,,2.58,,,,,,2.20,3.07,,1.15,0.20,,,5.59,,2.26,0.39,2.74,0.15,,1.00,,0.50,0.20,2.30,,2.41,,,,,1.60,0.55,0.77,5.31,,2.27,0.79,1.00,0.14,,,,,0.66,1.00,,,0.51
1601120014000,,0.15,0.64,1.61,,,,,1.89,,,0.56,0.57,,1.20,1.00,0.22,,,,2.44,,,,4.04,,,7.50,,,,,0.28,,,0.50,0.22,,4.40,,,0.20,0.21,0.28,0.20,,,0.97,0.64,2.51,,,,1.00,,0.25,,0.21,0.52,,0.77,1.33,1.76,,5.52,,0.10,,1.55,,3.00,1.76,,,0.19,,1.16,0.56,,0.18,,0.76,,0.30,,,0.40,,,,,0.25,1.20,,,,0.29,0.28,,3.00,,1.86,,0.25,0.96
1601187908000,,,,,,1.78,,,,,1.93,,0.50,,,,,,0.50,,,,,,,0.33,,,1.34,,2.00,,,2.06,0.58,,,,,,0.39,,,,,,,,,,,,,0.82,,,,0.13,,,,,,,,,,,0.79,,,,8.20,,,,,,,0.17,,,,,0.41,,,1.06,,,,,,,,,,,,1.00,,1.99,,,0.30
1601255204000,,,,,,,,0.09,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,0.83,,,,0.25,,,,,,,,,,,,,,1.00,,,3.35,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,0.58,,0.06
1601323528000,,,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,,,,,2.33,0.50,,,,,,,,,,1.65,,,,,3.56,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,5.90,,,,,,,,0.21,,,,,1.00,0.50,,,0.20,,0.25
1601390741000,,,,,,,,,,,,,,0.74,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.63,,,,,,,,,,,,,1.00,,,,,,,,,0.84,,,,,,,,,,,1.20,,,,,,,,,,,,,,0.87,,,,0.67,,0.22
1601459154000,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,1.53,,,,,,,,,2.89,,,,,,,,,,,0.18,,,,,,,,,
1601525869000,,,,,,,,,,,,,0.14,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601592730000,,,,,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,0.30,,
1601660827000,,,,,1.55,,,,,,,,,,,,,,,,,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,
1601728631000,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04
1601796104000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601863935000,,,,,,,,,,,,,0.10,,,,,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,4.54,,,,,,,,,,,,,,,,,,,,,,,,5.33,,,0.13,,
1601931072000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,0.07,,,,,,,,,,2.68,0.11,,,,,,,,,,,,,,,,,,,,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11
1601998104000,,,,,,,,,,,,,,,,,,,,,,,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602133843000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,
1602202095000,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20
