timestamp,​0x3b0535C602078a22A9954209B3556549C4E5E987,​0x84A4c55297f8C4d6a91cFf1147F9A13B44928a5b,​0x2F5B009d42917452f4F057B0998DfaD4d84C7662,​0x84D62A75fF6D3C3DeF8587A4ed50738efebf8a12,​0xc385FAb6554b51c8E87020ABBe8D7bA4507dD1F5,​0xa7329fD51B2dC832f92A1Ec5e05CC35D4d1a095e,​0x9A9A9B371dC9631B2B325f37ff76Fa4DabdE4A71,​0x9fA3cC07d724501cF6CeEBE28D9639939f1804a9,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0xdf388A9338AA924587BF91437760F02ecF425cbF,​0x4676a9576315287659d0f9902D288bdfe49604ab,​0xFAB3DFa4188794cd81A5Fdc118B6B5CA874b24ab,​0xFC98B63d14D52fC2EFBf4003B44683434953FDc5,​0xfC7F623Bc12DBEb984A9D618e9B07693fF35283f,​0x802589926e65E35db2938Ff1783C1D1b392bf38f,​0x5d1EE9f2A17ACcf72532Dd17ad36F0B8909a38CA,​0xE5E4188f3aCA617aE0c40634bDf168da328a838F,​0xF4DDf881f1F2a98A33791cCae1D0A9dE9D583490,​0xaDC514b090c4d4c1355051Bc9Bf414573d5A60a1,​0x2DCDf77e4F12BFb9E153833D0F69c55061282Ae5,​0xA9333685543E62176A091A86574e0ca3aCd30d7d,​0x71685158f300b30Ecf564870ea3F8c35abA5bc77,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0xFBa1271d4F8c8676557d8afE1C68694Ba668cD48,​0x4Fe95C36bB9B3A81F278569525162f91615E77d7,​0x943AaC88003Eb0deE7c1907CFA294dfb7fD2Dd2f,​0xfb3e0D5aEEc0fAD1B83ce8601792677d251B5b12,​0x3365489c99a10E333d471fB69780a690665EC896,Other
1562957966000,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563025451000,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563091362000,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563226501000,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563295219000,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563362708000,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563430869000,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563496525000,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,
1563564858000,,,0.00,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,
1563631313000,,,0.06,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,
1563698150000,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563765551000,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,
1563832155000,,,0.04,,,,,,,0.02,0.00,,,,,,,,,,,0.03,,,,,,,,
1563899459000,,,0.06,,,,,,,0.04,,,,,,,,,,,,,,,,,0.14,,,0.00
1563966329000,,,0.13,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,
1564101403000,,,0.05,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,
1564168317000,,,0.02,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,
1564235604000,,,0.05,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,
1564302116000,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564369151000,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,
1564436686000,,,0.04,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,
1564503925000,,,0.03,,,,,,,0.02,,,,,,,,,,,,,,,,,0.04,,,
1564570789000,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564637313000,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.01
1564705696000,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564772699000,,,0.00,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,
1564839134000,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
