timestamp,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0xB67CFf0Ed07A50f690638731Dce80BC4FE312c83,​0x802589926e65E35db2938Ff1783C1D1b392bf38f,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x80324Ec8d64425B37f8603A97097dA7D493dbc79,​0x2AD672FDA8a042c4c78C411bF9d4f1b320aA915a,​0xDFf2AA5689FCBc7F479d8c84aC857563798436DD,​0x97deC872013f6B5fB443861090ad931542878126,​0x2E642b8D59B45a1D8c5aEf716A84FF44ea665914,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x84D62A75fF6D3C3DeF8587A4ed50738efebf8a12,Other
1580446477000,,,,,,,,,,0.06,,
1580512997000,0.11,0.33,2.72,,,,,0.26,,0.45,1.80,
1580579921000,,,2.66,,,,,,,0.69,,
1580645575000,,,0.89,,,,,,,0.64,,
1580711822000,,,1.00,0.63,,,,,,,,
1580778615000,,,,4.27,,,,,,0.20,,
1580844182000,,,,0.39,0.10,,,,,0.63,,
1580910496000,0.12,,0.33,4.26,3.84,,,,,,,
1580977343000,,,,12.26,3.74,,,,,,,
1581043789000,,,,0.44,,,,,,,,
1581110121000,,,,2.91,2.49,0.36,,,,,,
1581177428000,,,,0.65,,,0.50,,,,,
1581310184000,,,,0.98,,,,,,0.75,,
1581375300000,,,,0.41,,,0.76,,,,,
1581441429000,,,,1.11,0.57,,,,,,,
1581508790000,,,,5.06,,,,,,0.84,,
1581574720000,,,,7.34,1.27,,,,,7.78,,0.00
1581641265000,,,,4.23,,,3.88,,2.22,4.33,,
1581707956000,,,,6.02,,,0.82,,,4.82,,
