timestamp,​0x4a6f6B9fF1fc974096f9063a45Fd12bD5B928AD1,​0xdc6B04B4e40fDe7c0e9ee1171F913FebDbB4b88B,​0xB791c10824296881f91BDbC16367BbD9743fd99b,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0xF996D7d9BaCb9217ca64BBce1b1cD72E0E886Be6,​0x97deC872013f6B5fB443861090ad931542878126,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0xb80C9b1b4F894F9669796A0605A9DAA0E80E6912,​0x45A2FDfED7F7a2c791fb1bdF6075b83faD821ddE,​0x6bFa119a191576Ba26Bc5e711432aCA0cFda04DE,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x34E89740adF97C3A9D3f63Cc2cE4a914382c230b,​0xB3d8aB962cbA81b923d9F4dCb56864e1D0E20a4E,​0x5048b9d01097498Fd72F3F14bC9Bc74A5aAc8fA7,​0x4F30E682D0541eAC91748bd38A648d759261b8f3,​0x000000F54395c554346bfD24e6a1ccd90B881a4e,Other
1569412741000,0.05,,,,,,,,,,,,,,,,
1569817983000,,,,,,,,,,,,,,,,,0.00
1570358020000,0.50,,,,,,,,,,,,,,,,
1570492273000,,,,,,,,,,0.10,,,,,,0.04,
1570560314000,0.01,,,,,,,,,,,,,,,0.06,
1570696365000,,,,,,,,,,,,,,,,0.00,
1571239896000,,,,,,,,,,,,,,0.14,0.24,0.12,
1571307873000,,,,,,,,,,,,,,,0.07,,
1571376291000,,,,,,,,,,,,,,,0.11,0.34,
1571444011000,,,,,,,,,,,,,,,0.35,,
1571648150000,0.03,,,,,,,,,,,,,0.11,,,
1571716619000,,,,0.11,,,,,,,,,,,,0.12,
1571851268000,,,,0.01,,,,,,,,,,0.22,,,
1571920923000,,,,,0.08,,,,,,,,,0.31,,,
1572060724000,,,,0.43,,,,,,,,,,,,1.76,
1572129485000,,,,0.23,,,,,,,,,,,,,
1572198558000,,,,,,,,,,,,,,,,0.11,
1572267917000,,,,0.11,,,,,,,,,,,,0.10,
1572337649000,,,,0.10,,,,,,,,,,,,0.11,
1572406531000,,,,,,,,,,,,,,,,0.33,
1572476793000,,,,0.37,,,,,,,,,,,,,
1572546064000,,,,0.23,,,,,,,,,,,,0.18,
1572615810000,,,,0.10,,,,,,,,,,,,,
1572684939000,,,,,,,,,,,,,,,,0.10,
1572822749000,,,,0.10,,,,,,,,,,,,,
1572893104000,,,,,,,,,,,,,,,,0.23,
1572962724000,,,,,,,,,,,,,,,,0.10,
1573031855000,,,,,,,,,,,,,,,,0.14,
1573171451000,,,,,,0.09,,,,,,,,,,,
1573240765000,,,,,,0.21,,,,,,,,,,,
1573382543000,,,,,,,,,,,,,,,,0.20,
1573455245000,,,,,,,,,,,,,,,,0.14,
1573527153000,,,,,,0.12,,,,,,,,,,,
1573598526000,,,,,,0.12,,,,,,,,,,0.33,
1573670409000,,,,,,,,,,,,,,0.13,,,
1573742983000,,,,,,,,,,,,,,0.23,,0.22,0.00
1573814675000,,,,,,,,,,,,,,0.21,,,
1573886613000,,,,,,,,,,,,,,0.36,,0.22,
1574030120000,,,,,,,,,,,,,,,,0.31,
1574102523000,,,,,,,,,,,,,,0.14,,,
1574175364000,,,,,,,,,,,,,,0.40,,,
1574248216000,,,,,,,,,,,,,,0.14,,0.12,
1574319702000,,,,,,,,,,,,,,0.17,,,
1574390894000,,,,,,0.12,,,,,,,,0.90,,0.16,
1574463158000,,,,,,,,,,,,,,0.27,,,
1574534614000,,,,,,,,,,,,,,,,,0.00
1574753753000,,,,,,,,,,,,,,,,0.08,
1574906610000,,,,,,0.14,,,,0.18,,,,,,,
1574982967000,,,,0.15,,,,,,,,,,0.37,,0.51,
1575059347000,,,,,,,,,,,,,,,,0.17,
1575136068000,,,,0.12,,,,,,,,,,,,,
1575212493000,,,,,,,,,,,,,,0.21,,,
1575288653000,,,,0.10,,,,,,,,,,0.10,,,
1575442393000,,,,,,,,,,,,0.10,,,,,
1575519604000,,,,,,,,,,,0.14,,,0.13,,0.17,
1575596839000,,,,,,,,,,,,,,,,0.19,
1575749392000,,,,,,,,,,,,,,,,0.09,
1575826602000,,,,,,,,,,,,,,,,0.12,
1575979374000,,,,,,,,,,,0.25,,,,,,
1576056123000,,,,,,,,,,,0.11,,,,,,
1576132843000,,,,0.31,,,,,,,,,,,,,
1576208669000,,,,,,,,,,,,,,,,0.14,
1576372313000,,,,,,0.09,,,,,,0.07,,,,,
1576541361000,,,,,,,,,,,,,,0.77,,,
1576627001000,,,,,,,,,0.46,,,,,0.41,,,
1576713534000,,,,,,,,,,,,0.14,,0.28,,1.20,
1576799699000,,,,0.33,,,,,0.25,,,,,,,0.11,
1576886273000,,,,,,,,,,,,,,,,0.14,
1576971438000,,,,,,,,,,,,,,0.10,,,
1577057861000,,,,,,,,,,,,,,,,0.42,
1577143907000,,,,0.27,,,,,,,0.24,,,,,0.11,
1577315631000,,,,,,,,,0.10,,0.12,,,,,,
1577402327000,,,,,,,,,,,0.50,,,,,0.50,
1577488582000,,,,,,,,,,,0.12,,,,,0.10,
1577573599000,,,,,,,,,,,,,,,,0.22,0.02
1577659927000,,,,,,,,,,,,,,,,0.66,
1577746179000,,,,,,,,,,,0.33,,,0.10,,0.10,
1577832303000,,,,,,,,,,,0.20,,,,,,
1577918935000,,,,,,,,,,,,,,,,0.19,
1577997589000,,,,0.09,,,,,,,0.21,,,,,,
1578063677000,,,,,,,,,,,0.18,,,,,0.58,0.01
1578129566000,,,,,,,,,,,,,,,,0.10,
1578195701000,,,,,,,,,,,,,,,,0.09,0.01
1578261907000,,,,,,,,,,,,,,,,0.21,
1578327837000,,,,,,,,,0.09,,0.19,,,,,0.59,
1578393679000,,,,,,,,,,,,,,,,0.21,
1578459841000,,,,,,,,,,,0.12,0.09,,,,0.40,
1578526345000,,,,,,,,,,,0.63,,,,,,
1578592894000,,,,,,0.10,,0.28,,,,0.28,,0.36,0.04,0.71,
1578724741000,,,,,,,,,,,,,,,,0.46,
1578790822000,,,,,,0.24,,,,,,,,,,0.22,
1578923015000,,,,,,,,,,,,,,0.27,,0.34,
1578989540000,,,,,,,,,,,,,,,,0.36,
1579055596000,,,,,,0.06,,,,,0.19,,,,,1.57,
1579122050000,,,,,,0.12,,,,,0.66,,,,,0.49,
1579188604000,,,,,,,,,,,0.35,,,,,0.23,
1579254375000,,,,,,,,,,,,,,,,0.54,
1579320115000,,,,,,,,,,,0.40,,,,,0.44,0.00
1579386588000,,,,,,,,,,,0.22,0.08,,0.12,,0.73,
1579453251000,,,,,,,,0.51,,,0.50,,,0.25,,,
1579518909000,,,,,,,,,,,,,,,,0.14,
1579584998000,,,,,,,,,,,0.19,,,,,0.28,0.00
1579650516000,,,,,,,,,,,,0.11,,,,0.18,
1579717286000,,,,,,,,,,,0.14,,,,,,
1579783170000,,,,,,,,,,,0.20,,,,,,
1579848954000,,,,,,,,,,,0.41,,,,,0.11,
1579915579000,,,,,,,,,,,0.27,,,,,0.36,
1579982233000,,,,,,,,,,,0.10,,,,,0.09,
1580049245000,,,,,,,,,,,,,,,,0.10,
1580114658000,,,,,,,,,,,,,,,,0.35,
1580180893000,,,,,,,,,,,,,,,,0.30,
1580313366000,,,,0.08,,,,,,,,,,,,0.29,
1580380051000,,,,,,,,,,,0.17,,,,,0.09,0.01
1580446477000,,,,,,,,,,,,0.08,,,,0.58,
1580512997000,,,,,,,,,,,,0.30,,,,0.13,0.00
1580579921000,,,,,,,,,,,,,,,,0.12,
1580645575000,,,,,,,,,,,,,,,,0.39,0.02
1580711822000,,,,,,0.10,,,,,,,,,,0.26,0.02
1580778615000,,,,,,0.09,,,,,0.11,,,,,0.10,
1580844182000,,,,,,,,,,,0.21,0.06,,,,0.10,
1580910496000,,,,,,,,,,,,,,,,0.50,
