timestamp,​0x781b6EecE2E7ba81cc8782956FfB7C286107cDE9,​0xa5F94aC4202315d2186afc725fF380F283A06080,​0x58e11792D0637540ab1f430E4659693659Ea2734,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x78E87757861185Ec5e8C0EF6BF0C69Fa7832df6C,​0xD0be2821cd565afAd204cA058b61bB3829b786A0,​0x37860b28F8cBd4B0cbED92e1416237981D7557E8,​0x97deC872013f6B5fB443861090ad931542878126,​0x9Ee1830ff376758c5Ecc7FB465f3b14d64116d71,​0x52cA93AFcC8bA54f7e5c08dC7371A2C51Bd55df6,​0xB400b653901C4ca3465D58980bc469960a0eFde9,​0xA5d8C45538cCBB2d73d3E11Cb0DE20b29BF0Eee3,​0xe4e9Bb2c6aabCAe687352Ba00214771dcd538A35,​0xA238819a0ccA2dEaB598724F172810e9eBD052c7,​0xB4DaB4c25687AF9365363017f50dB19b59946918,​0x552dc40FdCdf5f81c0a5FCB704AC490BA7571C05,​0x2bbb52927C31a50934af437D1ED7325Ea26dE4Fc,​0x0E71F7a6bBAE357A1Cd364173aE69D3fb2e539e3,​0xDD0Ae472337D8b3E63a60FceD8ae4BE36093598f,​0x56aFFa87c32a40401dffA6B3822651D5F01216B6,​0x1Bdc18d53CA882B97196828E131548700ea81a88,Other
1589845567000,,,,,0.40,,,0.03,,,,,,,0.71,,,,,,,
1589913105000,,,,,,,0.24,,,,,,,,,,,,,,,
1590047677000,,,,,,,0.04,,,,,,,,,,,,,,,
1590248502000,,,,0.36,,,,1.69,,,,,,,,,,,,,1.29,
1590316431000,,,,,,,0.39,,3.96,,,,,,,,,,,,,
1590383553000,,,,,,,,0.28,,,,,,,,,,,,,,
1590451139000,,,,,,,0.50,,,,,,,,,,,,,,,
1590786531000,,,,,,,,,,,,,,,,,,,0.75,,,
1590853669000,,,,,,,,,,,,,,,,0.24,,,,,,
1590919824000,0.49,,,,,,0.13,0.03,,,,,,,,,,,,,,
1590987649000,,,,,,,,,,0.46,,,,,,,,,,,,
1591054955000,,,,,,,0.38,,,0.46,0.22,,,,,,,,,,,
1591122115000,,,,,,,,0.21,,0.21,,,,,,,,,,,,
1591389945000,,,,0.23,,,,,,,,,,,,,,,,,,
1591590964000,,,,,,,,0.06,,0.22,,,,,,,,,,,,
1591793059000,,,,,,,,,,0.45,,0.45,,,,,,,,,,
1591993124000,,,,,,,0.71,,,0.46,,,,,,,,,,,,
1592126059000,,,,,,,,0.46,,0.46,,,,,,,,,,,,
1592794125000,,,,,,,,0.23,,,,,,,,,,,,,,
1592861502000,,,,,,,,,,0.45,,,,,,,,,,,,
1593195376000,,,,,,0.34,,,,,,,,,,,,,,,,
1593531858000,,,,,,,1.75,,,1.30,,,,,,,,,,,,
1593599509000,,,,,,,,,,0.24,,,,,,,,,,,,
1594067228000,,,,,,,,,,0.23,,,,,,,,,,,,
1594400599000,,,,,,,,0.23,,,,,,,,,,,,0.23,,
1594667176000,,0.44,,,,,,,,,,,,,,,,,,,,
1594734577000,,0.23,,,,,,0.84,,,,,,,,,,,,,,
1595068938000,,,,,,0.36,,0.48,,,,,,,,,,,,,,
1595202619000,,0.26,0.25,,,,,,,,,,0.75,,,,,,,,,
1595270294000,,,,,,,,,,,,,,,,,,,,0.24,,
1595405073000,,,,,,,1.83,0.19,,,,,,0.23,,,,0.37,,,,
1595471028000,,,,,,,,0.83,,,,,,,,,0.42,,,,,
1595604570000,,,,,,,0.78,,,,,,,,,,,,,,,
