timestamp,​0x4c39185a078B5666C372538231cB793A0928807b,​0xA00c99F5f955552742F1089deD88ABDC74E67Bac,​0x076C95c6cd2eb823aCC6347FdF5B3dd9b83511E4,​0x975793c7A6a077221aCa4E4FB9B7f9A46378463a,​0x97deC872013f6B5fB443861090ad931542878126,​0xEB27A4A1A776985a5F2926400529f6d49DE38212,​0x41B96e9c6758D12A7a1f67952466b2E104532604,​0x42325EcD700084B3215a77b394b42e77f7552588,​0x026CFE8238076C5500416cE21C6c3B3E00484494,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xC8ecA93df335F17CA34bBf5d66407230c45332c6,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x9d07E31f7e013B28Fa152B27b529Bf0A2051B552,Other
1600719844000,0.31,0.39,0.64,2.84,0.47,0.28,,0.45,0.10,,0.45,7.57,1.47,0.03
1600786926000,,0.44,,,0.87,,,,,0.93,0.60,4.51,0.45,
1600852525000,,0.34,,,,,,,,,0.29,3.00,,
1600920149000,,0.23,0.01,,,,,,,,0.12,3.11,,
1600986137000,,0.78,,,,,,,,,,3.39,,
1601053079000,,1.08,,,,,,,,,0.44,3.54,,
1601120014000,,0.74,,,,,,,,,,2.20,,
1601187908000,,,,,,,,,,,,1.24,,
1601255204000,,,,,,,,,,,,0.47,,
1601323528000,,,,,,,,,,,,0.36,,
1601459154000,,,,,,,,,,,,0.06,,
1601525869000,,,,,,,0.60,,,,,0.23,,
1601592730000,,,,,,,,,,,,0.29,,
1601660827000,,,,,,,0.31,,,,,,,
