timestamp,​0x793168FB619178b380Aa831620B1312684167aE6,​0xDef9e718616652b2C48D2229e3A9d39b5De12eAC,​0x1530FC137f35b1b02299127696ed48BD1097B98d,​0xF4a0e9AD90f441670016742C8977f79553EE8eE8,​0x74C20E49e3cCC0C5A8eAC54E8547B70ecdFfB1b4,​0x73084E4338A64d73180D039FaE40A0e92b105F35,​0x6E63a4CAeCcb4F341EE9C9175c9Cc554bDB6d10B,​0x223716C5aa5fd892c0dAff1f24D4531272E8B12d,​0x4161574d054c35C17023E3B87210EA6dA129dE9f,​0xeB12a626BF202f61469716ccE910Ce481E0Dd835,​0x3498c228B3aC354e11a41d3DaFD5d909786C4E5D,​0x6cd5B7AbA1e610755EA101ae6197F97D4D24BB63,​0xC7ADea0d6B7c4a19d91E8bB825831E7aCA770755,​0xA9938f3317e1A8010496B0EA93375B5B6F102F95,​0xec89a4E9F698d8e4A70C05606F7fB2F8e91fbD33,​0x61EC9B1F9547705227fE4854D4E90356a3d0A286,​0x99b9aA961DdBC2583331D7Cd1B94630872292006,​0x04c0546e35b9E96B3A69692C433Acb50f3AED0B1,​0x40DeeA0Cb0Fe5FE5154ff8fDC79EC68087553D0E,​0xbEB3502E6Ea7603C57550D23AD93E786261a6272,​0x23096234466Be5D3AC3da2cB6B4D8D843D528426,​0xAFCdb58EE3F6467354CeEB796d1841035A6d7cae,​0x0E942Af80ec218c327d7B91C8a4843d5a7061001,​0x49c8209caF76E2758FE1097B175E3EAb357b74Be,​0x3dF364ED7e8A887f7f9c240f7e281A4ea05CE03f,​0x5140A2e4b1e8f39a3D06fBF135803Acc75b65955,​0xc6ca2E898936faa9ACdb2277B10cFbe758ce5b9E,​0xfA33467b9fE5e5E3a82FD59F3facA755DF9a13d8,​0x19058B87cc3975b2dd7d01B6e95102AB9e1a2a72,​0x576a655161B5502dCf40602BE1f3519A89b71658,​0x43AFaA86982a4Dd6717D65ffDBC703A91bB82979,Other
1582904573000,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.01,,
1582970808000,,,0.01,,,,,,,,0.22,,0.01,,,,,,,0.02,,,,,,,,,,,,
1583168974000,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,
1583235956000,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,
1583302077000,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,
1583368317000,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,
1583435384000,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,
1583502285000,,,,0.01,,,,,0.02,,,,,,,0.01,,,,,,,,,,,,,,,,
1583699841000,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,
1583767163000,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,
1583833348000,0.01,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,
1583966404000,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,
1584168330000,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,
1584367227000,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,
1584434720000,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,
1584699859000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,
1585105600000,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,
1585173391000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
1585239172000,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,
1585306138000,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,
1585372283000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
1585571105000,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,
1585637238000,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,
1585704243000,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585836257000,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,
1585903293000,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586036191000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,
1586169028000,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,
1586368858000,,,,,,,,,,,,0.00,,,,,,,,0.01,,,,,,,,,,,,
