timestamp,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0xA849896Ef3d66D1cEB96F1775A95E7337c05744c,​0x0d57F8686e1b1aC17B58aAd352EC8338a1e0ca2F,​0x577D96754E7dBDDc5aa9787C139DB2e8026cf4aa,​0x72338b82800400F5488eCa2B5A37270ba3B7A111,​0xCa253fE65D86E0a1848864184C170FaaC021F862,​0x97deC872013f6B5fB443861090ad931542878126,​0x0EeE7bcE7D0A676794fb8186AF5DBe7b6713806a,​0x8aCC2a8EE942Dd8717aD30b23aCBBE31cf4Cba2F,​0x9737A6F6474A44c178d7e46569Fdc7a5BD15626a,​0x1b169948cF1C0627eAcdfB7aDb5DE0A332A04F81,​0xa23c6b6d479B383A421D1C3Ca58a4FA6309104eF,​0x2406A9333378E30B9581B8356bb81B4f9BDFF005,​0xd55BDA1bF7F7157aD8FA3d416b351f28288F10Cb,​0x5A6fc2De011d93842411aa5f91a0a4AcD3fEfFde,​0x17559a8138E72C6Ef34512b11685dedC509BaDcf,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x2AD672FDA8a042c4c78C411bF9d4f1b320aA915a,​0x8c1C2D7C0BfD189AC1F45CDB1C5c2892aA86Ee36,​0x248EE163064CEC75103EFB80EA0014fBCd96693f,​0x1200563cFAEb481e1f0542A246F0cefcdE4C4753,Other
1574606767000,,,,,,,,,,0.13,,,,,,,,,,,,,,
1574677937000,0.04,,,,0.13,,,,,1.41,,,,,,,,,,,,2.20,,
1574753753000,,,,,0.14,,,,,,,,,,,,,,,,,,,
1575596839000,,,,,,,,,,,,,,,,,,0.00,,,,,,
1575673602000,,,,,8.14,,,,,,,,,,,,,,,,,8.00,,
1576627001000,,,,,,,,,,,,,,,,,,,,,,0.50,,
1576713534000,0.16,,,0.72,,,,,,,,,,,,,,,,,,,,
1577659927000,,,,,,,,,,,,,,,,,,,,,,,,0.01
1578393679000,0.23,4.50,,,,,,,,,,9.08,,1.19,,,1.67,,,,,,,
1579320115000,,,,,,,,,,,,,,,,,,,,,,,,0.00
1579453251000,,,,0.80,,,,,,,,,,,,,,,,,,,,
1579848954000,29.40,19.79,,11.58,,11.00,,34.14,7.87,,,,7.29,,35.20,3.19,22.65,386.21,,4.18,6.95,,1.95,
1579915579000,,,1.74,,,,,,2.17,,4.00,,,,3.00,,,17.58,,11.33,,,,
1579982233000,,,3.10,,,,,,,,,,,,,,,,,,,,,
1580049245000,,,,0.36,,,,,,,,,,,,,,,,3.71,,,,
1580114658000,1.57,,,,,,6.97,,,,1.61,,,,,0.28,,,,3.60,,,,
1580180893000,,,,,,,,,,,,,,,,,,3.19,2.78,,,,,
1580247630000,,,,0.66,,,,,,,,,,,,,,,,,,,,
1580313366000,,,,,,,,,,,,,,,,,,4.99,,,,,,
1580380051000,,,,2.48,,,,,,,,,,,,,0.73,2.82,,,,,,
