timestamp,​0x7B6602fF6d70A635F58250d73791974851CE5110,​0xc095976BD18181f28626c5D48372DebD7a8Ce8d4,​0x85dC144a71d5D194741353C41A4e90eFB9A9D76f,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x00000000Af5A61acAf76190794E3fdf1289288A1,​0xaA5a27f5e1E3f3cdDf5828E1E2C64dD4aA6aB9d8,​0xF173214C720f58E03e194085B1DB28B50aCDeeaD,​0x0827aCe395D28Feec55C6acEe12e09509C11Df03,​0xB8f66E543cd30009B4Eee19AF0342e123fE25b35,​0xE948B17d1971ED7f5F3534FbCE993CD6Cfc468fc,​0x75d53cb09611683D6C38CbA7e6C009a318A7ca27,​0xE200084496Ad62dc3040b23e0d9eF69bdDF377d6,​0xD5Dfe862Ded2EcFa1E7831476F9DD7d4080bdfB5,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0xB84AA41F1a3531aa840e1DF583fC267d6547EDbb,​0x0000000000C90bc353314b6911180ED7E06019A9,​0x1DbCaf559A12b7A064F90F215D61f8D254c08FDF,​0x4ecfEB04C799ddF76DBA74343F9107c4ED3225D2,​0x34f692957E4700b3E4b02399cF9711f2AD779335,​0xc36F605A8c6347a40A2457e6d25adaD308052086,​0xB944d13b2f4047fc7bd3F7013bcf01b115fb260d,​0x3938A297E17DCC46B336e992F39720DaE1ABc99E,​0xF7B5A4b934658025390ff69dB302BC7F2AC4a542,​0xd9B9abaBA9Ad4b14930E4b86D7Dd3851C2F2E32e,​0x25BA6bADee1Ba37DF41D2CD23B45649Ee7Bb9C93,​0xDC1637667C28115010d8fB6194Eb6536550363B9,​0xb8a6cfd3D30595069271DD20147b117266c5Ab0d,​0x365bc89C2C0a45262D6c7dc0650a0E8F53B20642,​0x1200563cFAEb481e1f0542A246F0cefcdE4C4753,​0x2E642b8D59B45a1D8c5aEf716A84FF44ea665914,​0x21eecadda922Eeb5e277f2FD4239052FC3158395,​0x86485e742eF15B681B259D7c69c292D476F0b659,​0x241Ab32b2A560d87E1579Bf2A5D2eE846d5015C1,​0x08Af9a16826A98449306b38685E80462D3793FdB,​0x6BCb8c38dDE3D2f0254a453caEE78270b2dF5994,​0xf1Ee7E615fa35F349B822989f43DD6101a1eEf7C,​0x1Db39024bF4a4aC614B4f864afb75a1B2B1605d8,​0x12940465b995A25BEB14Ed280aeb9b428daA16a8,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0xb67F7eE5C8E27FD5DDb91F573885150AA819Ad43,Other
1558370897000,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1562821814000,,,,0.09,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563091362000,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563631313000,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565776959000,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565843533000,1.00,,,1.10,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,,,,0.00,,0.00
1565911450000,,,,0.01,,,,,,,,,,,,,,,,,,,,,,1.00,,,,,,,,,,,,,1.00,,
1565978340000,,,,0.05,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1566246801000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1566649948000,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1566717936000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1566986635000,,,,0.34,,,,,,,,0.39,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
1567054177000,,,,0.49,,,,,,,,0.71,,0.04,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,
1567120257000,,,,0.25,,,,,,,,0.31,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569817983000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1570696365000,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1571171084000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1571376291000,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05
1571444011000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1571648150000,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,,,,,,,
1572754262000,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1573101222000,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,
1573382543000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
