timestamp,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x6e43d04A2c8b8Dc3a6FA9DD35711559B493543d1,​0x1CA04BdbC1D24CCAd2d27A630ad4eEe369DD9aD5,​0x9709a9f77d4349e1DA4220f1458fBe9339d612E3,​0x97deC872013f6B5fB443861090ad931542878126,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0xfe32A37F15ee4a4b59715530E5817D1322B9df80,Other
1594400599000,0.42,,,,0.12,12.57,,
1594467342000,0.00,,,,,0.98,,
1594534363000,0.00,,,,,1.43,,
1594600559000,,,,,,0.09,,
1594734577000,1.67,,,,,1.59,1.60,
1594801444000,,,,,,8.68,0.57,
1594868516000,,,,,,1.58,,
1594935634000,0.34,,,,0.40,2.18,,
1595002354000,,,,,,2.15,,
1595068938000,,,,,,1.48,,
1595135940000,,,,,,1.58,,
1595270294000,,,,,,4.27,,
1595338300000,,,,,,0.98,,
1595405073000,,,,,,0.39,,0.12
1595537940000,,,,,,0.65,,
1595604570000,,,,,,6.73,,
1595672114000,,,,,,2.71,,
1595738927000,,,,,0.57,,,
1595805432000,,,,,,0.93,,
1595872747000,0.64,,,0.19,,6.17,1.98,
1595939151000,,,,,0.61,1.97,0.35,
1596006108000,,,,,,4.71,,
1596072129000,,,,,,3.80,,
1596140024000,,,,,,6.95,,
1596207016000,,,,,,3.14,,
1596273444000,,,,,,7.76,,
1596339947000,,,,,,8.54,,
1596406368000,,,0.69,,5.44,3.53,,
1596473308000,,,,,1.07,4.21,,
1596540683000,,,,,,2.47,,
1596606713000,,0.18,,,0.00,0.34,,
1596674074000,,,,,,7.27,,
1596740019000,,,,,,2.29,,
