timestamp,​0x2406A9333378E30B9581B8356bb81B4f9BDFF005,​0x46188f0bB4928E3d851Ec8E70CFEd58f17C7D2C8,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x248EE163064CEC75103EFB80EA0014fBCd96693f,​0x6557D92D629E0bD8003b8E12c83835ff3CDB9D6B,​0x89D3Afde089399534aFDB7aD2D05138315Ef45FF,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0xd14b520b9559779cE7B68942eE9d70C198c77536,​0x8dDDde2F6094ce6b365eb186AAaFE22af3b137F5,​0x72B0bC97E2B7dFa0F9d376dA9fb392D871011313,​0x2AD672FDA8a042c4c78C411bF9d4f1b320aA915a,​0x9096410692868EA33F77Ff1Ca3Ae3d9948FAf82C,Other
1577488582000,,,,,0.05,0.50,,,,,,,,,
1578393679000,,,0.23,,,,,,,,,,,,
1578592894000,,,,,0.01,,,,,,,,,,
1578790822000,,,,,0.02,,,,,,,,,,
1579320115000,,,,,,,,,,,,,,,0.00
1579518909000,,,0.29,,,,,,,,,,,,
1580247630000,,,,,0.10,,,,,,,,0.10,,
1580313366000,,,,,0.41,,,,,,,,,,
1580512997000,,,,,0.12,,,,,,,,,,
1580844182000,2.00,,,,,,,,,,,,,,
1580977343000,,,0.29,,,,,,,,,,,,
1581310184000,,,,0.81,,,,,,,,,,,
1582106715000,,,0.33,,,,,,,,,,,,
1582306851000,,,,,,,,,,,,0.31,,,
1582705647000,,,0.19,,,,,,,,,,,,
1583168974000,,,,,,,,,,0.45,,,,,
1583235956000,,,0.21,,,,,0.66,,,0.38,,,,
1583302077000,,1.00,,,,,,,,,,,,1.35,
1583435384000,,,,,,,,,,,,0.60,,,
1583633541000,,,,,,,1.00,,,,,,,,
1583699841000,,,,,,,,,,1.15,,,,,
1583767163000,,,0.35,,,,1.50,,0.05,,,,,,
1583833348000,,,,,,,,,,,,0.68,,,
1583900197000,,,,,,,,,,0.55,,,,,
1585306138000,,,0.28,,,,,,,,,,,,
