timestamp,​0x23096234466Be5D3AC3da2cB6B4D8D843D528426,​0x886C0328b1392a48Ceb1F42d1f4892e959f40F8F,​0x43AFaA86982a4Dd6717D65ffDBC703A91bB82979,​0x99680Bf6A3963f7db894e296A1BfC08ef2b304e9,​0x3A5b049713a0C7505AC9A2A573B92e72495164A8,​0xDef9e718616652b2C48D2229e3A9d39b5De12eAC,​0x6C0844F2737bB5986E3c95e89CcC2928bAc4702A,​0xd41305977d047Fe651A03a1264098a2AaAD524E0,​0xc1758EEa027f8D92e6ddd13d17e19E592845188a,​0xeB12a626BF202f61469716ccE910Ce481E0Dd835,​0xB66F8a0Da457B91D5cA3d9f0d679783a28e70cb7,​0x51286013D10CF5781837a72a2f3959A93b3f9005,​0x1530FC137f35b1b02299127696ed48BD1097B98d,​0x4DF4553467AdF5B6335494Ac59c1DAC7859DB3a2,​0x332D23a7F2051706e15A9cA6A0539d6405e0ABcc,​0x74C20E49e3cCC0C5A8eAC54E8547B70ecdFfB1b4,​0xaFa2abe7c0642b32F510dDFcDd4dd0FA933087FC,​0xfA33467b9fE5e5E3a82FD59F3facA755DF9a13d8,​0x49c8209caF76E2758FE1097B175E3EAb357b74Be,​0xF4a0e9AD90f441670016742C8977f79553EE8eE8,​0xc6ca2E898936faa9ACdb2277B10cFbe758ce5b9E,​0xEC78c498137e8783C4291BE84F9B39733B21c59c,​0xDEb9Ab92E2e04b9be110758f280d26fB16e6C9E3,​0xec89a4E9F698d8e4A70C05606F7fB2F8e91fbD33,​0xc1a844f2Bd1AC95F8D03f55E87a707f55f7A734B,​0xAFCdb58EE3F6467354CeEB796d1841035A6d7cae,​0x73084E4338A64d73180D039FaE40A0e92b105F35,Other
1583235956000,,,,,,,,0.02,,,,0.02,,,,,,,,,,,,,,,,
1583833348000,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,
1584766483000,,,,,0.00,,,,0.00,,,0.00,,,,,,,,,,,,,,,,
1584902413000,,0.12,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
1584970249000,,0.12,0.10,,,,0.11,,,,,,,,,,,,,,,,,,,,,
1585173391000,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,
1585239172000,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585306138000,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,
1585571105000,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,
1585637238000,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,
1585704243000,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,
1585903293000,,,,,,0.06,,,,,,,,,,,,,,,,,,0.12,,,,
1586036191000,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,
1586169028000,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,
1587568237000,,,,,,,,,,,,,,,,,0.08,,,0.05,,0.05,,,0.05,,0.05,
1588170340000,,,,0.21,,,,,,,,,,,0.03,,,,,,,0.03,,,,,,
1588237076000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,
1588572377000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,
1588705743000,,,,,,,,,,,,,,,,,,,,0.05,,,0.05,,,,0.03,
1588771981000,,,,,,,,,,,,,0.02,0.02,,,,,,0.06,,,0.02,,,,,
1588839881000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,
