timestamp,​0x6f734b61ffc6aE75cb8F96035b6c827044933477,​0x9d2773e66d41a28CAE8eBbdBB7d396Fe51Ae03De,​0x5c5b40855fc364b797c1F539F7Eb39cDC94a8a91,​0x7E2f6E2f86089Ae708425BcA2E7Bf43ad5cA486E,​0x2056E21E416EDd561941cd0E7d055C8Aa6bB87E4,​0xb8E17eDcD44E3CC08ABD1BF678C4C75A14d3E001,​0x09788001dfec97cb463f93bce930013F50BE5E73,​0xcBBa839426F25F6b8c49a6C18D7b738C6473aFe2,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x4161574d054c35C17023E3B87210EA6dA129dE9f,​0xe9519677e6ec8D2D6BFaB92A059529feA6075d37,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,Other
1587368133000,,,,,,,,,,,,,0.00
1587768625000,,,,,,,0.01,,,,,,
1588371539000,,,,,,,,,,0.12,,,
1588572377000,,,,,,,,,,0.14,,,
1590047677000,,,,0.10,,,,,,,,,
1590181994000,,0.20,,,,,,0.30,0.17,,0.51,0.26,
1590248502000,,,,,,,,,0.07,,,,
1590316431000,,,,,,,,,0.09,,,,
1590517845000,,,,,0.04,,,,,,,,
1590584981000,,,,,0.12,,,,,,0.15,,
1590853669000,0.09,,,,,,,,0.12,,,,
1591189759000,,,,,0.00,,,,,,,,
1591859571000,,,0.12,,,0.07,,,,,,,
1591926628000,,,,,,,,,0.18,,,,
