timestamp,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x003c52A71c887461087154EcCCed08cb1C5384A5,​0x5E810c7f0065f6295aDAbF3203922f77B14EE099,​0x000000F54395c554346bfD24e6a1ccd90B881a4e,​0x5048b9d01097498Fd72F3F14bC9Bc74A5aAc8fA7,​0xD3e9D60e4E4De615124D5239219F32946d10151D,​0xF92C1ad75005E6436B4EE84e88cB23Ed8A290988,​0xBaD8429F711e92A96b9a9B82aa148ffd1C4df24C,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0xd90668e94ea31538408A5874dB5Ccc41CF4cC54B,​0x01Da73c4Ec1355f953aD0AAcA3eF20e342Aea92a,​0x34E89740adF97C3A9D3f63Cc2cE4a914382c230b,​0xF9e840Ae653484ee1AE1463077E7A888bcDFCfd2,​0xb146907392eD12031F7715B0376833E3f7C5b98c,​0x97deC872013f6B5fB443861090ad931542878126,​0xDe12c9510F0677EB51520546003b1e07C614FD67,​0x368A2D5CD67bB2c4C742d9482aa09f3126AA0F52,​0x550510d73cDD9A2cd97B1c2f9E47848A12da1eAf,​0xA24F2E6dCbD2Da9A220958401dAB74B365bD34E1,​0x368F6Fad75EEc78B3c6a5583c0B26A755c058108,​0x8cE6e1A223B329A76e8b5e696EDc562AABb349E1,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0x21d03936c6eB660453261ECe4c211B17611fF241,​0xF20Fe58d8787c285416f8793f1ABC9Cb9354a558,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0x3958B4eC427F8fa24eB60F42821760e88d485f7F,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x2c6b36530c0f25FA2765e2901101b4FCF149DEC4,​0x4d2f5cFbA55AE412221182D8475bC85799A5644b,​0xB7088c3728D12315B6c43790d13f0BaE4FD05D59,​0x4A6937aCbbdf30FC3Fb94225D3A01e8b28EA581e,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0x6C3942B383bc3d0efd3F36eFa1CBE7C8E12C8A2B,​0x1F0147Bc4019C5ADD7ECb7267bAaC9d85d2470e9,​0x45A2FDfED7F7a2c791fb1bdF6075b83faD821ddE,​0x00000000000080C886232E9b7EBBFb942B5987AA,Other
1560937524000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1562486913000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1563496525000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00
1563564858000,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563631313000,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563698150000,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563765551000,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,
1563832155000,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,
1563899459000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,
1563966329000,,,,,,,,,,0.14,,,,,0.22,,,,,,,,,,,,,,,,,,,,,,,
1564033316000,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09
1564101403000,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,
1564168317000,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564235604000,,,,,,,,,,0.07,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,
1564369151000,,,,,,,,,,0.21,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,
1564436686000,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,
1564503925000,,,,,,,,,,0.27,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,
1564637313000,,,,,,,,,,0.17,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,
1564705696000,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1564772699000,,,,,,,,,,0.07,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,
1564839134000,,,,,,,,,,0.16,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,
1564905518000,,,,,,,,,,0.06,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,
1564972688000,,,,,,,,,,0.17,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,
1565039690000,,,,,,,,,,0.26,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,
