timestamp,​0x97deC872013f6B5fB443861090ad931542878126,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x076C95c6cd2eb823aCC6347FdF5B3dd9b83511E4,Other
1602865569000,,4.80,0.16,
1602931980000,,1.39,,
1603065231000,,0.42,,
1603130753000,,0.38,,
1603196826000,,0.42,,
1603263141000,,1.72,,
1603329593000,,1.70,,
1603395740000,,0.76,,
1603462512000,,0.61,,
1603661160000,,0.64,,
1603728251000,,0.28,,
1603793902000,,3.11,,
1603860005000,,0.71,,
1603925650000,,1.12,,
1603992067000,,4.49,,
1604059142000,,6.40,,
1604125251000,,2.68,,
1604191395000,,1.69,,
1604257692000,,0.28,,
1604324653000,,1.27,,
1604390633000,,2.93,,
1604457123000,0.48,0.48,,
1604523521000,,3.03,,
1604589935000,,1.03,,
