timestamp,​0xC8ecA93df335F17CA34bBf5d66407230c45332c6,​0x9709a9f77d4349e1DA4220f1458fBe9339d612E3,​0x0A338782562E1740b9468F0855dD4C51F29dEfDE,​0x0c31b6605686aa26df47eb45AF0e4aa6639A5fd6,​0x855328Ee5E94924cB83b267F25A513C2a2fC3E5E,​0x975d498E6Be6F5e35208A1f64D96C1Ac215c8a42,​0x97deC872013f6B5fB443861090ad931542878126,​0x4BE0557d4aeB1675A1D5316e8a437dC934cfacE1,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,Other
1592661070000,,,,,,,,,,0.30,
1592727831000,,,,,,,0.26,,,0.90,0.01
1592794125000,,,,,,,,,,0.06,
1592861502000,,,,,,0.45,0.42,,,0.66,
1592927890000,,,,,,,,,,0.54,
1593062546000,,,,,,0.29,0.30,,,0.03,
1593128647000,,,,,,0.30,,,,0.08,
1593195376000,,,,,,0.23,,,,,
1593262962000,,,,,,0.24,0.16,,,0.74,
1593396882000,,,,,,,,,,0.20,
1593531858000,,,,,,,,,0.29,0.97,
1593599509000,,,,,,,,,,0.04,
1593666201000,,,,,,,0.20,,,0.01,
1593800162000,,,,,,,,,,1.11,
1593866326000,,,,,,,,,,0.15,
1593933211000,,,,,,,,,,0.01,
1594000010000,,,,,,,,,,0.32,
1594067228000,,,,,,,,,,2.65,
1594266589000,,,,,,,,,,0.51,
1594400599000,,,,,,,,,,0.11,
1594734577000,,,,,,,,,,0.23,
1594801444000,,,,,,,,,0.11,0.06,
1594868516000,,,,,,,,,,0.01,
1594935634000,,,,,,,,,,0.23,
1595068938000,,,,,,,,,,0.13,
1595135940000,,,,,,,,,,0.43,
1595202619000,,,,,,,,,,0.28,
1595338300000,,,,,,,,,,1.59,
1595471028000,,,,,,,,,,1.85,
1595537940000,,,,,0.44,,,,,1.76,
1595604570000,,,,,,,,,,0.16,
1595672114000,,,,,,,,,,10.73,0.03
1595738927000,,,,,,,2.88,,,22.19,
1595805432000,,,,,,,1.29,,,1.88,
1595872747000,,,,,,,1.77,,0.95,9.49,
1595939151000,,,,,,,,,1.55,5.56,0.02
1596006108000,,,,,,,,,,1.48,
1596072129000,,,,,,,,,,0.58,0.02
1596140024000,,,,,0.31,0.43,1.43,,,2.61,
1596207016000,,,,,,0.78,,,,3.30,
1596273444000,,,,,0.53,,,,,,
1596339947000,,0.30,,,,,3.89,,1.37,11.44,
1596406368000,,,,,,,,,,3.11,
1596473308000,,,,,,,,0.39,1.28,1.26,
1596540683000,,,,,,,,,,0.84,
1596606713000,,,,,,0.65,,,,3.38,
1596674074000,1.03,,,,,,,,,7.18,
1596740019000,,,,,,,,,0.11,0.62,
1596807570000,,,,,,,,,0.30,0.57,
1596874169000,,,,,,,,,,0.05,
1596940389000,,,,,,,,,,2.51,0.02
1597006979000,,,,,,,,,,0.64,
1597207222000,,,,,,,1.28,,,1.77,
1597340255000,,,,,,,,,,0.50,
1597406581000,,,,,,,,,,3.60,
1597472334000,,,0.39,,0.77,,,,0.35,6.69,
1597539439000,,,,,,,1.40,,,2.85,
1597673119000,,,,,,,,,,0.12,
1597740778000,,,,,0.64,,1.52,,,3.90,
1597805915000,,,,,,,1.52,,,0.87,
1597872975000,,,,,1.44,,1.24,,,1.17,
1598071853000,,,,,,,0.69,,,0.69,
1598204486000,0.20,,,0.19,,,,,,3.34,
1598271030000,,,,,,,0.25,,,0.01,
1598337535000,0.29,,,,,,,,,0.50,
1598404244000,0.50,,,,,,,,,0.95,
1598469678000,0.50,,,,,,,,,0.32,
1598536356000,,,,,,,0.07,,,2.39,
1598602302000,0.30,,,,,,,,,0.73,
1598668615000,0.28,,,,,,,,,1.86,
1598734918000,,,,0.05,,,,,,0.05,
