timestamp,​0x64aBC5b10C77d93BE5038E7b4965D2F0D8279127,​0x97deC872013f6B5fB443861090ad931542878126,​0x61efDc88bb6Dc02A18DFB9a240800398599BAC64,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x121667B6690F5040C672c3Df912A5aAF8735Ca23,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,Other
1606380252000,,0.64,,1.24,1.35,2.68,
1606446290000,,4.02,4.23,,2.06,15.68,
1606513752000,,1.85,1.03,0.49,,18.94,
1606579323000,,1.93,1.18,0.45,,10.35,
1606644580000,,1.10,0.17,,,11.79,
1606711814000,,0.83,0.66,,0.90,1.65,
1606777403000,,,,,,1.62,
1606843839000,,,,,1.66,4.25,
1606911253000,0.14,1.08,,,,2.46,
1606976748000,,,,,0.18,1.14,
1607043153000,,,,,,2.13,
1607109266000,,,,,,4.86,
1607176193000,,,,,0.16,5.91,
1607242529000,,,,,,1.83,
1607375492000,,,,,,0.34,
1607441996000,,,,,0.90,1.13,
