timestamp,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x61efDc88bb6Dc02A18DFB9a240800398599BAC64,​0x64aBC5b10C77d93BE5038E7b4965D2F0D8279127,​0x97deC872013f6B5fB443861090ad931542878126,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x121667B6690F5040C672c3Df912A5aAF8735Ca23,Other
1606380252000,1.24,,,0.64,2.68,1.35,
1606446290000,,4.23,,4.02,15.68,2.06,
1606513752000,0.49,1.03,,1.85,18.94,,
1606579323000,0.45,1.18,,1.93,10.35,,
1606644580000,,0.17,,1.10,11.79,,
1606711814000,,0.66,,0.83,1.65,0.90,
1606777403000,,,,,1.62,,
1606843839000,,,,,4.25,1.66,
1606911253000,,,0.14,1.08,2.46,,
1606976748000,,,,,1.14,0.18,
1607043153000,,,,,2.13,,
1607109266000,,,,,4.86,,
