timestamp,​0x4d596Fb44DE482e74257f2464132f4e1D921d4f3,​0x975d498E6Be6F5e35208A1f64D96C1Ac215c8a42,​0x97deC872013f6B5fB443861090ad931542878126,​0x2988983d105436843757CE8E45be5B3aF3736445,​0xfe32A37F15ee4a4b59715530E5817D1322B9df80,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x6fC34A8B9B4973b5E6b0B6a984Bb0bEcC9Ca2b29,​0x076C95c6cd2eb823aCC6347FdF5B3dd9b83511E4,​0x02Ab1B3A8ac8E1Aa17756058E67ef68be0508a2d,​0x0c31b6605686aa26df47eb45AF0e4aa6639A5fd6,​0x315C2235d75880afe04310D71EC381dbfB29d307,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x72d50aC6627eAc2E6B69D38eaDd8EEe80d21653c,Other
1590181994000,1.84,11.14,,,,,0.83,,,1.59,,23.86,,
1590248502000,0.79,,,,,0.89,,,,,,3.09,,
1590316431000,0.71,,,,,,,,,,,1.02,,
1590383553000,4.31,0.94,,,,,,,,,,4.50,,
1590451139000,0.83,,,,,,,,,,,0.56,,
1590517845000,2.50,,,,,,,,,,,1.24,,
1590584981000,,,,,,,,,,,,2.75,,
1590652494000,0.64,,,,,,,,,,,2.20,,
1590719602000,1.87,,0.19,,,0.27,,,,,,1.16,0.20,
1590786531000,0.35,2.77,,,,,,,,,,4.90,,
1590853669000,1.20,1.27,,,,,,,,,0.13,1.69,,
1590919824000,,,,,,0.09,,,,,,0.48,,
1590987649000,1.27,,,0.25,,,,,,,,0.64,,
1591054955000,1.56,,,,,,,,,,,2.40,,
1591122115000,0.93,,,,,,,,,,,0.09,,
1591189759000,0.28,,,,,,,,,,,0.63,,
1591256276000,,,,,,,,,,,,0.24,,
1591323776000,,,,,0.29,,,,,,,0.13,,
1591389945000,0.11,,0.21,,,,,,,,,1.04,,
1591457899000,,,,,,,,,,0.03,,0.03,,
1591524138000,0.10,,,,,0.03,,,,,,,,
1591590964000,,,,,,,,,,0.04,,0.04,,
1591793059000,,,,,,0.03,,,,,,,,
1591926628000,,0.62,,,,0.05,,0.42,,0.33,,2.25,,
1591993124000,,0.23,,,,,,,0.47,,,1.64,,
1592060020000,,,,,,,,,,0.35,,2.09,,
1592126059000,,,,,,,,,,,,0.04,,
1592193218000,,,,,,,,,,,,0.04,,
1592259061000,,,,,,,,,,,,0.89,0.05,
1592326391000,,0.25,0.00,,,,,,,,,0.63,,
1592393573000,,,,,,,,,,0.46,,0.76,,
1592460543000,,0.34,,,,0.03,,,,,,0.26,,
