timestamp,​0x2388C11d0532CE92A99d16D1980cc5980cF575C3,​0x270cd0b43f6fE2512A32597C7A05FB01eE6ec8E1,​0x5100276Ff4561D05A502527De00e9515129e3cfE,​0xad12854fDe4D1AEaf10a00Bf2F7691a3faBaD6cD,​0x9F1153cf3cFb552C70C740e69808eC3b54738BA1,​0xB3d8aB962cbA81b923d9F4dCb56864e1D0E20a4E,​0x88dF13889E20EFa93Ff9a0C08f101F431bD9DDD7,​0xB791c10824296881f91BDbC16367BbD9743fd99b,​0x505C02B4aa1286375FBDF0c390AC0fe9209DCB05,​0x5048b9d01097498Fd72F3F14bC9Bc74A5aAc8fA7,​0x000000F54395c554346bfD24e6a1ccd90B881a4e,​0x4F30E682D0541eAC91748bd38A648d759261b8f3,​0xb80C9b1b4F894F9669796A0605A9DAA0E80E6912,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0x6bFa119a191576Ba26Bc5e711432aCA0cFda04DE,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0xEff3DD6BD74eDA3BD9097CEBA1c3f35FC339533d,​0x4a6f6B9fF1fc974096f9063a45Fd12bD5B928AD1,​0x97deC872013f6B5fB443861090ad931542878126,​0xb146907392eD12031F7715B0376833E3f7C5b98c,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x868f4e359778E6c46fB4fa2630EE497A03Fe6C3E,​0x34E89740adF97C3A9D3f63Cc2cE4a914382c230b,​0x92110d207d646D5Ab266fBBfc800744314FC57ff,​0x45A2FDfED7F7a2c791fb1bdF6075b83faD821ddE,Other
1568803850000,,0.37,,,,,,,,,,,,,,,,0.01,,,,,,,,
1568939678000,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
1569344903000,,,,,,,,,,,,,,,,,,,,,,,,,,0.06
1569412741000,,,,,,,,,,,,,,,,,,0.15,,,,,,,,
1569817983000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1570358020000,,,,,,,,,,,,,,,,,,1.45,,,,,,,,
1570424401000,,,,,,,,,,,,,,,,,,0.19,,,,,,,,
1570492273000,,,,,,,,,,,0.43,,,,,,,,,,,,,,,
1570560314000,,,,,,,,,,,0.05,,,,,,,0.11,,,,,,,,0.00
1570696365000,,,,,,,,,,,0.68,,,,,,,,,,,,,,,
1570832121000,,,,,,,,,,0.52,0.09,0.09,,,,,,0.09,,,,,,,,
1570967603000,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1571103316000,,,,,,,,,,,0.15,,,,,,,,,,,,,,,
1571171084000,,,,,,,,,,0.10,,0.11,,,,,,,,,,,,,,0.01
1571239896000,,,,,,,,,,,0.26,0.30,,0.12,,,,,,,,,,,,
1571307873000,,,,,,,,,,,,0.14,,,,,,,,,,,,,,
1571376291000,,,,,,,,,,,0.39,0.20,,,,,,,,,,,,,,
1571444011000,,,,,,,,,,0.08,,0.33,,,,,,,,,,,,,,
1571648150000,,,,,,,,,,,,,,,,,,0.12,,,,,,,,
1571716619000,,,,,,,,,,,0.13,,,0.13,,,,,,,,,,,,
1571851268000,,,,,,,,,,0.15,0.19,0.09,,,,,,0.28,,,,,,,,
1571920923000,,,,,,,,,,,0.08,,,0.19,,,,0.25,,,,,,,,
1572060724000,,,,,,,,,,,2.07,,,0.59,,,,,,,,,,,,
1572129485000,,,,,,,,,,,,,,0.24,,,,,,,,,,,,
1572198558000,,,,,,,,,,,0.14,,,,,,,,,,,,,,,
1572267917000,,,,,,,,,,,0.11,,,0.13,,,,,,,,,,,,
1572337649000,,,,,,,,,,,0.13,,,0.11,,,,,,,,,,,,
1572406531000,,,,,,,,,,,0.38,,,,,,,,,,,,,,,
1572476793000,,,,,,,,,,,,,,0.43,,,,,,,,,,,,
1572546064000,,,,,,,,,,,0.17,,,0.19,,,,,,,,,,,,
1572684939000,,,,,,,,,,,0.11,,,0.12,,,,,,,,,,,,
1572754262000,,,,,,,,,,,0.10,,,,,,,,,,,,,,,
1572822749000,,,,,,,,,,,,,,0.14,,,,,,,,,,,,
1572893104000,,,,,,,,,,,0.27,,,,,,,,,,,,,,,
1573031855000,,,,,,,,,,,0.23,,,,,,,,,,,,,,,
1573171451000,,,,,,,,,,,,,,,,,,,0.10,,,,,,,
1573240765000,,,,,,,,,,,,,,,,,,,0.26,,,,,,,
1573382543000,,,,,,,,,,,0.25,,,,,,,,,,,,,,,
1573455245000,,,,,,,,,,,0.14,,,,,,,,,,,,,,,
1573527153000,,,,,,,,,,,,,,,,,,,0.14,,,,,,,
1573598526000,,,,,,,0.46,0.22,,4.55,,,,,,,,,3.94,,,9.35,,,,
1573742983000,,,,,,,0.19,0.67,0.09,0.19,,,,,0.44,,,,0.70,,,,,2.30,,0.00
1573814675000,,,,,,,,,,0.28,,,,,,,,,,,,,,,,
1573886613000,,,,,,,,,0.21,3.25,,0.04,,,,,,,,,,,,3.39,,
1573958177000,,,,,,,,,,0.72,,,,,,,,,,,,,,0.80,,
1574030120000,,,,,,,0.23,,0.21,1.46,,0.04,,,0.44,,,,0.61,,,,,3.31,,
1574102523000,,,,,,,,,,0.27,,,,,,,,,,,,,,,,
1574175364000,,,,,,,,,,0.28,,,,,,,,,,,,,,,,
1574248216000,,,,,,,,,,0.21,0.12,,,,,,,,,,,,,,,
1574319702000,,,,,,,,,,0.18,,,,,,,,,,,,,,,,
1574390894000,,,,,,,,,,0.87,0.26,,,,,,,,0.13,,,,,,,
1574463158000,,,,,,,,,,0.27,,0.07,,,,,,,,,,,,,,
1574534614000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1574753753000,,,,,,,,,,,0.14,,,,,,,,,,,,,,,
1574906610000,,,,,,,,,,,,,,,0.35,,,,,,,,,,,
1574982967000,,,,,,,,,,0.20,0.81,0.04,,0.62,,,,,,,,,,,,
1575059347000,,,,,,,,,,,0.62,,,0.76,,,0.93,,0.10,,0.50,,,,,
1575136068000,,,,,,,,,,,,,,0.11,,,,,,,,,,,,
1575212493000,,,,,,,,,,0.28,,,,,,,,,,,,,,,,
1575288653000,,,,,,,,,,,,,,0.12,,,,,,,,,,,,
1575519604000,,,,,,,,,,0.11,0.11,,,,,,,,,,0.14,,,,,
1575596839000,,,,,,,,,,,0.16,,,,,,,,,,,,,,,
1575673602000,,,,,,,,,,,,,,,,,,,,,,,,,,0.27
1575826602000,,,,,,,,,,,0.11,,,,,,,,,,,,,,,
1575979374000,,,,,,,,,,,,,,,,,,,,,0.24,,,,,
1576056123000,,,,,,,,,,,,,,,,,,,,,0.14,,,,,
1576132843000,,,,,,,,,,,,,,0.27,,,,,,,,,,,,
1576208669000,,,,,,,,,,,0.13,,,,,,,,,,,,,,,
1576372313000,,,,,,,,,,,,,,0.10,,,,,0.10,,,,,,,
1576456679000,,,,,,,,,,,0.09,,,,,,,,,,,,,,,
1576541361000,,,,,,,,,,,,,,,,,,,,,,,,,0.83,
1576627001000,,,,,,,,,,0.32,,,,,,,,,,,,,0.29,,0.20,
1576713534000,,,,,,,,,,0.22,1.03,,,,,,,,,,,,,,,
1576799699000,,,,,,,,,,,,,,0.47,,,,,,,,,,,,
