timestamp,​0xa0CD2aa0dAd8c5a1B8C9F0549A9D042b7F9a9578,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0xd0A8b9B78eEB93f932a4dCc9b9bcdC83A9255B31,​0x6A949Fef280466a483DC23C1Cd05110214D50B25,​0x862563C7f619896ada7249FC5d7C956b0f0Fc94f,​0x97deC872013f6B5fB443861090ad931542878126,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,Other
1608305426000,,0.18,,,,,,
1608372164000,,0.59,,,,,,
1608437899000,0.09,,,,,,,
1608569893000,,1.21,,,,,,
1608636545000,,0.74,,,,0.95,,
1608702922000,,1.48,,,,,,
1608768583000,,3.06,,0.39,0.12,2.37,,
1608835449000,,,,,0.11,,,
1608902154000,,0.95,,,0.12,0.30,,
1608968406000,,2.38,,,,,,0.03
1609034138000,,3.65,,,0.26,,,
1609100774000,0.12,3.51,,,,,,
1609165810000,,16.25,,,,,,
1609232681000,,15.22,,,,,6.60,
1609300140000,,0.64,,,,,,
1609365524000,,0.43,0.95,,,,,
1609431762000,,1.50,1.65,,,,,
1609498801000,,,2.86,,,,,
1609563999000,,4.08,0.74,,,,,
1609630001000,,5.50,2.26,,,,,
1609696530000,,,0.93,,,,,
1609763514000,,0.85,0.93,,,,,
