timestamp,​0x6B58Bb15A0a05636bcede0b8B40F13a8a2cB938C,​0xB6b91942b2852e11963b1F6f1A3D03c59D1DE8d4,​0xc215EbFE68C15FCAFCb848105eF5f5B1158313CB,​0x1fa02E36cb086f2A89ADBa718C65DB7085d16756,​0x58e11792D0637540ab1f430E4659693659Ea2734,​0x97deC872013f6B5fB443861090ad931542878126,​0x0E26D3d76a8c2ff2978859915519041eFd124Ab1,​0x9ca72d50650a0254238f4F0AfAA8f05F18BEB632,​0xC6a82e72156A11a2E1634633aF5E4517B451f0D9,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x78E87757861185Ec5e8C0EF6BF0C69Fa7832df6C,​0x781b6EecE2E7ba81cc8782956FfB7C286107cDE9,​0xa5F94aC4202315d2186afc725fF380F283A06080,​0x0E71F7a6bBAE357A1Cd364173aE69D3fb2e539e3,​0xD0be2821cd565afAd204cA058b61bB3829b786A0,​0x56aFFa87c32a40401dffA6B3822651D5F01216B6,​0x2bbb52927C31a50934af437D1ED7325Ea26dE4Fc,​0x0149332917032E12b44f188f102Af4DEe995AeB0,Other
1592326391000,,,,,,0.21,,,,,,,,,,,,,
1592460543000,,,,,,,,,,0.46,,,,,,,,,
1592661070000,,,,,,,,,,,,0.24,,,,,,,
1592861502000,,,,,,,,,,,,0.44,,,,,,,
1593330837000,,,,,,0.66,,,,,,,,,,,,,
1593666201000,,,0.64,,,,,,0.86,,,,,,,,,,
1593732971000,,,,,,0.23,,,,,,,,,,,,,
1593933211000,,,,0.22,,,,,,,,,,,,,,,
1594000010000,,,,,,,,,,,0.46,,0.44,,,0.23,,,
1594266589000,,,,,,0.22,,,,,,,,,,,,,
1594467342000,,,,,0.22,,,,,,,,,,,,,,
1594600559000,,,,,,,,,0.42,,,,,,,,,,
1594667176000,,,,,,,,,,,,,,,,,,0.31,
1594801444000,,,,,,0.11,,,,,,,,,,,,,
1594935634000,,,,,,0.87,,,,,,,0.24,,,,,,
1595002354000,,,,,,,,,,,,,,,,0.23,,,
1595135940000,,,,,,,0.22,,,,,,,,,,,,
1595405073000,0.40,,,,0.43,,,,,,,,,,,,,,
1595738927000,,,,,0.19,,,,,,,,,,,,0.54,,
1595872747000,1.63,,,,0.37,0.47,,,,,,,,,,,,,
1596339947000,,,,,0.23,,,,,,,,,,,,,,
1596406368000,,,,,,0.05,,,,,,,,,,,,,
1596540683000,,0.15,,,0.15,,,,,,,,,,,,,,
1596674074000,,,,,,,,0.29,,,,,,,,,,,
1596740019000,,0.27,,,,,,,,,,,,,,,,,
1596807570000,,,,,,,,,,,,,,,,,,0.16,
1597472334000,,,,,,,,,,,,,,0.65,,,,,
1597539439000,,,,,,,,,,,,,,0.47,,,,,
1597606146000,,,,,,,,,,,,,,,0.59,,,,
1598271030000,,,,,,0.59,,,,,,,,,,,,,
