timestamp,​0x975d498E6Be6F5e35208A1f64D96C1Ac215c8a42,​0x6fC34A8B9B4973b5E6b0B6a984Bb0bEcC9Ca2b29,​0xf8fFF4959B9cDEaEB0FF03199D7e51cB438e92C6,​0x4d596Fb44DE482e74257f2464132f4e1D921d4f3,​0x02Ab1B3A8ac8E1Aa17756058E67ef68be0508a2d,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x4bdFad117A88c780f3Cdd4622B35fe7F77906192,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x2988983d105436843757CE8E45be5B3aF3736445,​0xf4E6B6152A5137DaA5cDa324F3c2599bFd48F5Fb,​0xfe32A37F15ee4a4b59715530E5817D1322B9df80,Other
1591926628000,,,,,,1.22,,0.32,,,,
1591993124000,1.87,,,,,5.75,,1.42,,0.74,,
1592060020000,0.94,,,,,10.27,,0.48,0.34,2.33,,
1592126059000,,,,,,,,,,0.32,,
1592193218000,,,,,0.77,1.12,,,,,,
1592259061000,,0.91,,,,3.42,,0.20,,0.68,2.24,0.00
1592326391000,,,,,,0.93,,0.93,,1.26,,
1592393573000,,,,,,,,,,0.73,,
1592460543000,,,,,,0.93,,0.25,,,,
1592527754000,,,,,,0.28,,0.01,,0.29,,
1592594022000,4.14,,1.35,0.16,,12.02,,0.51,,,,
1592661070000,,,0.37,,,0.95,,0.53,,,,
1592727831000,,,,,,4.47,0.60,,,,,
1592794125000,,,,,,1.22,,,,,0.41,
1592861502000,,,,,,1.06,0.40,,,,1.19,
1592927890000,,,,,,1.13,,,,,0.90,
