timestamp,​0xA8965bF4F2Fc1714359D99739F50baeBE46B50CB,​0xBb72B029a3e5019B504e5a943b9CC445Ad40c07d,​0xF92C1ad75005E6436B4EE84e88cB23Ed8A290988,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x00923B9a074762B93650716333B3E1473A15048e,​0x34C6F95476700e4dfCdaf28b56b99bc1E24e25F7,​0xD91d47cecE9EA3AEC67132d2B2A627495528fd6a,​0x414a0A46C49B1cb326426Db8af667d6eCA5caD24,​0xEF422dBBF46120dE627fFb913C9AFaD44c735618,Other
1558776750000,,,,,,,,,,,4.18
1558910067000,,,,,,,,,,,3.45
1558977860000,,,,,,,,,,,9.73
1559045953000,,,,,,,,,,,3.49
1559112912000,,,,,,,,,,,0.03
1559179166000,,,,,,,,,,,1.20
1559247339000,,,,,,,,,,,1.60
1559315112000,,,,,,,,,,,0.96
1559382148000,,,,,,,,,,,0.66
1559721446000,,,,,,,,,,,2.87
1559788436000,,,,,,,,,,,0.00
1559991921000,,,,,,,,,,,0.55
1560059515000,,,,,,,,,,,2.25
1560127542000,,,,,,,,,,,0.72
1560194172000,,,,,,,,,,,3.25
1560262359000,,,,,,,,,,,0.81
1560329676000,,,,,,,,,,,1.01
1560397568000,,,,,,,,,,,1.21
1560464402000,,,,0.35,,,,,,,0.34
1560531936000,,,,,,,,,,,4.32
1560599838000,,,,,,,,,,,1.17
1560668105000,,,,,,,,,,,0.89
1560802452000,,,,,,,,,,,2.34
1560870679000,,,,,,,,,,,1.02
1560937524000,,,,,,,,,,,1.17
1561005597000,,,,,,,,,,,0.51
1561073016000,,,,,,,,,,,26.53
1561140851000,,,,,,,,,,,2.98
1561208281000,,,,0.26,,,,,,,3.75
1561342449000,,,,,,,,,,,0.51
1561409629000,,,,,,,,,,,1.97
1561476955000,,,,,,,,,,,1.53
1561543836000,,,,,,,,,,,9.61
1561611356000,,,,,,,,,,,2.93
1561747149000,,,,,,,,,,,3.54
1561814305000,,,,,,,,,,,1.26
1561948615000,,,,,,,,,,,1.02
1562015969000,,,,0.30,0.69,,,,,,4.74
1562082973000,,,,0.70,0.81,,,,,,0.58
1562150796000,,,,1.25,3.55,,,,,,10.71
1562218341000,,,,,3.77,,,,,,3.19
1562285611000,,,,0.35,2.42,,,,,,5.91
1562352854000,,,,0.55,0.43,,,,,,6.69
1562419899000,,,,,2.71,,,,,,2.26
1562486913000,,,,0.30,,,,,,,2.11
1562553800000,,,,0.40,1.04,,,,,,0.49
1562620679000,,,,,,0.90,,,,,
1562687655000,,,,,0.52,0.10,,,,,
1562755228000,,,,,0.19,0.40,,,,,0.03
1562821814000,,,,,0.43,1.60,,,,,
1562889775000,,,,1.65,0.35,,,,,,0.99
1562957966000,,,,,,0.70,,,,,
1563025451000,,,,,0.18,0.91,,,,,
1563158482000,,,,,,2.31,,,,,
1563226501000,,,,0.30,0.18,0.51,,,,,0.01
1563295219000,,,,,,0.50,,,,,
1563362708000,,,,,,0.51,,,,,0.17
1563430869000,,,,,0.61,2.60,,,,,
1563496525000,,,,,0.17,1.62,,,,,
1563564858000,,,,,0.37,,,,,,
1563631313000,,,,,0.41,1.11,,,,,0.00
1563698150000,,,,0.55,0.88,7.78,,,,,0.89
1563765551000,,,,,0.35,,,,,,
1563832155000,,,,,0.17,1.00,,,,,
1563899459000,,,,,0.93,1.41,,,,,
1563966329000,,,,,0.18,,,,,,
1564033316000,,,,,,0.51,,,,,0.00
1564101403000,,,,1.10,1.62,8.05,,,,,2.42
1564168317000,,,,,2.40,7.36,,,,,3.71
1564235604000,,,,,0.20,0.20,,,,,
1564302116000,,,,0.25,0.57,0.20,,,,,0.00
1564369151000,,,,,,0.20,,,,,0.00
1564436686000,,,,0.60,0.80,4.33,,,,,0.53
1564503925000,,,,4.00,1.57,6.25,,,,,0.93
1564570789000,,,,0.70,0.54,,,,,,0.03
1564637313000,,,,1.10,2.83,5.94,,,,,1.06
1564705696000,,,,1.50,0.89,3.92,,,,,0.20
1564772699000,,,,0.80,3.08,0.90,,,,,
1564839134000,,,,,0.27,,,,,,
1564905518000,,,,,0.61,,,,,,
1564972688000,,,,0.20,0.41,0.73,,,,,0.21
1565039690000,,,,1.30,0.39,0.81,,,,,
1565106699000,,,,0.45,,,,,,,0.15
1565173880000,,,,0.65,0.68,,,,,,
1565241308000,,,,0.25,0.54,0.92,,,,,0.00
1565308246000,,,,0.55,0.21,,,,,,
1565375748000,,,,,,,,,,,0.00
1565441736000,,,,,0.86,0.20,,,,,
1565509207000,,,,,0.18,0.30,,,,,
1565576260000,,,,,0.20,0.30,,,,,
1565643196000,,,,4.30,2.59,8.69,,,,,2.47
1565710691000,,,,0.80,,,,,,,0.02
1565776959000,,,,0.90,1.57,5.23,,,,,
1565843533000,,,,0.25,0.18,1.42,,,,,
1565911450000,,,,0.25,0.18,1.71,,,,,
1565978340000,,,,0.20,0.25,,,,,,
1566044959000,,,,0.20,0.17,0.20,,,,,
1566113085000,,,,,0.18,0.20,,,,,
1566179461000,,,,0.40,0.24,0.20,,,,,
1566246801000,,,,0.45,,,,,,,
1566314677000,,,,0.25,,,,,,,
1566381517000,,,,0.65,0.51,,,,,,0.00
1566448943000,,,,1.40,0.26,0.71,,,,,
1566516026000,,,,0.90,,,,,,,0.30
1566649948000,,,,0.45,0.41,,,,,,
1566717936000,,,,0.90,1.09,,,,,,
1566784085000,,,,,,1.22,,,,,0.03
1566851133000,,,,0.35,,0.30,,,,,
1566920101000,,,,0.25,,,,,,,0.59
1566986635000,,,,,,0.20,,,,,
1567054177000,,,,,0.81,0.30,,,,,0.50
1567120257000,,,,0.60,,,,,,,
1567187642000,,,,0.20,,,,,,,
1567255013000,,,,0.20,,0.80,,,,,
1567321929000,,,,0.25,0.77,,,,,,
1567389294000,,,,,,,,,,,0.19
1567457291000,,,,,0.24,0.41,,,,,0.75
1567524520000,,,,,0.36,,,,,,
1567658685000,,,,1.05,,,,,,,0.60
1567726271000,,,,1.10,,0.80,,,,,
1567794373000,,,,0.35,,0.82,,,,,
1567860872000,,,,0.85,,,,,,,
1567928417000,,,,0.75,,,,,,,
1567996252000,,,,0.35,,,,,,,
1568063465000,,,,,,0.41,,,,,
1568130759000,,,,0.75,,0.60,,,,,0.00
1568198340000,,,,0.40,,0.41,,,,,
1568266003000,,,,0.85,,,,,,,
1568535532000,,,,0.70,,,,,,,
1568603177000,,,,0.65,,,,,,,
