timestamp,​0x01C623b3d66B8D28D2B6d1Fc41E3c2835f1acD86,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x97deC872013f6B5fB443861090ad931542878126,​0x076C95c6cd2eb823aCC6347FdF5B3dd9b83511E4,​0x63e62588330657c99BA79139e7C21aF0c0DB1E7e,​0xf4dF982Bb39d4949BDA2CeD2828c673b801Eb51c,Other
1600986137000,,4.29,,0.64,,,
1601053079000,,4.14,,,,,
1601187908000,,0.07,,,,,
1601255204000,,2.12,,,,,
1601323528000,,1.69,,,,,
1601390741000,,0.33,,,,,
1601459154000,,0.00,,,,,
1601525869000,,0.06,,,,,
1601592730000,,1.00,,,,,
1601660827000,,1.20,,,0.33,,
1601728631000,,1.47,,,,,
1601796104000,,0.19,,,,,
1601863935000,,2.14,,,,,
1601931072000,,4.16,0.83,,,,
1601998104000,0.77,7.98,,,,2.54,
1602065856000,,13.51,2.61,,,5.55,
1602133843000,,8.87,,,,2.05,
1602202095000,,11.10,,,,,
1602270387000,,11.54,,,,,
1602337276000,,4.50,,,,,
1602403481000,,2.69,,,,,
1602469107000,,0.95,,,,,
1602535471000,,3.52,,,,,
1602601229000,,5.95,,,,,
1602667579000,,2.35,,,,,
1602732764000,,5.25,1.10,,,,
1602799114000,,3.53,,,,,
1602865569000,,4.52,,,,2.80,
1602931980000,,0.96,,,,2.48,
1602998570000,,1.82,,,,,
1603065231000,,3.84,,,,,
