timestamp,​0xaB6D21d111945AAFa7bCf92282fC48Fd80225B9F,​0x975793c7A6a077221aCa4E4FB9B7f9A46378463a,​0x643807F6142f8A6717BE600A34B7d610B02F146b,​0x0CBcaB66c71a6C48f670e43e4e6859c1F8aa3Ff4,​0x7E4Adfe74606AB9C7E6D06A23541c0221cBa16B5,​0x975d498E6Be6F5e35208A1f64D96C1Ac215c8a42,​0x855328Ee5E94924cB83b267F25A513C2a2fC3E5E,​0xf8fFF4959B9cDEaEB0FF03199D7e51cB438e92C6,​0x0c31b6605686aa26df47eb45AF0e4aa6639A5fd6,​0xfaD695eFD57aD18eA64bC45eB2f60d9e38bD436d,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xfe32A37F15ee4a4b59715530E5817D1322B9df80,​0x97deC872013f6B5fB443861090ad931542878126,​0x280BF69d522BbCFb3aEb138C59D85A16e449057c,​0x02Ab1B3A8ac8E1Aa17756058E67ef68be0508a2d,​0x6fC34A8B9B4973b5E6b0B6a984Bb0bEcC9Ca2b29,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,Other
1592527754000,,,,,,,,,,,0.22,,,,,0.46,0.16,
1592594022000,,,,,,1.31,,,,,,0.34,,,,,11.24,
1592661070000,,,,,,0.66,,,,,,,,,0.28,,2.30,
1592727831000,,,,,,,,,,,,,,,,,1.85,
1592794125000,,,,,,,,,,,,,0.32,,,,0.11,
1592861502000,,,,,,1.48,,,,,0.08,,,,,,1.82,
1592927890000,,,0.26,,,,,,,,,0.65,,,,,1.31,
1592995513000,,,,,,0.69,,,,,,0.11,,,,,2.40,
1593062546000,,,,0.25,,2.32,0.75,,,,0.12,0.31,5.14,1.12,,,3.52,
1593128647000,,,,,,,,,,,,,,,,,11.33,
1593195376000,,,,,,,,,0.25,,,0.36,1.25,,,,3.63,
1593262962000,,,,,,,,,,,,,2.32,,,,4.84,
1593330837000,0.14,0.48,,,0.43,,,2.15,,,0.05,0.56,1.94,,,1.59,18.50,
1593396882000,,0.56,,,,,,,,,,,2.37,,,,4.23,
1593464751000,,0.19,,,,,,,,,,,0.34,,,,3.71,
1593531858000,,,,,,,,1.00,,0.33,,,0.49,,,,5.51,
