timestamp,​0x97deC872013f6B5fB443861090ad931542878126,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0xbCae00dB9EaF4bbE01A5b3A345FFb30e3c6B73bF,​0x73DeeA4B3f076c4e1E84f2037891A73Cd75B3f0f,​0x56FBCED35085a1E318161039bb8D05De8711fF7C,​0xf79cb3BEA83BD502737586A6E8B133c378FD1fF2,​0xB27732Feae161E1f42cfcd2b716BbF7f987FB984,​0x6076DC93F53E429aadcE69A4373C6EFC1f843f71,​0x26Cc0EAb6Cb650B0Db4D0d0dA8cB5BF69F4ad692,​0xb8E17eDcD44E3CC08ABD1BF678C4C75A14d3E001,​0xF69a175C2C07C4367c2311e4A5684c282123Ad53,​0x9b1858b4c48888a9d1D0F25C281f4DB326455704,​0xf4574C509f2BF119965C03826341Da74727517A9,​0x3F70E1C7369347b74E988463eA1Ae2f831b47411,​0x61792F290e5100FBBcBb2309F03A1Bab869fb850,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0xF42Df5f735C86495Fa3ec321741E09a0663D91dF,Other
1577918935000,,,,,,,,,,,0.01,,,,,,,,,
1579386588000,,,,,,,,,,,,,,,,,0.02,0.02,,
1579584998000,,,,,,,,,,,,,,,,,,,,0.00
1579848954000,,,,,,,,,,,,,,,,,,0.05,,
1580313366000,,,,,,,,,,,,,,,,,0.01,0.02,,
1580512997000,,,,,,,,,,,,,,,,,0.06,0.10,,
1580645575000,,,,,,,,,,,,,,,,,0.02,,,
1580844182000,,,,,0.04,,,,,,,,,,,,,0.06,,
1581043789000,,,,,,,,,,,,,,,,,,0.08,,
1581508790000,,,,,,,,,,,,,,,,,0.04,0.04,,
1581574720000,,,,,,,,,,,,,,,,,,0.13,,
1581641265000,,,,,,,,,,,,,,,,,0.09,,,
1581707956000,,,,,,,,,,,,,,,,,0.04,,,
1581774043000,,,,,,,,,,,,,,,,,,0.16,,
1582106715000,,,,,,,,,,,,,,,,,,0.07,,
1582173039000,,,,,,,,,,,,,,,,,,0.19,,
1582372667000,,,,,,,,,,,0.00,,,,,,0.10,0.15,,
1582505376000,,,,,,,,,,,,,,,,,,0.04,,
1582904573000,,,,,,,,,,,,,,,,,,0.04,,
1583168974000,,,,,,,,,,,,,,,,,,0.11,,
1583633541000,,,,,,,,,,,,,,,,,,0.05,,
1584500082000,,0.05,,,,,,,,,,,,,,,,,,
1584970249000,,,,,,,,,,,,,,,,,,0.10,,
1585173391000,,0.20,,,,,,,,,,,,,,,,0.22,,
1585239172000,,,,,,,,,,,,,,,,,0.07,,,
1585306138000,,,,,,,,,,,,,,,,,,0.06,,
1585372283000,,0.20,,,,,,,,,,,,,,,,,,
1585704243000,,,,,,,,,,,,,,0.05,,,,,,
1585903293000,,,,,,,,0.12,,,,,,,,,,0.20,,
1586236183000,,,,,,,,,,,,,,,,,,0.05,,
1586301955000,,,,,,,,,,,,,,,,,,0.05,,
1586368858000,,0.05,,,,,,,,,,,,,,,0.08,0.16,,
1587099968000,,,,,,,,,,,,,,,,0.06,,,,
1587300847000,,0.05,,,,,,,,,,,,,,,,,,
1587768625000,,,,,,,0.11,,,,,,,,,,,,,
1587969951000,,,,,,,,,,,,,,,,0.13,,,,
1588237076000,,,,,,,,,,,,,,,,,0.09,,,
1588371539000,,,,,,,,,,,,,,,,0.07,,,,
1588839881000,,,,,,,,,,,,,,,,0.11,,,,
1589241093000,,,,,,,,,,,,,,,0.13,0.15,,,,
1589509055000,,,,,,,,,0.08,,,,,,,,,,0.08,
1589576701000,,,,,,,,,,,,,,,,,,,0.10,
1589644333000,,,,,,,,,,,,,,,,,,,0.08,
1589711000000,,,,,,,,,,,,0.05,,,,,,,,
1589778055000,,,,,,,,,,,,,,,,0.16,,,0.02,
1589913105000,0.02,,,0.12,,0.04,,,,,,,,,,,,,,
1589980117000,,,0.06,,,,,,,0.02,,,,,,,,,,
1590181994000,,,,,,,,,,0.08,,,,,,,,,,
1590248502000,,,,,,,,,,,,,,,,0.14,,,,
1590316431000,,,,,,,,,,,,,0.14,,,0.26,,,,
