timestamp,​0x61efDc88bb6Dc02A18DFB9a240800398599BAC64,​0xd0A8b9B78eEB93f932a4dCc9b9bcdC83A9255B31,​0xA00c99F5f955552742F1089deD88ABDC74E67Bac,​0x121667B6690F5040C672c3Df912A5aAF8735Ca23,​0xA0BB038A8981fC526FecF3fCEA8701312D932e86,​0xb92667E34cB6753449ADF464f18ce1833Caf26e0,​0x4d2f5cFbA55AE412221182D8475bC85799A5644b,​0x97deC872013f6B5fB443861090ad931542878126,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,Other
1607109266000,1.01,,,,,,0.06,1.58,7.00,
1607176193000,0.35,,,,,,,2.95,3.58,
1607242529000,,,4.15,,,,,,5.06,
1607309267000,0.66,,,,,,,,2.44,
1607375492000,,0.06,,,,,,0.30,,
1607441996000,,,,1.36,,,,,1.88,
1607508150000,1.85,,,3.56,,0.20,,,3.85,
1607573702000,,,,,0.23,,,,1.08,
1607640980000,,,,,,,,,0.92,
1607708371000,,0.58,,,,0.22,,,1.04,
