timestamp,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x6551623830F860b7a5B0DCD7848c2d5Ee7D87abc,​0xF69a175C2C07C4367c2311e4A5684c282123Ad53,​0x2406A9333378E30B9581B8356bb81B4f9BDFF005,​0x006004fFA18E3cf78fA3b50393ec44C1ab89cF6c,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x38D9E84ad4E222c2fbf8954D81162f68a5f40D33,​0x3958B4eC427F8fa24eB60F42821760e88d485f7F,​0x9096410692868EA33F77Ff1Ca3Ae3d9948FAf82C,​0x640C8Db140A77B0249fFb206735ad9a378285C25,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x6bb638A95316c338C6889FdBc12080B7c863b062,​0x248EE163064CEC75103EFB80EA0014fBCd96693f,Other
1562957966000,,,,,0.18,,,,,,,,,
1566784085000,,0.34,,,,,,,,,,,,
1567860872000,0.32,,,,,,,,,,,,,
1568669970000,0.15,,,,,0.09,,,,,,,,
1569276280000,0.13,,,,,,,,,,,,,
1571036079000,,,,,,,,,,,0.02,,,
1572060724000,,,,,,,,,,,0.03,,,
1577057861000,,,,,,,,,,,,,0.20,
1577229621000,0.15,,,,,,,,,,,,,
1577918935000,,,0.02,,,,,,,,,,,
1578393679000,0.14,,,,,,,,,,,,,
1579320115000,0.13,,,,,,,,,,,,,0.00
1580180893000,0.15,,,,,,,,,,,,,
1581110121000,0.16,,,0.81,,,,,,,0.09,,,
1581508790000,,,,,,,,,,,,,,0.00
1582571821000,,,,0.50,,,,,,,,,,
1582904573000,0.15,,,,,,,,,,,,,
1585372283000,0.19,,,,,,,,,,,,,
1585836257000,0.62,,,,,,,,,,,,,
1586368858000,0.33,,,,,,,,,,0.05,,,
1586767741000,0.16,,,,,,,,,,,,,
1588572377000,,,,,,,,,0.32,,,,,
1588638430000,0.14,,,,,,,,,,,,,
1588839881000,,,,,,,,,,,,0.05,,
1589241093000,,,,,,,0.05,,,,,,,
1589308656000,0.13,,,,,,,,,,,,,
1590248502000,0.17,,,,,,,,,,,,,
1590853669000,,,,,,,,,0.19,,,,,
1591457899000,,,,,,,,,,,,,,0.00
1594334149000,,,,,,,,0.26,,,,,,
1594467342000,,,,,,,,,,0.05,,,,
