timestamp,​0x16b8Cc5B1558b365D9844385425b13Bde0ceaa49,​0x139Bb96B05f21105B565FE2F342E98dC1D13Fb16,​0x5Be5b30A720093C9d1B1E6CF8441280a48a495F8,​0x8a3960472B3D63894B68DF3f10F58F11828d6fd9,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0x6794471ebC084A4ca462C506AfEaBb93d9657c25,​0xDFf2AA5689FCBc7F479d8c84aC857563798436DD,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0x1814222fa8c8c1C1bf380e3BBFBd9De8657Da476,​0x3b7921f5b25fC8339269eb8adb28278d5C1F01c3,​0x5100276Ff4561D05A502527De00e9515129e3cfE,​0x00d1Ce825DacBCb6789e2D5fB1873A7178312abC,​0xCcB5520c2211af9fd7CAE749bB91728D72771E4F,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0xA2881A90Bf33F03E7a3f803765Cd2ED5c8928dFb,​0xD3AA1fE5D12C62eea28b768AE27C1f53B0B79181,​0xB944d13b2f4047fc7bd3F7013bcf01b115fb260d,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x3b1E215FE1138aA9034b5E6De39892e45ac05176,​0x7b3E062b606A177c2DAd79d0Eb1C81941efE26C0,​0x89D3Afde089399534aFDB7aD2D05138315Ef45FF,​0xAA7eeC6b62D55Db20381AF6d8E83210DAF59Ca77,​0x2d9E7f7887BB496592430ef62400dd9007925b88,​0xeb676329dAA8A1e6DE953E39870Db8F8FC5895D9,​0x709C59829A5EA6783bbfA56C5C267fd71A0F214e,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0x6ca323Ab76aa6d0C7406520f49795470662e9C84,​0x363a94A9Ec421e27aa86b4015007c3698959E5cb,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0xfC898B18a70cE49579f8D79a32e29928C15b4Bc8,​0xc90Ccfda241dAB9A2076d6f30473112B49D752e8,​0x000000000000006F6502B7F2bbaC8C30A3f67E9a,​0x2c6b36530c0f25FA2765e2901101b4FCF149DEC4,​0x309b38eC83F03f55822B424C42D9E3a7404e5E53,​0xF8341bf53e42DAc7b3E3516E0c6ef6003646DD6D,​0x000000000025D4386F7FB58984CBe110AEe3A4c4,​0xF173214C720f58E03e194085B1DB28B50aCDeeaD,​0xaD457072924e5a1A1c9807942211BA5D928CeC8A,​0xF52016C209c8a539c46c9aa4c8d83538Dc4483DE,​0x81e6B7E1909401769B9B2E4Fab1fEAc8FD310c17,​0xB76c291871b92A7c9e020b2511a3402A3bf0499d,​0x97deC872013f6B5fB443861090ad931542878126,​0x5c5b40855fc364b797c1F539F7Eb39cDC94a8a91,​0x4eC5b02a9F109D44AfA67615A5A2C9A02A77e08b,​0xF6FB09a41fa6C18cEbC1e7C6F75A8664D69e4d48,​0xE20Ff024e00A324D6Fd29750EBe92e6b4FaA2741,​0xBb72B029a3e5019B504e5a943b9CC445Ad40c07d,​0x9550050D102Ff42A2A683A9Fa23B8f3fb2B378c8,​0xa73621aEAe24869942f1279003bDe11d4Eac2Cab,​0x0a236B41aDd0073df05EaC5Fc8505Ad745C7859D,​0x347397EefF516c7F3809A4c1dadE10D692341d0f,​0x92f884B7dbC58655174c49C27d3F7f7aaB946fb2,​0x24a7eaaD0D7F13d1999206D8C22f926980A12CA6,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x2406A9333378E30B9581B8356bb81B4f9BDFF005,​0x7059010320d07a47d2Ad54db88bB89Ea644C3e6F,​0x31E085Afd48a1d6e51Cc193153d625e8f0514C7F,​0x4dF3f167387f93fDc927A6e6d709F166b2Ee279B,​0x083855E63c4d885b1886c1596ea1C5f1bf819391,​0x419afe43175501f642E7F1D42Aefb57DF4165739,​0x691Ce62a208B195acCF54C39a98F1112C90046d1,​0x89b76bddA22a59014E7C67A612ca80DAD957e13d,​0xcB71EB21F53a2F4de0F26dc90518Df10Be13D1EC,​0x4afd569355Eb05CC1F098195C11ababCCa16d663,​0x268Cb4c8B97DA9d146702D84501A64F597A3aa14,​0xf182EA75ce927013459f7a6FC2002b519Cc35426,​0xB46ca5c06586BD0f9DB7708Ee45760d1055CDd13,​0x2AD672FDA8a042c4c78C411bF9d4f1b320aA915a,​0xF4B0e07B1010b9dc23d369069ab4F2192651D474,​0xB680f628C56C8Fa368Dacbb0C27beEf8C98355b9,​0x6459B8F7454670B9aba9E009cf468b7d99103e17,​0x2C4Bd064b998838076fa341A83d007FC2FA50957,​0xB27732Feae161E1f42cfcd2b716BbF7f987FB984,​0x248EE163064CEC75103EFB80EA0014fBCd96693f,​0x0F94e2a44CED2a368DA8a1EdEAa337F13A8560D0,​0x473afAb58B2C5D4DbC5FAD5D236f6658AD84E83b,​0xb146907392eD12031F7715B0376833E3f7C5b98c,​0xEcC996953e976A305ee585A9C7BBbcc85D1C467b,​0xd084ab520D116dBE0069796fe542e767fb4B498C,​0x532D562bd356E8Bf71099eE074AF2737b0f452b0,​0x0DC411b17d337Af85D83eA5A3577D09132Aae866,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x5aB9d116a53EF41063E3EaE26A7eBe736720E9bA,​0x68C70d41B193A4a86e56E9020aa4C910E4aBBAf3,​0x00000f2D00b7a76100366C0013C2000595eE0067,​0x9BA6c9D09dB964771cB4D526188F6AF81e9bCF9e,​0x1fC6386835eB73C7c3b16695f30611B1a71FC84c,​0xB6d3D9bc0e8Ab251C0eb29bD7c0E53bf482B3093,​0xB78a63B0CE816af3a1Ae53659953d28f82d6f50F,​0x00000000Af5A61acAf76190794E3fdf1289288A1,​0x7B2eF92fDecdf4a156365EB78c9E92b44588Fe84,​0x30F1d1fFAD34b24Bb8310Ad9DD237B854b4DAEa7,​0x1200563cFAEb481e1f0542A246F0cefcdE4C4753,​0xce5702E94aD38C061e44a4a049Cc29261F992846,​0x7811516127F7E9083AC7C5f65E213Ab3443Cff40,​0x9Ca13029232C8f4AAC1D42FaA54A36aDE41aA10d,​0x7954AF6cBbd93DAE4dE8d8be4bb5a8eae5656106,​0x8dDDde2F6094ce6b365eb186AAaFE22af3b137F5,​0xA54da2581dd4828e4Aa00638Aab835119500A284,​0x38F2cDD0Ea4b38dBed40A36530313A5D89638858,​0x968cF7d8bbE57E3Cde24aC1e2F2A52dC8eBf25E6,​0x745DAA146934B27e3f0b6bff1a6e36b9B90fb131,​0x986748F2eec2f0BEC5a85FBaC06F982ee4a91281,​0x13526967CadFd180c27A4392A46A30c573088bee,​0xc3037b2A1a9E9268025FF6d45Fe7095436446D52,​0xF92C1ad75005E6436B4EE84e88cB23Ed8A290988,​0xeE7F212545b3c388f8fD176f83bDff85F3Dcea7D,​0x860bd2dba9Cd475A61E6d1b45e16c365F6D78F66,​0xD85A7A3C5F08E3E709c233E133cE1335fBbF5518,​0xA0c9aB7cb590C01D9F36D0F1eb960A544c31467e,​0xe9519677e6ec8D2D6BFaB92A059529feA6075d37,​0x8A2F5d6D822611BDab08D306aA8F3E3942177417,​0x2233b56797e2B8C912d492044146FDb77238A374,​0x9F92473Cce5dd539C76fD79C78aE5c8fAf706134,​0xEF422dBBF46120dE627fFb913C9AFaD44c735618,​0x0000bEBB12C49FF44233CB689855b5fAE9EE4bF3,​0xF1Ad4BFDF8829d55eC0Ce7900EF9d122B2610673,​0x0f0e9790Ff3Ef0923f03C58d0029c94c8e1d1253,​0x5A6fc2De011d93842411aa5f91a0a4AcD3fEfFde,​0x022865cCce84fa9F715207D047D78a05313dC86D,​0x26E068650ae54b6c1b149e1B926634b07e137b9F,​0xA540fb50288cc31639305B1675c70763C334953b,​0x40A7cb7052C274Cc2E568c324B4c5D94383bec4f,​0xfBabBAaAaD540477fcb64412b74bD2B73907cb99,​0xe9Cf7887b93150D4F2Da7dFc6D502B216438F244,Other
1565375748000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.78,,,,,8.39
1565441736000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88
1565509207000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.51
1565576260000,,,,,,,,,,,,,,,,,,,,,,,,,,10.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.16,,,,,140.20
1565643196000,,,,,,,,,,,,,,,,,,,,,,,,,,24.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.54,,,,,91.37
1565710691000,,,,,,,,,,,,,,,,,,,,,,,,,,5.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.33,,,,,16.18
1565776959000,,,,,4.68,,,4.90,,,,,,,,,,,,,,,,,,2.61,,,,,,,,,,,,,,,,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.53,,,,,33.53
1565843533000,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.29,,,,,6.59
1565911450000,,,,,,,,,,,,,,,,,,,,,,,,,,5.30,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.72,,,,,26.84
1565978340000,,,,,,,,,,,,,,,,,,,,,,,,,,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.94,,,,,45.08
1566044959000,,,,,,,,,,,,,,,,,,,,,,,,,,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.64
1566113085000,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.27
1566179461000,,,,,,,,0.05,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.60,,,,,30.09
1566246801000,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.21,,,,,71.23
1566314677000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.07,,,,,26.50
1566381517000,,,,,,,,,,,,,,,,,,,,,,,,,,8.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.40,,,,,26.42
1566448943000,,,,,8.47,,,,,,,,,,,,,,,,,,,,,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.00,,,,,,,,,,,,,,,,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.71,,,,,29.65
1566516026000,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.68,,,,,2.75
1566583035000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.59
1566649948000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.63,,,,,0.29
1566717936000,,,,,7.64,,,,,,,,,,,,,,,,,,,,,3.95,,,,,,,,,,,,,,,,,,,,,,,,,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,3.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.07,,,,,35.70
1566784085000,,,,,5.83,,,5.26,,,,,,,,,,,,,,,,,,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.00,,,,,,,,,,,,,,,,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.67
1566851133000,,,,,,,,0.54,,,,,,,,,,,,,,,,,,4.47,,,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.12,,,,,68.49
1566920101000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.03,,,,,48.24
1566986635000,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,18.17,,,,,,,,,,,,,,,,,,,,,,5.09,,,,,,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.51,,,,,79.20
1567054177000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,,,,,,,,,,,,,,,,,,9.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.57,,,,,350.49
1567120257000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.36,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,86.83
