timestamp,​0x97deC872013f6B5fB443861090ad931542878126,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0xc7b333Dd05577C5242d2cb7535dD413e534DD327,​0x0c31b6605686aa26df47eb45AF0e4aa6639A5fd6,​0x6477241A2Aa2742e2bd19A4374D9Cbd6d78A3d31,Other
1608835449000,,0.74,,,,
1608902154000,,3.20,,,,
1608968406000,0.25,3.68,,,,
1609034138000,1.70,12.01,0.10,,,
1609100774000,,3.26,,,,
1609165810000,,1.88,0.07,,,
1609232681000,,0.21,,,,
1609300140000,,0.22,,,0.05,
1609365524000,,0.15,,,,0.02
1609431762000,,1.27,,,,
1609498801000,,0.47,,,,
1609563999000,,0.31,,0.05,,
1609630001000,2.02,3.03,,,,
1609696530000,0.50,1.54,,,,
1609895571000,,0.76,,,,
