timestamp,​0x8e2c60AFc591FbB053b81530B0941722Be522965,​0xe4fb07eFA6FF433B61aA331A7DCc7886FF51466c,​0xF173214C720f58E03e194085B1DB28B50aCDeeaD,​0xb0094Ddb9BD9Cde538758D6757E0F1D3F4CC3630,​0xD5Dfe862Ded2EcFa1E7831476F9DD7d4080bdfB5,​0x9583Ca25eC7770B1d575D0c4C76B79cE257e6645,​0x95445852148540acB6FcB9e39856D15F1C416381,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x6263e260fF6597180c9538c69aF8284EDeaCEC80,Other
1582240159000,,,,,,,,,0.01,
1582372667000,,,,,0.01,,,,,
1582771019000,,,,,0.01,,,,,
1582837876000,,,,,0.01,,,,0.03,
1583168974000,,,,,0.28,,,,,
1583368317000,,,,,0.01,,,,0.54,
1583435384000,,,,,,,,,1.12,
1583567810000,,,,,0.06,,1.45,,0.72,0.01
1583633541000,,,,,,0.19,,,,
1583699841000,,,,,,,1.05,,1.44,
1583833348000,,,,,0.04,,,,,
1584500082000,,,,,0.01,,,,1.24,
1584566455000,,,0.02,,,,,,,
1585637238000,,,,,0.05,,,,,
1585969610000,,,,,0.01,,,,,
1586236183000,,,,,0.02,,,,,
1586368858000,,,,,0.01,,,,,
1586501245000,,,0.02,,0.01,,,,,
1586900049000,,2.19,,,,,1.68,0.04,,
1587568237000,,1.61,,,,,1.08,0.03,,
1587634602000,,,,,0.02,,,,,
1588036978000,,3.48,,,,,2.73,0.06,,
1588104246000,2.58,,,,,,,,,
1589174391000,,,,0.12,,,,,,
1589308656000,,,,0.20,,,,,,
1589375621000,,,,0.20,,,,,,
1589442351000,,,,0.41,,,,,,
1589509055000,,,,1.41,,,,,,
1589711000000,,,,,0.02,,,,,
