timestamp,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0xc7b3601CD694cd40333b791DAD0a4F10C4Cf0Bf5,​0x68FBabD02724d8164b3625bc3e6F9A45A5252969,​0xD5Dfe862Ded2EcFa1E7831476F9DD7d4080bdfB5,​0x3591d261dA9Ca19D83DE5028D4Caa02f22aaf9Ee,​0xA2881A90Bf33F03E7a3f803765Cd2ED5c8928dFb,​0x693c188E40F760ecF00d2946ef45260b84FBc43e,​0x69C4EfE68F4eaBdFAa614a8E682B1391802F4913,​0x268Cb4c8B97DA9d146702D84501A64F597A3aa14,​0x5437E2Cf87378f7134E5fBbE6c1B9B6F4A9DcA9c,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0xBFeeE68c40e7Ffffa00Bf6b12739E85E1d5Db8D3,​0x97deC872013f6B5fB443861090ad931542878126,​0xD90F7Fa722467c3503542DD840C328ccC055B5E2,​0x8eCc379C8d744142aFf3Ea80cAF53E3e57779EBd,​0x736f1536CFd66AE3E27F6d62c67a9D9d9A431326,​0x445E5f797fd7a939F9B4a593b7aD5BB79Ee046c8,​0x863b89bDabA9E6B60C94bF216a62995b2d2aEBa0,​0x7E2108dE992A57A12A699840117e376a302Ea12C,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x766f8A08dD048858cE1C139D87e74728f1E01e99,​0x85F18C533900A4eE0e3e378aD27DcB395bc7cb3d,​0x34A2fCE349311114317353ab4B798fa11cCfef57,Other
1577746179000,,,,,,,,,,,,,,,0.10,,,,,,,,,
1577918935000,,,,,,,,,,,,,,,,,,,,,,,,0.00
1578790822000,,,,,,,,,,,0.01,,,,,,,,,,,,,
1579188604000,,,,,,,,,0.07,,,,,,,,,,,,,,,
1579254375000,,,,,,,,,,,,,,,,0.26,,,,,,,,
1579320115000,,,,,,,,,,,,,,,,,,,,,,,,0.00
1579453251000,,,,,,,,0.00,,,,,,,,,,,,,,,,
1579584998000,,,,,,,,0.01,,,,,,,,,,,,,,,,
1579717286000,,,,,,0.01,,,,,0.09,,,,,,,,,,,,,
1579848954000,,,,,0.09,,,,,,,,,,,,,,,,,,,
1579915579000,,,,0.00,,,,,,,,,,,,,,,,,,,,
1580114658000,,,,,,,,,,,,,,,,0.16,,,,,,,,
1580247630000,,,,0.00,,,,,,,,,,,,,,,,,,,,
1580313366000,,,,,,,,,,,,,,,,0.09,,,,,,,,
1580380051000,,,0.01,,,,,0.00,,,,,,,,,,,,,,,,
1580579921000,0.03,,,,,,,,,,,,,,,,,,,,,,,
1580645575000,0.01,,,,,,,,,,,,,,,,,,,,,,,
1581177428000,,,,,,,,0.01,,,,,,,,,,,,0.21,,,,
1581508790000,,,,,,,,,,,,,,,,,,,,,,,,0.00
1581574720000,,,,,,,,,,,,,,,,,,,,,,0.11,,
1581641265000,,,,,,,,,,,,,,,,,,,,,,0.13,,
1581707956000,,,,,,,,,,,,,,,,,,,,,,,,0.01
1581907086000,,,,,,,,,,,,,,,,,,,,,,0.10,,
1582173039000,,,,,,,,,,,,,,,,,,,,,,0.03,,
1582240159000,,,,,,,,0.03,,,,,,,,,,,,,,,,
1582571821000,,,,,,,,,,,,,,,,,,0.01,,,,,,
1582705647000,,,,,,,,,,,,,,,,,,,,0.18,,,,
1582771019000,,,,0.01,,,,,,,,,,,,,,,,,,,,
1582970808000,0.05,,,,,,,,,,,0.10,,,,,,,,,,,,
1583036689000,,,,,,,,,,,,,,,,,,,,,,,,0.00
1583235956000,,,,0.01,,,,,,,,,,,,,,,,,,,,
1583633541000,,,,,,,,,,,,,,,,,,,,,,,0.04,
1583767163000,0.04,,,,,,,,,,,,,,,,,,,,,,,
1584100621000,0.66,,,,,,,,,,0.24,,,,,,,,,,,,,
1584168330000,0.03,,,,,,,,,,0.17,,,,,,,,,,,,,
1584300469000,,,,,,,,,,,,,,,,,,,,,,,0.07,
1584367227000,,,,,,,,,,,,,,,,,,,,,,,0.07,
1584566455000,,,,,,,,,,,,,,,,,,,,,,,,0.00
1584632903000,0.09,,,,,,,,,,,,0.25,,,,,,,,,,,
1584699859000,0.11,,,,,,,,,,,,,,,,,,,,,,,
1584766483000,,,,,,,,,,,,,,,,,,,,,,,,0.01
1584833664000,,,,,,,,,,,,,,,,,,,,0.16,,,,
1584902413000,0.09,,,,,,,,,,,,,,,,,,,,,,,
1585036977000,0.03,,,,,,,,,,,,,,,,,,,,,,,
1585105600000,0.13,,,,,,,,,,,,,,,,,,,,,,,
1585637238000,,,,,,,,0.39,,,,,,,,,,,,,,,,0.00
1585704243000,,,,,,,,,,,,,,,,,,,,,,,0.20,
1585836257000,,,,,,,,0.35,,,,,,,,,,,,,,,0.16,
1585969610000,0.19,,,,,,,,,,0.10,,,,,,,,,,,,,
1586568529000,0.01,,,,,,,,,,,,,,,,,,,,,,,
1586701369000,,0.01,,,,,,,,,,,,,,,,,,,,,,
1586833705000,,0.01,,,,,,,,,,,,,,,,,,,,,,
1586966921000,0.31,,,,,,,,,,,,,,,,,,,0.13,,,,
1587033174000,0.01,,,,,,,,,,,,,,,,,,,,,,,
1587099968000,,,,,,,,,,,,,,,,,,,,0.18,,,,
1587300847000,,,,,,,,,,,,,,,,,,,,,0.18,,,
1587368133000,,,,,,,,,,,,,,,,,,,,,,,0.07,
1587634602000,,,,0.01,,,,0.04,,,,,,,,,,,,,0.21,,,
1587701744000,,,,,,,,0.01,,,,,,,,,,,,,,,,
1587768625000,0.15,,,,,,,,,,,,,,,,,,,,,,,
1587836062000,,,,,,,,,,,,,,,,,,,,,0.17,,,
1587969951000,0.06,,,,,,0.18,0.39,,,,,,,,,,,0.06,,,,,
1588036978000,,,,,,,,,,,,,,,,,,,,,,,0.07,
1588104246000,,,,,,,,,,0.11,,,,0.05,,,,,,,,,,
1588170340000,,,,,,,,,,,,,,,,,,,,,0.15,,,
1588237076000,,,,,,,,,,,,,,,,,,,,,,,0.07,
1588305064000,,,,,,,,,,,,,,,,,0.10,,,,,,,
1588371539000,,,,,,,,,,,,,,,,,,,,,,,,0.00
1588506516000,,,,,,,,,,,,,,,,,,,,,,,0.10,
1588572377000,,,,,,,,,,,,,0.01,,,,,,,,,,0.07,
1588638430000,,,,,,,,,,,,,,,,,,,,,,,,0.00
1588771981000,,,,,,,0.09,,,,,,,,,,,,,,0.22,,,
1588839881000,,,,,,,,,,,,,,,,,,,,,,,0.11,
1588972800000,,,,,,0.02,,,,,,,,,,,,,,,,,,
1589040204000,,,,,,0.04,0.04,,,,,,,,,,,,,,,0.10,,0.01
1589174391000,,,,,,,0.00,,,,,,,,,,,,,,,,,
1589308656000,,,,,,,,0.42,,,,,,,,,,,,,0.37,,,
