timestamp,​0x8c55cF59b798dCD3B55427A4F130d6191e0363F9,​0x97b052C9A4E8705C067cE0c197833bbD496F2612,​0xc2d8420541635187aEc327CEc88f98e6a976D87E,​0xF92Bf83dEbE0767760A7f7B0349a25A05F8e65fc,Other
1553250112000,,,,,0.01
1564302116000,,,,,0.00
1565106699000,,,,,0.00
1565375748000,,,,,0.00
1577488582000,,,,,0.00
1579320115000,,,,,0.00
1580114658000,,,,,0.02
1580446477000,,,,,0.00
1581508790000,,,,,0.00
1582439543000,,,,,0.04
1582505376000,,,,,0.00
1583767163000,,,,,0.01
1583900197000,,,,,0.01
1584300469000,,,,,0.00
1586833705000,,,,,0.00
1588170340000,,,,,0.00
1588506516000,,,,,0.00
1588705743000,,,,1.10,
1590451139000,,,,1.09,
1591457899000,,,,,0.00
1600257235000,,2.01,,,
1601053079000,0.01,,,,
1602998570000,,,,,0.06
1603992067000,56.76,,53.37,,
