timestamp,​0x0aE11fA925BFc9Ea7eB114b5FC7B4258586b9b2c,​0xc925C6f745491a1f6B872AA10D89B6289dcd5a58,​0x97deC872013f6B5fB443861090ad931542878126,​0x43Fd5530789Ce64a6569D882CFdfa07c7ED33be6,​0xF25cCFDA29C840B2F4C9CdA9C5619Dfbc8E55e39,​0x191d29e4BC77787e6a45829C90dbf854CD81f10e,​0x67Ee113cA0bC90abB455815686686C53E275B072,​0x72044176Cb0a0C850e91FAC9199cA55Ae42726C9,​0x3969B0B46bb0a87C4F2052d709743e799f3181Bb,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x5A6fc2De011d93842411aa5f91a0a4AcD3fEfFde,​0x5aB9d116a53EF41063E3EaE26A7eBe736720E9bA,​0xa5cb0648383B871de9D8c8a2F31BB985Ec160187,​0x7e88C8D56BA851ab12aa839eB908698e491F24a5,​0x6D79D82DDceA5f12109851bBEeb16d7b8c9FDd97,​0x9373E1136f9a19855b7742257d48Daa9E2d5c01e,​0xD8982B62852d40716618FF3C734616bEFd294150,​0xfB16eCCc6Cc653071550100eA0d6d5Aa2a605392,​0xd5459ca680A84D557e25dDf90065f9d4D736df23,​0xc4c18dEC88A6576A8E345887fb1a229e97BA55E7,​0xA538311df7DC52bBE861F6e3EfDD749730503Cae,​0x2870fa7c3C615f324151a88B10f0e1455Ee292D8,​0x31aF59b6325240442fa980eFed10b22da138A84e,​0x5Be5b30A720093C9d1B1E6CF8441280a48a495F8,​0x0c17F4Ac96d914E4a224F1377cBa132fcd8b8DEd,​0x92ac8A9c4b5975EF70056C82242Eb8515f85ffcE,​0x2c068D142ADFCE1a17f862C7E0DE93975B2D76C3,Other
1572546064000,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,0.00
1573598526000,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,,
1573958177000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1574102523000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1580512997000,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,
1580778615000,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,
1580844182000,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,
1581375300000,,,,,0.28,,,,,,,,,,,,,,0.87,,,,,,,,,
1581441429000,,,,,,,,,,,,,,,,,,,0.30,,,,,,,,,
1581508790000,,,,,,,,,,,,,,,,,,,0.31,,,,,,,,,
1581574720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1581641265000,,,,,,,,,,,,,,,2.96,,,,0.31,,,,,,,,,
1582173039000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04
1582571821000,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,
1582638796000,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,
1582705647000,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,
1582837876000,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,
1582904573000,,,,,,,,,,,,,,,,,,,0.30,,,,,,,,,
1583168974000,,,,,0.30,,,,,,,,,,,,,,,,,,,,,,,
1583368317000,,,,,0.30,0.37,,,,,,,,,,,,,,,,,,,,,,
1583435384000,,,,,0.30,,,,,,,,,,,,,,,,,,,,,,,
1583502285000,,,,,0.30,,,,,,,,,,,,,,,,,,,,,,,
