timestamp,​0xa1Ca0C5EC69B5C3740557CaDE7342a91c0671521,​0xfe32A37F15ee4a4b59715530E5817D1322B9df80,​0x0f16a8557df61daCf3C6Be21a41a72D2a848B854,​0xef764BAC8a438E7E498c2E5fcCf0f174c3E3F8dB,​0x72d50aC6627eAc2E6B69D38eaDd8EEe80d21653c,​0x280BF69d522BbCFb3aEb138C59D85A16e449057c,​0xaB6D21d111945AAFa7bCf92282fC48Fd80225B9F,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0xe18c444E82dDac4046a55355d97241eC59c7184C,​0x6fC34A8B9B4973b5E6b0B6a984Bb0bEcC9Ca2b29,​0x97deC872013f6B5fB443861090ad931542878126,​0x01418a07f6e69b08735B717CD6C86fDd8a5ce1a2,​0x7F7c311Ad65e56eeDe7238258F5847133A06eBeA,​0x0A338782562E1740b9468F0855dD4C51F29dEfDE,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0x8e3f5e7578B9e0f4B9Ab65C85568C8F80aEC95AE,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xc1758EEa027f8D92e6ddd13d17e19E592845188a,​0x97402249515994Cc0D22092D3375033Ad0ea438A,​0x2988983d105436843757CE8E45be5B3aF3736445,​0x975793c7A6a077221aCa4E4FB9B7f9A46378463a,​0x975d498E6Be6F5e35208A1f64D96C1Ac215c8a42,​0x777775425043897197DF1a2EB40BDCdF4562c01D,​0x032E7b7844AF956448F5FdfBD23834952b60678A,​0x4BE0557d4aeB1675A1D5316e8a437dC934cfacE1,Other
1587634602000,,,,,,,,0.02,,,,,,,,,,,,,,,,,,
1587701744000,0.31,,,,,,,0.35,,,0.13,,,,,,,0.03,,,,,,,0.34,
1587768625000,,,,,,,,0.00,,,0.11,,,,,,,0.02,,,,,,,,
1587836062000,,,,,,,,0.04,,,0.05,,,,,,,0.01,,,0.01,,,,,
1587902337000,,,,,,,,,,,,,,,,,,,,,,,,,0.21,
1587969951000,,,,,,,,,,,,,,,,,,,,,,,,,0.38,
1588036978000,,,,,,,,1.04,,,0.35,,,,,,0.40,0.01,0.04,,,,,,,0.03
1588104246000,,,,,,,,,,,,,,,,,,,0.39,,,,,,,
1588170340000,,,,,,,,0.37,,,0.24,,,,,,,0.02,,,,0.37,,,,
1588237076000,,,,,0.05,0.67,,0.14,,,,,,,0.06,0.47,,,,,,,,0.04,,
1588305064000,,0.51,,0.18,,0.71,0.04,,,,0.12,,,,0.06,,,0.06,,,,,,,,0.02
1588371539000,,,,0.19,,,,,,,,,,,,,0.47,0.07,,,0.02,,,,,
1588438821000,,,,,,,,,,,0.05,,,,,,,0.04,,,0.01,,,,,
1588506516000,,0.30,,,,,,,,,,,,0.05,,0.31,,,,,,,,,,0.03
1588572377000,,0.16,,,,0.45,,,,,,,,,,0.24,,,,,,,,,,
1588638430000,,0.22,,,,,,,,,,0.34,,,,,0.22,,,,,,,0.04,,
1588771981000,,,,,,,,1.27,,,0.06,,,,,,,,,,,,,,,
1588839881000,,0.35,,,,0.52,,,,,,,,,,1.20,0.23,,,,,,,,,
1588906152000,,,,,,,,,,,,,,,,1.38,,,,,,,,,0.39,
1588972800000,,,,,,,,0.20,,,,,,,,,,,,,0.05,,,,,
1589040204000,,,1.96,,,,,0.75,,,,,,,,0.56,,,,0.04,,,,,,0.00
1589107927000,,,,,,0.30,,,,,0.66,,,,,2.09,,,,0.31,,,0.11,,0.13,0.00
1589174391000,,0.87,,,,0.40,,0.41,,,,,,,,0.88,0.32,,,,,,,,,
1589241093000,,,,,,0.19,,,,,0.19,,,,,,0.05,,,,,,,,,
1589308656000,0.31,,,,,,,,,,,,,,,,,,,,,,,,,
1589375621000,,,,,,,,0.76,,,,,,,,,,,,,,,,,,
1589442351000,,,,,,0.23,,,0.19,,,,0.10,,,0.22,0.13,,,,,,,,0.34,
1589509055000,,,,,,,,0.00,,0.10,0.57,,,,,,,,,,,,,,0.61,
