timestamp,​0x1530FC137f35b1b02299127696ed48BD1097B98d,​0xc6ca2E898936faa9ACdb2277B10cFbe758ce5b9E,​0x223716C5aa5fd892c0dAff1f24D4531272E8B12d,​0x5893b294A6a4cC220C009Ad81607DcA59650D57C,​0xbEB3502E6Ea7603C57550D23AD93E786261a6272,​0x19058B87cc3975b2dd7d01B6e95102AB9e1a2a72,​0x0ba6927Fb84760D0D4689f1515522022c675ef9e,​0xF9107317B0fF77eD5b7ADea15e50514A3564002B,​0x23096234466Be5D3AC3da2cB6B4D8D843D528426,​0xB1F933A61dc4D1B30621E593F2fB4eE83063aB30,​0xaFa2abe7c0642b32F510dDFcDd4dd0FA933087FC,​0x40DeeA0Cb0Fe5FE5154ff8fDC79EC68087553D0E,​0xa078dCFc267d812F7E92a33a002034b4f156c30D,​0xf599DD992feA3C597d859d17D98c41a54D5a2e4c,​0x0E942Af80ec218c327d7B91C8a4843d5a7061001,​0xCaFcd62114Cfc1d16298a1CFec409BCa139c899b,​0xD259F146EF6038E1E4d65939f68fBB6d9e72e8ae,​0x302B9DfC92DA56A19477C891A7b95cB7e32A5A69,​0xA9938f3317e1A8010496B0EA93375B5B6F102F95,​0x8700bE2f3b706F7C151e2C8F0D91763a2AC0d9cc,​0xa015fE2a1947B23AD454E699F8CbbDa419671F5e,​0xA096b47EbF7727d01Ff4F09c34Fc6591f2c375F0,​0x7C639E38beFcfD10A6c6c2B8902d5D8375e52E6b,​0x2397d082Ee03799e43923F3Cd4da3188a0529BbD,​0xC65595d89376601c69B7292d466Ee83d73dC4850,​0x4caC902dE30F930F1B01C3A96FB5b3Ea061e2577,​0xbae5677c85C7a42b468eb548A1ff38b80B8aab13,​0x3fCb35Aada553A888433eFC45dF1B70937A5942D,​0x9151c47C781593697E8bDd828Ac0e02765E0e621,​0xa8840A5C91Ed4a62894509b7219D681d4238575d,​0x391D74C67301D77Ff9634d03b4A94778B44ACB64,​0x3dF364ED7e8A887f7f9c240f7e281A4ea05CE03f,​0xeB12a626BF202f61469716ccE910Ce481E0Dd835,​0x332D23a7F2051706e15A9cA6A0539d6405e0ABcc,​0x174c103B01Ba40BCcdb5f83D08326D8b229b8151,​0x89Eb973e148a790B48AEA5BF575270bd502Cfb28,​0x9D2F07756E0B558118402F5032c839D730d88a8f,​0xfb8D29998FC9Ccce068791d0e55112D3F5dD1B20,​0x245d8350eEADBF5F5E68362fd976B1b6778dfACd,​0x3195c3F94154364E897711e501e104f40D8e23fb,​0xC7ADea0d6B7c4a19d91E8bB825831E7aCA770755,​0x9650F4feDd1e6ce63621479A4bf5F4d743E6F958,​0x61EC9B1F9547705227fE4854D4E90356a3d0A286,​0xEC78c498137e8783C4291BE84F9B39733B21c59c,​0xfA33467b9fE5e5E3a82FD59F3facA755DF9a13d8,​0x5140A2e4b1e8f39a3D06fBF135803Acc75b65955,​0x2E613291C4566ACC337BDC752b467Ac4F9D65b94,​0x55eAD23Aff0E7E5692Adc97493b16a4f3f515895,​0xdEF769bcf57dF5a2400ab5f9DD3AaD5981079689,​0x74C20E49e3cCC0C5A8eAC54E8547B70ecdFfB1b4,​0x1426E0DC259E1A6d0da470661ba54A21195aE3a6,​0xDef9e718616652b2C48D2229e3A9d39b5De12eAC,​0x73084E4338A64d73180D039FaE40A0e92b105F35,​0xAFCdb58EE3F6467354CeEB796d1841035A6d7cae,​0x49c8209caF76E2758FE1097B175E3EAb357b74Be,​0x0F9043943a4d8f25d3b09EaDe2e2bc6A6cD40351,​0xec89a4E9F698d8e4A70C05606F7fB2F8e91fbD33,​0xc05ed3743D87Bee34b76792d28347478015D7754,Other
1576627001000,,,,,,,,,,,,,,,,,,0.03,,0.01,,0.01,,,0.01,,,,,,,,,,,,,0.02,,0.01,,,,,,,,,,,,,,,,,,,
1576713534000,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1576799699000,,,,0.05,,,,,,0.01,,,,,0.01,,,0.01,,,,,,,,,,,,,,,,,0.01,,,0.01,,,,,,,,,0.00,,,,,,,,,,,,
1576886273000,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1576971438000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,
1577057861000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577143907000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,
1577402327000,,,,,,,,,,0.00,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577488582000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577746179000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,
1577832303000,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.00,,,,,,,0.00,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,
1577997589000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578063677000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,
1578195701000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.01,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,
1578261907000,,,,,,,,,,0.01,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578327837000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,
1578393679000,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.00,,,,,,,,,,,,
1578592894000,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578658814000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,0.00
1578857025000,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,0.00
1578923015000,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,0.00,,,,,,,,,,,,,
1578989540000,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579188604000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,0.00
1579254375000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579320115000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,
