timestamp,​0x099ebCc539828fF4Ced12C0Eb3B4b2Ece558FdB5,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x61efDc88bb6Dc02A18DFB9a240800398599BAC64,​0xA0BB038A8981fC526FecF3fCEA8701312D932e86,​0x97deC872013f6B5fB443861090ad931542878126,​0x71878c80Cca2a9D2DE6F5539273ba020E8E4dF6C,Other
1605252569000,,1.01,,,,,
1605319158000,,1.98,,,0.20,,
1605385703000,,2.96,,0.20,0.20,,
1605451285000,,3.64,,,0.27,,
1605517681000,,9.89,0.58,,0.36,,0.03
1605583771000,,2.68,,,0.33,0.24,
1605650122000,,2.22,0.27,,,,
1605717149000,,3.12,,,1.41,,
1605783309000,,1.00,,,,,
1605849265000,,0.69,,,0.09,0.15,
1605915938000,0.15,3.66,,,,,
