timestamp,​0x4968f9D6251b392F5D31Cf8d06Feb8dc46078f1F,​0xa53A13A80D72A855481DE5211E7654fAbDFE3526,​0xf4E6B6152A5137DaA5cDa324F3c2599bFd48F5Fb,​0x75B865EA22a2b6633038E15647357268C7F9Ac54,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x4d596Fb44DE482e74257f2464132f4e1D921d4f3,​0x0A338782562E1740b9468F0855dD4C51F29dEfDE,​0xf8fFF4959B9cDEaEB0FF03199D7e51cB438e92C6,​0x19b7380f7525AD5cEEAe803eA9C1651C4ccd4945,​0x975d498E6Be6F5e35208A1f64D96C1Ac215c8a42,​0xE84Eb5f8AC725a2EFd9018Fe9BFb50B34a27e3Ed,​0x97deC872013f6B5fB443861090ad931542878126,​0x1D8D9FF60C8C2a579215CA4a8b44a72D01F15B3e,​0x505846a0a89dd26fA5cD0677FD5406039c218620,​0x6fC34A8B9B4973b5E6b0B6a984Bb0bEcC9Ca2b29,​0xfe32A37F15ee4a4b59715530E5817D1322B9df80,​0xB210d9AFde9Cda1B8af0D260ad8602f5134f6Cac,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x280BF69d522BbCFb3aEb138C59D85A16e449057c,​0x0c31b6605686aa26df47eb45AF0e4aa6639A5fd6,​0x862529dBe6D3879A4329BD77485cC17C6dE3f5e6,Other
1589576701000,,,3.15,,,,,,,,,2.01,,,,,,4.17,0.42,,,
1589644333000,,,1.70,,0.93,,,,,,,,,,,,,1.66,,,,
1589711000000,,,1.60,,0.45,,,,,,,,,,,,0.14,1.41,,,,
1589778055000,,,1.47,0.55,1.35,,,,,,,,,,,,,6.68,,,,
1589845567000,,,,,2.18,,,,0.94,1.22,,0.03,,,0.58,,,4.83,,,,
1589913105000,,,,,0.26,,,,,,,0.13,,,,,,1.19,,,,
1589980117000,,,,,2.27,,,,0.73,,,,,,,,,3.15,,,,
1590047677000,,,,,,,,,,0.68,,,0.34,,,,0.72,5.83,,,,
1590113970000,,2.69,13.81,,0.42,,0.37,5.54,1.30,,,,1.12,,,,,15.27,,,,
1590181994000,,1.93,2.73,,0.44,,,,,2.24,,0.39,0.21,,0.36,,3.82,23.32,,,0.62,
1590248502000,,,1.22,,1.34,,,,,,1.25,,,,,,,4.57,,0.60,,
1590316431000,,,,,,,,0.33,0.65,0.64,,,,1.12,,,,5.48,,,,
1590383553000,0.46,,3.74,,0.43,,,1.21,,0.33,,,,,,,,11.79,,,,0.06
1590451139000,,,2.54,,0.92,,,,,0.44,,,,,,,,5.65,,,,
1590517845000,,,3.85,,0.79,0.81,,,,0.17,,,,,,,,7.70,,,,
1590584981000,,,0.46,,,,,,,,,0.64,,,,1.43,,3.47,,0.27,,0.13
1590652494000,,,,,,,,0.82,,,,,,,,1.32,,2.64,,,,0.10
1590719602000,,,0.14,,,,,,,0.10,,,,,,0.05,,0.53,,0.04,,
