timestamp,​0xc6F8B0af56Fe21f2446459046292a84eE5444807,​0x19058B87cc3975b2dd7d01B6e95102AB9e1a2a72,​0x93AeF073b3139c26312de0BB1b302609eb3BF5ce,​0x9a7A75E66B325a3BD46973B2b57c9b8d9D26a621,​0x1426E0DC259E1A6d0da470661ba54A21195aE3a6,​0x73084E4338A64d73180D039FaE40A0e92b105F35,​0xd6f64c02c14Ac390bf5f772de6CD590f9412bD1C,​0xA9938f3317e1A8010496B0EA93375B5B6F102F95,​0xB1536967017D7eeA185106307600e95D1141cbCa,​0xD1E6FC718660618d73D458A77BD0339F6C2F4212,​0x15d61bAD91BB068f1Ec66845d1e071Ec7A6A07fB,​0x2E642b8D59B45a1D8c5aEf716A84FF44ea665914,​0xCaFcd62114Cfc1d16298a1CFec409BCa139c899b,​0x886C0328b1392a48Ceb1F42d1f4892e959f40F8F,​0xE3eA24Fb60a97B7234BDfF49C5bCb456fa571eFa,​0x00A540a78FaB5d2c16635574388D1128662462f1,​0xDE14129eE5f3670CE09A3F8e94b10e156c36a2Bf,​0x2e9036ABf6d19424393FB169fb49A29D273EE399,​0x61EC9B1F9547705227fE4854D4E90356a3d0A286,​0xbEB3502E6Ea7603C57550D23AD93E786261a6272,​0x223716C5aa5fd892c0dAff1f24D4531272E8B12d,​0xB1F933A61dc4D1B30621E593F2fB4eE83063aB30,​0x3a3D1Fc99679343535D56374A42b3E96669913fe,​0xe39Cb745e8Db0Da1Be665ADB2eAb58f4FD600927,​0xB66F8a0Da457B91D5cA3d9f0d679783a28e70cb7,Other
1582439543000,,,,,,,,,,,,,,,,,,,0.03,,,,,,,
1582505376000,,,,,,,,,,,,,,,,,,,,,0.02,,,,,
1582705647000,,,,,,,,,,,,,,0.03,,,,,,,,,,,,
1582771019000,,,0.11,,,,,,0.08,,,,,,,0.07,,0.01,,,,,0.02,,,
1582837876000,,,0.08,,,,,,,,,,,,,,,,,,,0.01,,,,0.00
1582904573000,,,,,,,,,,,0.02,,,,,,,,,0.02,,,,,,
1583036689000,,,,,0.07,,,,,,,,,,,,,,,,,,,,,
1583103301000,,,,,,,,,,,0.07,,,,,,,,,,,,,,,
1583235956000,,,,,,,,,,,,,0.03,,,,,,,,,,,,,
1583368317000,,,0.01,,,,,,,,,,,,,,,,,,,,,,,
1583435384000,,,,,,,,,,,,,,,,,,,,,0.00,,,,,
1583502285000,,,,,,,,,,,,,,,,,,,,,,,0.35,,,
1583567810000,,,,0.00,,,,,,,,0.00,,,,,,,,,,,,,,
1583633541000,0.04,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1583699841000,,,,,,,,0.00,,,,,,,,,,,,,,0.01,,,,0.00
1583767163000,,,,,,0.00,,,,,,,,,,,,,,,,,,,,
1583833348000,,,,,,,,,,,,,,,,,,,,,,,0.03,,,
1583966404000,,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,,0.00
1584168330000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1584434720000,,,,,,,,,,,,,,,,,,,,,,,,0.17,,
1584500082000,,,,,,,,,,0.13,,,,,,,,,,,,,,,,
1584632903000,,,,,,,,,,,,,,,,,,,,,,0.01,,,,
1584970249000,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1585105600000,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
1585306138000,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
1585372283000,,0.01,,,,,,,,,,,,,,,,,,,,,,,,
1585438491000,,,,,,,0.00,,,,,,,,,,,,,,,,,,,
1585571105000,,,,,,,,,,,,,,,,,,,,,,0.00,,,,
1585637238000,,,0.02,,,0.00,,,,,,,,,,,,,,,,,,,,
1585704243000,,,,,,,0.00,,,,,,,,,,,,,,,,,,0.01,
