timestamp,​0xBA333F8ff556bF35D38E102a98dAF1c5F6d9D708,​0x4e547D0408AD6d35fdcA30ca63CE9ED8a148940c,​0xc68f5c0194EB8191Df549fd5DFb6C4c19b0D99f3,​0x18dB5C1B33D7796CaEA49881B8eACA874052C107,​0xfc96e234d4B31C63051E707105fCC4aba37807Fa,​0x2Ad41576364037Cf25FD08948F425B63610d6Cf3,​0x42505f18b84EEae30a99Cd7EF30C6c272eFB4A36,​0x818a6405c9d5068cF53ca87a4e47d7042B12cF0F,​0x336A9C68c08d2F699425f02301a5c28622048969,​0x5E4908EF6447FA6C8010B15C2543260827eE1918,​0x764D1fdff1FBce0034C69262Be875A3C647e9A5F,​0x0b0409A70A279dBa59f07ebe4345AaFC9C64154a,​0x3A563899d9D4DaC3dced3c2Ba9E20ab05d3509F0,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0xF93eD4Fe97eB8A2508D03222a28E332F1C89B0eD,​0x97deC872013f6B5fB443861090ad931542878126,​0xB42C464652683B3e8C725e9AEAE096c3179a4A5c,​0xBaD0f4eBFdcC11324F7Ad751E55804E3A85d89cD,​0xFC5DE15d1C5b69431E78f4f25B49C79Cd4276E3b,​0x11b0966563167DA4088F59E2DCEdaDd4147CEAc8,​0xe289B498654Cc9d4B75067Ed426ccc12EC98B9D0,​0xA538311df7DC52bBE861F6e3EfDD749730503Cae,​0x0aE11fA925BFc9Ea7eB114b5FC7B4258586b9b2c,​0xFcd12c9D27560a122048a43315B54872bCD59603,​0xd2248CcE8D46B194913feA9D7fEb0a92F9eDF275,​0xe3162f17Eb748521092EEAaB1D92088C0a93d412,​0xeBD8AA50b26bFa63007d61eBa777A9DdE7e43c64,​0x5Be5b30A720093C9d1B1E6CF8441280a48a495F8,​0x59A68dbC12C8c9FDeFf4F89B829995E4c010dCe1,Other
1577997589000,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578129566000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,
1578724741000,,,,,,,,0.20,,,,,,,,,,,,,,,,,,,,,,
1579320115000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1579848954000,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,
1581574720000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1582106715000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1582705647000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05
1588170340000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1588237076000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1588972800000,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,
1589375621000,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,
1590316431000,,5.00,3.04,0.14,,4.30,1.04,,0.71,,2.00,0.28,3.00,2.17,0.59,0.17,,0.50,0.50,0.05,0.15,1.00,28.30,1.00,2.24,,0.36,,,0.04
1590383553000,,,,,0.07,1.96,,,,,,,,,,,,0.33,,0.03,0.11,,,0.71,,0.20,,0.45,,
1590451139000,,,,,,,,,,,,,1.00,,,,,,,,,0.75,,,,,,,,
1590517845000,,,,,,,,,,,,,1.26,,,,,,,,,,,,,,,,,
1590584981000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
