provider,eth
​0x2Ca2F5845a01252E88Ab04124aA2A101B324F59c,379.71
​0x6fe5F68504928369146e75Ae4690B12b966639B7,369.36
​0x6873c745fe22E6412abf6c814cfa48C99B36B2BD,349.87
​0xA05E9e3103154A4E0339EA32B1Bb80Ed66C39c4a,344.05
​0x285c6e2954aAA7191360D7B16A91FE4e84211b3b,340.94
​0xF44452B71234b0059C18a10583C583192c96c2eD,331.51
​0x96Fe354407aB89b9d7f94A7e41021e95922Abba0,321.50
​0xCeF2BFA939260A852eaa27fB489f98b3d64bdE4A,312.26
​0xa874Fe8B07460d210588075ddD9951209dfe5723,310.70
​0xcaA613fe2FCA674b8EBf4F5dbA66Ac262E038e13,303.89
​0x1C5408c72F940c2406f7Dd19113d4211b4A4ae16,302.50
​0x6aC614977c4d4AF9D17aEEbfE2Aa30fAB3dfb3c8,299.74
​0xCd97052B44e92892953B630FEAf6B7c3FF6ECF5C,298.48
​0x8aBb238cA02081d18f92F0e5DF563008714b50f8,295.51
​0x140C3aEA5d5755F93890C436bb7bA8705996292C,291.90
​0x2d087134978164905C3E3748bcF07eD09203ddAA,286.68
​0x70f461DE6F3207cA3c3441cca0F4699F8B1b0b1E,284.31
​0x82722788cc2DF2F358da6CEF68ba50C217eb329B,284.26
​0x209411C45ea433bF9D6c657Bb68053Fa9B786Cd0,281.50
​0x3d8B145bA21511ABb082eA5231e9eb10f4cFfcfc,276.77
​0xD9B95a84b303d4c05e5B0d2f33948197691FEa7a,276.22
​0xFCf01bA78A118cd1019D1c9044CC7715cddA3A06,272.09
​0xBa817E2bBc09C5Ced73d1035011470450591E882,271.19
​0xC854eC7882FF6e0dE4432d0A82564c86A03c6cC5,270.28
​0xA4F7E73e4cbf578e1d5c14230ae10818935775d9,269.99
​0xd6C243511252b77bE2cc9baE71a8627819B4Ab74,269.80
​0x6aFD7db9A49A73CF377146AA10C6a69486cFC5cd,268.45
​0x8C080F740C7C888C1846d27e68563f30D80048E0,267.87
​0x70A7bBC2ea100688df86553194c77d911ddF15d6,267.11
​0x66f48725672D500E58e1cbEC228815419029bC16,265.68
​0xD46a979c46fFd39c4767aF678937749725D60b29,264.10
​0x29692f0F1f218509925228Ec00d7421BbA57f594,263.80
​0x8686D1F27008f02973f8783d51164C179BB0Ab83,262.71
​0x9e0e4B015Ca5f1c15F4F05F5F59e7A5557A88609,257.18
​0xb664E89cC1287eBed2c2C39b0a0fd6B054E3E2e8,255.11
​0xb4a762D0bABbf42ECcb82382664d7d4D8700f84e,253.90
​0x72826a788944f9917684dcfFDA3350dcacd94CB2,253.60
​0x00E7bE171684e75C58287ba8a29bcd1aAaBe8679,252.95
Other,13963.45
