provider,eth
​0x268Cb4c8B97DA9d146702D84501A64F597A3aa14,54.09
​0xd4BC78aE16E43e16cBE29DB734dBb27F69C15FCF,4.19
​0x08204aB398De6A93ec680E3F8d653475D8Cb0E1f,1.88
​0x31eA41b97E0F939f778B152226A01A7329844db7,1.88
​0x368A2D5CD67bB2c4C742d9482aa09f3126AA0F52,1.46
​0xc9E7A40b20e2B10B3619109a74e9E6EF17C31299,1.31
​0x35C969e8B416F6888d5d03E721DCd154446dde0a,1.07
​0xB1833A8a5614eA6692C679e20A3D8EA3f5B9FfaA,1.01
​0xf8a099545c0f2c3D3E547C048c2F5589e53B54d5,1.00
​0x6557D92D629E0bD8003b8E12c83835ff3CDB9D6B,0.96
​0x0DdF6d8d6a082eD2714C16baE48394F00BF78F6E,0.80
Other,0.95
