provider,eth
​0x249de01F2dCdf1B679C4EFd88524Ee93a01A1CDf,9.52
​0xd4D221aD5b753a6fcBB58a6C7b6b92605CA5325F,4.24
​0x1B40b0e16707170f5df69EBb753EB1a2b15966B9,3.55
​0x3Ad152a06FB23d66aa498C53E451Ed5C7ac632F1,1.39
​0x7dCb96fdf573fB22Cd7953e96e5aa69DF2d5F652,0.46
​0xa3A0EE3555C0721f878E7775375170e76BB7893C,0.44
​0x8FB7742f4F6da7B898517572B1891aAC436b5bA6,0.38
​0x1Ea456Cb5f130d17179Dc506Df8cB0C754E9C902,0.36
​0x08fD52784F2026d5Ac1b663960B2d0641cF92cA6,0.36
​0x811db455FFa43fC59Aa7D41B47d92E3022720401,0.32
Other,0.00
