provider,eth
​0xD84BC467a6642B11C3df7001BF94485c742844a1,0.87
​0x326832CBef3715F57d6eDaCEc85299328053ad50,0.65
​0xea8DA8eA74971f0b2666B82a75bd0c255a2b9c4B,0.51
​0x0E7aF95de26BF10E6B9f00D846C22757aa582B9C,0.50
​0x234f1E72e4889C22a6c8cfc6F1a6988d7ec450d0,0.37
​0x64Ae361c1C55f61a02D2c67a4C78457d5169Ac56,0.26
​0x6a76274F50711486Ab0799e75150130746ab542B,0.13
​0x36034Cba5413c0678b8256aCd0a87Af4E9D0873A,0.12
​0xE7122CC609FC1c814e16a6fAE37D929b721A0512,0.12
​0x2cDBaD7B5704F8F0034a216d1b3B7522982e8Bf7,0.08
​0xF9f2Abcc9df889794b60f0791A784F5a97d32920,0.05
Other,0.03
